root	gloss_fil	pos	source
adjetivo			Samson p22 [unknown/low]
adle		adjective	Samson p22 [unknown/low]
adlsinuebe			Mirikitani p895 [unknown/low]
administrador		noun	Samson p22 [unknown/low]
administrasion		noun	Samson p22 [unknown/low]
admirul		D	PALI:admiru’l
adobe			Samson p22 [unknown/low]
adobi			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
adobo			Samson p22 [unknown/low]
adobu			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
adolessente			Samson p22 [unknown/low]
adorador		noun	Samson p23 [unknown/low]
adorasion		noun	Samson p23 [unknown/low]
adorno		noun	Samson p23 [dictionary_explicit/high]
ados			Mirikitani p895 [unknown/low]
adose			Mirikitani p895 [unknown/low]
adta			Samson p23 [dictionary_explicit/high]
adua			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
aduana		noun	Samson p23 [unknown/low]
aduang			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
aduang-pulu			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
aduas			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
adulterio		noun	Samson p23 [unknown/low]
adulto		noun	Samson p23 [unknown/low]
adverbio			Samson p23 [unknown/low]
adviento		noun	Samson p23 [unknown/low]
adwa		V	PALI:adwa’q
adya			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
adyar			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
adyes			Mirikitani p896 [unknown/low]
afecto		noun	Samson p23 [dictionary_explicit/high]
afirmativo		adjective	Samson p23 [unknown/low]
afision		noun	Samson p23 [unknown/low]
aforro			Samson p23 [unknown/low]
afrika		noun	Samson p23 [unknown/low]
afrikano		adjective	Samson p23 [unknown/low]
ag-giat		adjective	Samson p24 [unknown/low]
ag-giu		verb	Samson p24 [unknown/low]
aga		adjective	Samson p23 [unknown/low]
agad		Q	PALI:aga’d
agam-agam			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
aganaka			Mirikitani p917 [unknown/low]
agap			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agape			Samson p24 [dictionary_explicit/high]
agas			Samson p24 [dictionary_explicit/high]
agawa			Mirikitani p918 [unknown/low]
agi		N	PALI:a’giq
agiag		noun	Samson p25 [dictionary_explicit/high]
agiang			Mirikitani p896 [unknown/low]
agila			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agimat			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
aginaldu		N	PALI:aginaldu
agkas		noun	Samson p24 [dictionary_explicit/high]
agkat		V	PALI:agka’t
aglahi			Samson p26 [unknown/low]
agli		noun	Samson p26 [unknown/low]
aglit		noun	Samson p26 [unknown/low]
agmus			Samson p26 [dictionary_explicit/high]
agnan		adverb	Samson p26 [unknown/low]
agnas			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agosto		N	PALI:ago’sto
agostu			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agpa			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agpag			Samson p26 [unknown/low]
agpang			Samson p26 [unknown/low]
agrabiadu			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agraviado			Samson p26 [unknown/low]
agraviadu		adjective	Samson p26 [unknown/low]
agresivu		adjective	Samson p26 [unknown/low]
agrikultor		noun	Samson p26 [unknown/low]
agrikultura		noun	Samson p26 [unknown/low]
agrimensor		noun	Samson p26 [unknown/low]
agta			Samson p26 [unknown/low]
agtaka			Samson p26 [unknown/low]
agtal			Samson p27 [dictionary_explicit/high]
agtal-		V	PALI:agta’l-
agtas			Samson p27 [dictionary_explicit/high]
aguador		noun	Samson p27 [unknown/low]
aguanta			Samson p27 [unknown/low]
aguaras		noun	Samson p28 [unknown/low]
aguasil			Samson p27 [dictionary_explicit/high]
aguasinada		noun	Samson p28 [unknown/low]
aguatiempu		noun	Samson p28 [unknown/low]
agud		verb	Samson p28 [dictionary_explicit/high]
agum			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agum-		V	PALI:a’gum-
aguran			Samson p28 [dictionary_explicit/high]
agus		N	PALI:a’gus
agusu		noun	Samson p28 [dictionary_explicit/high]
agwa-		N	PALI:a’gwa-
agwa-oksinada			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agwat			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agyang		Q	PALI:agyang
agyap			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
agyu		D	PALI:agyu’q
ahedres		noun	Samson p29 [unknown/low]
ahente		noun	Samson p29 [unknown/low]
aili			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
ain			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
aintindian			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
aisip			Mirikitani p921 [unknown/low]
akademia		noun	Samson p18 [unknown/low]
akademic			Samson p18 [unknown/low]
akal		noun	Samson p18 [dictionary_explicit/high]
akala			Samson p18 [unknown/low]
akanakan		adverb	Samson p18 [unknown/low]
akapulko		noun	Samson p18 [unknown/low]
akasia		noun	Samson p18 [unknown/low]
akasya		N	PALI:aka’sya
akatorse			Mirikitani p896 [unknown/low]
akay		noun	Samson p18 [dictionary_explicit/high]
akayagnan			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
akayulko			Samson p18 [unknown/low]
akbak		V	PALI:akba’k
akbung		N	PALI:akbu’ng
akilala			Mirikitani p929 [unknown/low]
akinse			Mirikitani p896 [unknown/low]
akit		V	PALI:a’kit
aklas			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
aklat		N	PALI:akla’t
akling			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
aklis			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
aklung			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
akmul		V	PALI:akmu’l
ako			Mirikitani p896 [unknown/low]
akolito		noun (OCR: printed as 'ft.')	Samson p20 [unknown/low]
akopya			Mirikitani p930 [unknown/low]
aksaya		D	PALI:aksaya’q
aksidenti		V	PALI:akside’nti
aku		pron	SEED-FUNC
akua			Samson p21 [dictionary_explicit/high]
akut		verb	Samson p21 [dictionary_explicit/high]
akwarto			Mirikitani p896 [unknown/low]
al-lua		noun	Samson p39 [dictionary_explicit/high]
ala		neg	SEED-FUNC
alac			Samson p30 [dictionary_explicit/high]
alac-alakan			Samson p30 [unknown/low]
alacdan		noun	Samson p30 [dictionary_explicit/high]
aladin		N	PALI:aladi’n
alag		adjective	Samson p30 [unknown/low]
alaga		noun	Samson p30 [unknown/low]
alagad			Samson p30 [unknown/low]
alagas		noun	Samson p30 [unknown/low]
alahas		noun	Samson p30 [unknown/low]
alahero			Samson p30 [unknown/low]
alai		noun	Samson p30 [unknown/low]
alak		N	PALI:a’lak
alak-alakan			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
alakac		noun	Samson p30 [dictionary_explicit/high]
alakdan		N	PALI:ala’kdan
alal			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
alal-		N	PALI:-ala’l-
alala		noun	Samson p31 [unknown/low]
alalay-		N	PALI:alalay-
alalayi			Samson p31 [unknown/low]
alale		noun	Samson p31 [dictionary_explicit/high]
alam		noun	Samson p31 [dictionary_explicit/high]
alamag		noun	Samson p31 [unknown/low]
alamang		noun	Samson p31 [unknown/low]
alamat		noun	Samson p31 [unknown/low]
alambre		N	PALI:ala’mbre
alambri		noun	Samson p31 [unknown/low]
alamid		noun	Samson p31 [unknown/low]
alanangga		noun	Samson p31 [unknown/low]
alang		neg	SEED-FUNC
alang-alang		adverb	Samson p31 [AI_proposed/medium]
alangala			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
alangalang		N	PALI:alanga:lang
alangalangna			Samson p31 [dictionary_explicit/high]
alanganin		adjective	Samson p32 [unknown/low]
alangatdu		adjective	Samson p32 [unknown/low]
alange			Samson p32 [unknown/low]
alangilang		noun	Samson p32 [unknown/low]
alap		verb	Samson p32 [unknown/low]
alapaap		noun	Samson p32 [unknown/low]
alapap			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
alarma		noun	Samson p32 [unknown/low]
alas		1. in combination with numbers, as alas singko ‘five o’clock’. 2. bungang ala’s ‘heat-rash’. 3. ala’s ‘ace	PALI:alas
alasas		noun	Samson p32 [dictionary_explicit/high]
alat		D	PALI:-a’lat
alata		adjective	Samson p32 [unknown/low]
alaua		noun	Samson p33 [unknown/low]
alauh		noun	Samson p33 [unknown/low]
alauli			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
alaya		noun	Samson p33 [unknown/low]
alba		noun	Samson p33 [unknown/low]
albag		noun	Samson p33 [dictionary_explicit/high]
albania		noun	Samson p33 [unknown/low]
albano		noun	Samson p33 [unknown/low]
albe		V	PALI:albe’
albino			Samson p33 [unknown/low]
albomina			Samson p33 [unknown/low]
albug		N	PALI:a’lbug
albugan		N	PALI:albuga’n
albul		N	PALI:albu’l
albulario			Samson p34 [unknown/low]
albularyu		N	PALI:albula’ryu
alburoto			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
alburutu		N., V	PALI:alburutu
albus			Samson p34 [unknown/low]
albut			Samson p34 [dictionary_explicit/high]
alda		noun	Samson p34 [dictionary_explicit/high]
aldaba		noun	Samson p34 [unknown/low]
aldabis			Samson p35 [unknown/low]
aldam			Samson p35 [unknown/low]
aldea		noun	Samson p35 [unknown/low]
aldente			Samson p35 [unknown/low]
aldo		N	PALI:aldo’
aldo-aldo			Kapampangan-English-Pilipino wordlist p3 [AI_proposed/medium]
alduc		noun	Samson p35 [unknown/low]
alduk			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
ale			Samson p35 [dictionary_explicit/high]
alegasion		noun	Samson p35 [unknown/low]
alegoria		noun	Samson p35 [unknown/low]
alegro			Samson p35 [unknown/low]
alejandria		noun	Samson p35 [unknown/low]
aleli		noun	Samson p36 [unknown/low]
alelyuia			Samson p36 [unknown/low]
aleman			Samson p36 [unknown/low]
alemania		noun	Samson p36 [unknown/low]
alembung			Samson p36 [dictionary_explicit/high]
aleph		noun	Samson p36 [dictionary_explicit/high]
alertuan			Samson p36 [unknown/low]
alfabeto			Samson p36 [unknown/low]
alfanghe			Samson p36 [unknown/low]
alfombra		noun	Samson p36 [unknown/low]
algang		noun	Samson p36 [unknown/low]
algodon		noun	Samson p36 [unknown/low]
ali		Neg	PALI:ali’q
aliad			Samson p36 [unknown/low]
aliado		noun	Samson p36 [unknown/low]
alianza		noun	Samson p36 [unknown/low]
alias			Samson p36 [unknown/low]
alibasbas		adjective	Samson p36 [unknown/low]
alibub		noun	Samson p36 [unknown/low]
alibuga			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
alibungbung		adjective	Samson p36 [unknown/low]
alig		transitive verb	Samson p37 [dictionary_explicit/high]
aligaga		noun	Samson p37 [unknown/low]
aligantang			Samson p37 [unknown/low]
aligapgap		noun	Samson p37 [unknown/low]
aligi			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
aligogo		verb	Samson p37 [dictionary_explicit/high]
aliguat		noun	Samson p37 [unknown/low]
alikabok			Mirikitani p897 [unknown/low]
alikabu		noun	Samson p37 [dictionary_explicit/high]
alikabuk		N	PALI:alikabuk
alili			Samson p37 [dictionary_explicit/high]
alili-		V	PALI:ali’li-
aliman			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
alimangauan			Samson p37 [unknown/low]
alimasag		N	PALI:alima’sag
alimbaua		adjective	Samson p37 [dictionary_explicit/high]
alimbawa		N	PALI:alimba’waq
alimbuag		noun	Samson p37 [unknown/low]
alimbuang		noun	Samson p37 [unknown/low]
alimbubu		noun	Samson p37 [unknown/low]
alimbuke		verb	Samson p37 [unknown/low]
alimbuyu		noun	Samson p37 [dictionary_explicit/high]
alimit		adjective	Samson p37 [unknown/low]
alimpungatan		adjective	Samson p38 [unknown/low]
alimpuyu		N	PALI:alimpu’yuq
alimpuyut		noun	Samson p38 [unknown/low]
alimum		noun	Samson p37 [unknown/low]
alindug		noun	Samson p38 [unknown/low]
aling			Samson p38 [unknown/low]
alinggatung		noun	Samson p38 [unknown/low]
alingging		adjective	Samson p38 [dictionary_explicit/high]
alinging		noun	Samson p38 [unknown/low]
alingit		adjective	Samson p38 [unknown/low]
alingongo		noun	Samson p38 [dictionary_explicit/high]
alingongong		noun	Samson p38 [unknown/low]
alinlangan		adjective	Samson p38 [unknown/low]
alino			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
alintana			Samson p38 [unknown/low]
alintuang		noun	Samson p38 [dictionary_explicit/high]
alipan		noun	Samson p38 [unknown/low]
alipatpat			Samson p38 [unknown/low]
alipatu			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
alipis		noun	Samson p38 [unknown/low]
alipit			Samson p38 [dictionary_explicit/high]
alipsusu		noun	Samson p38 [dictionary_explicit/high]
alipugpug		noun	Samson p38 [unknown/low]
alipunga		N	PALI:alipunga’q
alipup		noun	Samson p38 [unknown/low]
alipusta			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
alis		noun-verb	Samson p39 [unknown/low]
alistu		N	PALI:alistu
alisuag			Samson p39 [unknown/low]
alisuas		adjective	Samson p39 [unknown/low]
alisus		noun	Samson p39 [unknown/low]
alit		noun	Samson p39 [unknown/low]
alitari		adverb	Samson p39 [dictionary_explicit/high]
alitungtung		verb	Samson p39 [unknown/low]
alituntunan			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
alitut		noun (OCR: printed as 'ft.')	Samson p39 [unknown/low]
aliua		adjective	Samson p39 [unknown/low]
aliwa		N./D	PALI:aliwaq
alkaldeza			Samson p34 [unknown/low]
alkaldi		noun	Samson p34 [dictionary_explicit/high]
alkansia		noun	Samson p34 [unknown/low]
alkansiya			Kapampangan-English-Pilipino wordlist p2 [unknown/low]
alketran		noun (OCR: printed as 'ft.')	Samson p39 [unknown/low]
alkohol		noun	Samson p34 [unknown/low]
alkontado		adjective	Samson p34 [unknown/low]
alkus		noun	Samson p34 [unknown/low]
alma		N	PALI:a’lma
almasen		noun (OCR: printed as 'ft.')	Samson p39 [unknown/low]
almasiga		noun (OCR: printed as 'ft.')	Samson p39 [unknown/low]
almendras		noun (OCR: printed as 'ft.')	Samson p39 [unknown/low]
almirez			Samson p39 [dictionary_explicit/high]
almiris			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
almirul			Samson p39 [dictionary_explicit/high]
almohasan			Samson p40 [dictionary_explicit/high]
almohodon			Samson p40 [unknown/low]
almon			Samson p40 [dictionary_explicit/high]
almoneda		noun	Samson p40 [unknown/low]
almoranas		noun	Samson p40 [unknown/low]
almuadun			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
almuranas		N	PALI:almura’nas
almusal		N	PALI:almusal
alos			Mirikitani p898 [unknown/low]
alpa		N	PALI:alpa’q
alpac		intransitive verb	Samson p40 [dictionary_explicit/high]
alpaka		noun	Samson p40 [unknown/low]
alpasotis			Samson p40 [unknown/low]
alpit		noun	Samson p40 [unknown/low]
alpombra			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
alpuc		noun	Samson p40 [unknown/low]
alput		intransitive verb	Samson p40 [dictionary_explicit/high]
alsa		intransitive verb	Samson p40 [unknown/low]
alsic		noun-verb	Samson p40 [unknown/low]
alsut		noun-verb	Samson p40 [dictionary_explicit/high]
altapresion		noun	Samson p41 [unknown/low]
altar		N	PALI:alta’r
alti		N	PALI:alti’
alto		noun-verb	Samson p41 [dictionary_explicit/high]
altuc		noun	Samson p41 [dictionary_explicit/high]
alu		noun	Samson p41 [unknown/low]
aluagi			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
alual			Samson p41 [unknown/low]
alub		adjective	Samson p41 [unknown/low]
alubebe		noun	Samson p41 [dictionary_explicit/high]
aluc		noun	Samson p41 [dictionary_explicit/high]
alug			Samson p41 [dictionary_explicit/high]
alug-gug			Samson p41 [unknown/low]
aluk			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
aluke			Samson p41 [unknown/low]
alulud		N	PALI:alulu’d
aluminyu		N	PALI:aluminyu
alun		N	PALI:a’lun
alus		Q	PALI:a’lus
aluyun		noun	Samson p42 [dictionary_explicit/high]
aly			Mirikitani p897 [unknown/low]
am		noun	Samson p29 [dictionary_explicit/high]
ama		D	PALI:ama
amac		noun-verb	Samson p42 [unknown/low]
amad		N	PALI:a’mad
amanu		N	PALI:ama’nu
amaran			Samson p42 [dictionary_explicit/high]
amaranto		noun	Samson p43 [unknown/low]
amargoso		adjective	Samson p43 [unknown/low]
amariliu			Samson p43 [unknown/low]
amas		adjective	Samson p43 [unknown/low]
amasamas		adverb	Samson p43 [unknown/low]
amasona		noun	Samson p43 [unknown/low]
amatista		noun	Samson p43 [unknown/low]
amba			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
ambag		N	PALI:amba’g
ambal		noun	Samson p43 [dictionary_explicit/high]
ambangan		noun	Samson p43 [unknown/low]
ambe			Samson p43 [dictionary_explicit/high]
ambernuan			Samson p43 [unknown/low]
ambi		noun	Samson p43 [dictionary_explicit/high]
ambisiun		noun	Samson p44 [unknown/low]
ambrosia		noun	Samson p44 [unknown/low]
ambrosiano			Samson p44 [unknown/low]
ambrosio			Samson p44 [unknown/low]
ambu		N	PALI:ambuq
ambuangan			Samson p44 [unknown/low]
ambuc			Samson p44 [dictionary_explicit/high]
ambugo		noun	Samson p44 [unknown/low]
ambuk			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
ambul			Samson p44 [dictionary_explicit/high]
ambula		adjective	Samson p44 [unknown/low]
ambulansia		noun	Samson p44 [unknown/low]
ambulansiya			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
ambun		N	PALI:ambun
ambus		V	PALI:ambus
ambush			Samson p44 [unknown/low]
amenesus		interjection	Samson p44 [unknown/low]
amerika			Mirikitani p898 [unknown/low]
amerikana		noun	Samson p44 [unknown/low]
amerikanu		noun	Samson p44 [unknown/low]
amia		noun	Samson p44 [unknown/low]
amiam			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
amig			Samson p44 [unknown/low]
amigo			Samson p44 [unknown/low]
amil		adjective	Samson p44 [unknown/low]
amiliar		noun	Samson p45 [unknown/low]
amin		noun-verb	Samson p45 [dictionary_explicit/high]
amire			Samson p45 [unknown/low]
amius		noun	Samson p45 [unknown/low]
amiyam		N	PALI:amiyam
amlat		noun	Samson p45 [unknown/low]
amlit		adjective	Samson p45 [unknown/low]
amlug			Samson p45 [dictionary_explicit/high]
amok			Mirikitani p898 [unknown/low]
among		noun	Samson p45 [dictionary_explicit/high]
amorpropio		noun	Samson p45 [unknown/low]
amorseko		noun	Samson p45 [unknown/low]
amorseku			Kapampangan-English-Pilipino wordlist p3 [unknown/low]
ampa		adjective	Samson p45 [unknown/low]
ampac-ampac			Samson p45 [unknown/low]
ampang			Samson p45 [unknown/low]
ampat		adverb	Samson p45 [unknown/low]
ampil		V	PALI:ampi’l
ampit			Samson p45 [unknown/low]
ampo			Mirikitani p898 [unknown/low]
ampog		adverb	Samson p45 [dictionary_explicit/high]
ampolia			Samson p45 [unknown/low]
ampon		conj	SEED-FUNC
ampu		verb	Samson p46 [unknown/low]
ampulas			Samson p46 [unknown/low]
amsic		noun	Samson p46 [unknown/low]
amu		noun	Samson p46 [dictionary_explicit/high]
amug		noun	Samson p46 [unknown/low]
amuk		N	PALI:amu’k
amuki			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
amung			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
amurikut		N	PALI:amuri’kut
amuyam		noun	Samson p46 [unknown/low]
amuyung			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
amuyut		noun-verb	Samson p46 [unknown/low]
ana		N	PALI:a:na
ana-			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
anac			Samson p46 [unknown/low]
anad			Samson p47 [dictionary_explicit/high]
anak		N	PALI:ana’k
anak-anakan			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
anam		Nu	PALI:ana’m
anamapulu			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
anarkiya		noun	Samson p47 [unknown/low]
anas		noun	Samson p47 [unknown/low]
anat			Samson p47 [unknown/low]
anatis		N	PALI:ana’tis
anatomiya		noun (OCR: printed as 'ft.')	Samson p47 [unknown/low]
anda			Mirikitani p898 [unknown/low]
andador		noun (OCR: printed as 'ft.')	Samson p47 [dictionary_explicit/high]
andam			Mirikitani p899 [unknown/low]
andam-		V	PALI:-andam-
andamiu		noun (OCR: printed as 'ft.')	Samson p47 [unknown/low]
andamyu			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
andante		adjective	Samson p47 [unknown/low]
andantino			Samson p47 [unknown/low]
andar			Samson p47 [unknown/low]
andarul			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
andas		N	PALI:anda’s
anding			Samson p48 [unknown/low]
andu			Samson p48 [unknown/low]
anduse			Samson p48 [unknown/low]
ane		N	PALI:a’ne
anemia		noun	Samson p48 [unknown/low]
anemic			Samson p48 [unknown/low]
ang-galang		noun	Samson p48 [unknown/low]
ang-gap			Samson p49 [unknown/low]
ang-gi		noun	Samson p49 [unknown/low]
ang-gud		noun	Samson p49 [unknown/low]
angal			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
angat			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
angbe			Samson p48 [unknown/low]
angel		noun	Samson p48 [dictionary_explicit/high]
angeles		noun	Samson p48 [unknown/low]
angga		Prep	PALI:a’ngga
anggang		adverb	Samson p49 [unknown/low]
anggi		N	PALI:anggi’q
anggu		noun	Samson p49 [unknown/low]
anggulo		noun	Samson p49 [unknown/low]
angil			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
angin		N	PALI:a’ngin
angit			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
angkac			Samson p48 [unknown/low]
angkak			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
angkamin			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
angkas		noun	Samson p48 [unknown/low]
angkat			Samson p48 [unknown/low]
angkin			Samson p49 [unknown/low]
angkini			Samson p49 [dictionary_explicit/high]
angkup		noun	Samson p48 [unknown/low]
ango		D	PALI:-ango
angu			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
angus			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
angut			Samson p53 [dictionary_explicit/high]
anheles			Mirikitani p899 [unknown/low]
ania			Mirikitani p899 [unknown/low]
