surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
kamatayan,circumfixation,ka+matay+an,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,kamatayan,,,
pamamilatan,circumfixation,pa+mamilat+an,pamamilatan,pamamilatan,pamamilatan,pamam+ilatan,pamam+ilatan,pamam+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+am+ilatan,pam+ami+lat+an,pam+ami+lat+an,pamami+lat+an,pam+amilatan,,,
kayanakan,circumfixation,ka+yanak+an,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,kayanakan,,,
kaluguran,circumfixation,ka+lugur+an,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,,,
katutuan,circumfixation,ka+tutu+an,katutuan,katutuan,katutuan,katut+uan,katut+uan,katut+uan,katut+uan,katut+uan,katut+uan,katut+uan,katut+uan,katut+uan,ka+tutu+an,ka+tutu+an,ka+tutu+an,ka+tutu+an,ka+tutu+an,ka+tutu+an,ka+tutu+an,ka+tutu+an,ka+tutu+an,katu+tu+an,katu+tu+an,katu+tu+an,katutuan,,,
pasbulan,circumfixation,pasbul+an,pas+bulan,pas+bulan,pasbulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pas+bulan,pasbul+an,,,
kabaldugan,circumfixation,ka+baldug+an,kabaldugan,kabaldugan,kabaldugan,ka+baldug+an,ka+baldug+an,ka+baldugan,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldug+an,ka+baldu+gan,ka+baldu+gan,ka+baldu+gan,ka+baldug+an,ka+baldug+an,ka+baldug+an,kabaldugan,,,
kapayapan,circumfixation,ka+payap+an,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,kapayapan,,,
kasakitan,circumfixation,ka+sakit+an,kasakitan,kasakitan,kasakitan,kas+akit+an,kas+akitan,kas+akitan,kas+akit+an,kas+akit+an,kasakit+an,kas+akit+an,kas+akit+an,kasakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,ka+sakit+an,kasakit+an,,,
panintunan,circumfixation,pan+intun+an,panintunan,panintunan,panintunan,pan+int+unan,pan+int+unan,pan+intunan,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,pan+intun+an,p+an+intun+an,p+an+intun+an,p+an+intun+an,panintuna+n,,,
palsintan,circumfixation,pa+lsint+an,pal+sintan,palsintan,palsintan,pal+sintan,palsintan,palsintan,pal+sintan,palsintan,palsintan,pal+sintan,palsintan,palsintan,pal+sintan,palsintan,palsintan,palsintan,palsintan,palsintan,pal+sintan,palsintan,palsintan,pals+int+an,palsintan,palsintan,palsintan,,,
kanuanan,circumfixation,ka+nuan+an,kanu+anan,kanu+anan,kanuanan,kan+uanan,kan+uanan,kan+uanan,kan+uanan,kan+uanan,kan+uanan,kan+uanan,kan+uanan,kan+uanan,kan+uanan,kan+uanan,kan+uanan,kan+uan+an,kan+uanan,kan+uanan,kan+uan+an,kan+uan+an,kan+uanan,kanu+anan,kanu+anan,kanu+anan,kan+uanan,,,
katapatan,circumfixation,ka+tapat+an,kat+apatan,katapatan,katapatan,kat+apatan,katapatan,katapatan,kat+apatan,katapatan,katapatan,kat+apatan,katapatan,katapatan,kata+patan,katapatan,katapatan,ka+ta+patan,katapatan,katapatan,kata+pat+an,katapatan,katapatan,kata+pat+an,katapatan,katapatan,katapatan,,,
kawatasan,circumfixation,ka+watas+an,kawat+asan,kawatasan,kawatasan,kawat+asan,kawatasan,kawatasan,kawat+asan,kawatasan,kawatasan,ka+watasan,kawatasan,kawatasan,kawat+asan,kawatasan,kawatasan,kawatasan,kawatasan,kawatasan,kawat+asan,kawatasan,kawatasan,ka+wat+asan,kawatasan,kawatasan,kawatasan,,,
kabiasnan,circumfixation,ka+biasn+an,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,kabiasnan,,,
panimanman,circumfixation,pani+manman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,panimanman,,,
kailangan,circumfixation,ka+ilang+an,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,,,
kaligaligan,circumfixation,ka+ligalig+an,kal+ig+aligan,kal+ig+aligan,kaligaligan,kal+ig+aligan,kal+ig+aligan,kaligaligan,kal+ig+aligan,kal+ig+aligan,kaligaligan,kal+ig+aligan,kal+ig+aligan,kaligaligan,kal+ig+aligan,kal+ig+aligan,kaligaligan,ka+lig+aligan,ka+ligaligan,kaligaligan,ka+lig+aligan,ka+lig+aligan,kaligaligan,ka+lig+aligan,ka+ligaligan,kaligaligan,ka+ligalig+an,,,
kaisipan,circumfixation,ka+isip+an,kaisipan,kaisipan,kaisipan,ka+isip+an,ka+isip+an,ka+isipan,ka+isip+an,ka+isip+an,ka+isip+an,ka+isip+an,ka+isip+an,ka+isip+an,ka+isip+an,ka+isip+an,ka+isip+an,ka+isi+pan,ka+isi+pan,ka+isipan,ka+isi+pan,ka+isi+pan,ka+isipan,ka+isip+an,ka+isip+an,ka+isip+an,kaisipan,,,
kayatulan,circumfixation,ka+yatul+an,kay+atulan,kay+atulan,kayatulan,kay+at+ulan,kayat+ulan,kayatulan,kay+atul+an,kay+atul+an,kayatulan,ka+yat+ulan,ka+yatulan,kayatulan,ka+yatul+an,ka+yatulan,kayatulan,ka+yat+ulan,ka+yatulan,kayatulan,kay+atul+an,kay+atul+an,kayatulan,kay+at+ul+an,kay+at+ul+an,kayatulan,ka+y+atulan,,,
kalalaman,circumfixation,ka+lalam+an,kal+al+aman,kal+al+aman,kalalaman,kal+al+aman,kal+al+aman,kal+al+aman,kal+al+aman,kal+al+aman,kal+al+aman,kal+al+aman,kal+al+aman,kal+al+aman,kal+al+aman,kal+al+aman,kal+al+aman,ka+lala+man,ka+lala+man,ka+lala+man,ka+lala+man,ka+lala+man,ka+lala+man,ka+lala+man,ka+lala+man,ka+lala+man,ka+lalam+an,,,
pakibatan,circumfixation,pakibat+an,pak+ibatan,pak+ibatan,pakibatan,pak+ibatan,pak+ibatan,pak+ibatan,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,pakibat+an,,,
pagkeran,circumfixation,pa+gker+an,pag+ker+an,pag+ker+an,pagkeran,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+ker+an,pag+k+er+an,pag+ker+an,pag+ker+an,pagkera+n,,,
kalibakan,circumfixation,ka+libak+an,kalib+akan,kalib+akan,kalib+akan,kal+ib+akan,kal+ib+akan,kalibakan,kal+ib+akan,kal+ib+akan,kalibakan,kal+ib+akan,kal+ib+akan,kalibakan,k+ali+ba+kan,k+ali+bakan,kalibakan,ka+li+ba+kan,kali+bakan,kalibakan,ka+li+ba+kan,ka+li+bakan,kalibakan,ka+li+ba+kan,kali+ba+kan,kali+ba+kan,ka+li+bak+an,,,
kayarian,circumfixation,ka+yari+an,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayarian,kayari+an,,,
kagutgutan,circumfixation,ka+gutgut+an,kag+ut+g+utan,kag+ut+g+utan,kagutgutan,kag+ut+g+utan,kag+ut+g+utan,kagutgutan,ka+g+ut+g+utan,kag+ut+g+utan,kagutgutan,kag+ut+g+utan,kag+ut+g+utan,kagutgutan,ka+gut+gut+an,ka+gut+gut+an,kagutgutan,ka+gut+gu+tan,ka+gut+gu+tan,kagutgutan,ka+gut+gu+tan,ka+gut+gu+tan,kagutgutan,ka+gut+gu+tan,ka+gut+gu+tan,kagutgutan,ka+gut+gut+an,,,
kalinguan,circumfixation,ka+lingu+an,kal+inguan,kal+inguan,kalinguan,kaling+uan,kalinguan,kalinguan,kaling+uan,kalinguan,kalinguan,kaling+uan,kalinguan,kalinguan,kaling+uan,kalinguan,kalinguan,ka+linguan,kalinguan,kalinguan,ka+li+ng+uan,kalinguan,kalinguan,ka+li+ng+uan,kali+ng+uan,kalinguan,kalingu+an,,,
kakataskatasan,circumfixation,ka+kataskatas+an,ka+katas+katasan,ka+katas+katasan,kakataskatasan,ka+kat+as+katasan,kakat+as+katasan,kakataskatasan,ka+kat+as+katasan,kakat+as+katasan,kakataskatasan,ka+kat+as+katasan,kakat+as+katasan,kakataskatasan,ka+ka+tas+katasan,ka+kataskatasan,kakataskatasan,ka+ka+tas+ka+tas+an,ka+kataskatasan,kakataskatasan,ka+ka+tas+ka+tas+an,ka+ka+tas+ka+tas+an,kakataskatasan,ka+ka+tas+ka+tasan,ka+ka+tas+ka+tasan,kakataskatasan,k+akataskatasan,,,
kamarinayan,circumfixation,ka+marinay+an,ka+mar+in+ayan,ka+mar+in+ayan,kamarinayan,ka+mar+in+ayan,ka+mar+in+ayan,kamarinayan,ka+mar+in+ayan,ka+mar+inayan,kamarinayan,ka+marin+ayan,ka+marin+ayan,kamarinayan,ka+marin+ayan,ka+marin+ayan,kamarinayan,ka+marin+ayan,ka+marin+ayan,kamarinayan,ka+marin+ayan,ka+marin+ayan,kamarinayan,ka+marin+ayan,ka+marin+ayan,kamarinayan,ka+ma+rin+ayan,,,
kapulungan,circumfixation,ka+pulung+an,kap+ulungan,kap+ulungan,kapulungan,kap+ulungan,kapulungan,kapulungan,kap+ulungan,kapulungan,kapulungan,kap+ulungan,kapulungan,kapulungan,kap+ulung+an,kapulungan,kapulungan,kap+ulung+an,kapulungan,kapulungan,kap+ulung+an,kapulungan,kapulungan,kap+ulungan,kap+ulungan,kapulungan,kapulungan,,,
kayupayan,circumfixation,ka+yupay+an,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupayan,kayupaya+n,,,
pamintuan,circumfixation,pa+mintu+an,pam+intuan,pam+intuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pamintuan,pam+intuan,pamintuan,pamintuan,pam+intu+an,pam+intuan,pamintuan,pamintu+an,,,
kapasalamatan,circumfixation,ka+pa+salamat+an,kap+as+alamatan,kapas+alamatan,kapasalamatan,kap+asal+am+atan,kap+asal+am+atan,kapasalamatan,ka+pas+alam+atan,kapas+alam+atan,kapasalamatan,kapa+sal+am+atan,kapa+salam+atan,kapasalamatan,kapa+sal+am+atan,kapa+salam+atan,kapasalamatan,ka+pa+salamat+an,ka+pa+salamat+an,kapasalamatan,kapa+salamat+an,kapa+salamat+an,kapasalamatan,kapa+salamat+an,kapa+salamat+an,kapasalamatan,ka+pasalamat+an,,,
kapupusan,circumfixation,ka+pupus+an,kap+up+usan,kapup+usan,kapupusan,kap+up+usan,kapup+usan,kapupusan,kap+up+usan,kapup+usan,kapupusan,ka+pupus+an,ka+pupus+an,kapupusan,ka+pu+pusan,kapu+pusan,kapupusan,ka+pu+pus+an,ka+pu+pusan,kapupusan,ka+pupus+an,ka+pupus+an,kapupusan,ka+pu+pus+an,kapu+pusan,kapupusan,kapupusan,,,
paimburisan,circumfixation,pa+imburis+an,pa+imb+ur+isan,pa+imb+ur+isan,pa+imburisan,pa+im+bur+isan,pa+im+bur+isan,pa+imburisan,pa+im+bur+isan,pa+im+bur+isan,pa+imburisan,pa+im+bur+isan,pa+im+bur+isan,pa+imburisan,pa+im+bur+isan,pa+im+bur+isan,pa+imburisan,pa+im+bu+ris+an,pa+imbu+ris+an,pa+imburisan,pa+im+bu+ris+an,pa+imbu+ris+an,paimburisan,pa+im+bu+ris+an,pa+imbu+ris+an,paimburisan,paimburis+an,,,
kalungkutan,circumfixation,ka+lungkut+an,kal+ung+kutan,kalung+kutan,kalungkutan,kal+ung+ku+tan,kal+ung+ku+tan,kal+ung+kutan,kal+ung+ku+tan,kal+ung+ku+tan,kal+ung+kutan,kal+ung+ku+tan,kal+ung+ku+tan,kal+ung+kutan,kal+ung+kut+an,kal+ung+kut+an,kal+ung+kut+an,ka+lungkut+an,ka+lungkut+an,ka+lungkut+an,ka+lung+ku+tan,ka+lung+kutan,ka+lung+kutan,ka+lungkut+an,ka+lungkut+an,ka+lungkut+an,ka+lungkut+an,,,
kandungan,circumfixation,ka+ndung+an,kand+ungan,kand+ungan,kandungan,kand+ungan,kand+ungan,kandungan,kan+d+ungan,kan+d+ungan,kandungan,kan+d+ungan,kan+d+ungan,kandungan,kan+dung+an,kan+dung+an,kandungan,kan+dung+an,kan+dung+an,kandungan,kan+dung+an,kan+dung+an,kandungan,k+and+ungan,k+and+ungan,kandungan,kan+dung+an,,,
kabyasnan,circumfixation,ka+byasn+an,kab+yas+nan,kab+yasnan,kabyasnan,kab+yas+nan,kab+yasnan,kabyasnan,kab+yas+nan,kab+yasnan,kabyasnan,kab+yas+nan,kab+yasnan,kabyasnan,kab+yas+nan,kab+yasnan,kabyasnan,kab+yas+nan,kab+yasnan,kabyasnan,ka+b+yas+nan,ka+byasnan,kabyasnan,ka+bya+s+nan,ka+bya+s+nan,kabyasnan,kabyasnan,,,
pakamalan,circumfixation,pa+kamal+an,paka+malan,pakamalan,pakamalan,paka+malan,pakamalan,pakamalan,pakamal+an,pakamalan,pakamalan,pakamal+an,pakamalan,pakamalan,pakamal+an,pakamalan,pakamalan,pakamal+an,pakamalan,pakamalan,paka+mal+an,pakamalan,pakamalan,pakamal+an,pakamalan,pakamalan,paka+malan,,,
parakalan,circumfixation,pa+rakal+an,par+ak+alan,par+ak+alan,par+akalan,par+ak+alan,par+ak+alan,par+akalan,par+ak+alan,par+ak+alan,par+akalan,par+ak+alan,par+ak+alan,par+akalan,pa+rakal+an,pa+rakal+an,pa+rakal+an,pa+rakal+an,pa+rakal+an,pa+rakal+an,pa+rakal+an,pa+rakal+an,pa+rakalan,pa+raka+lan,pa+raka+lan,pa+rakalan,para+ka+lan,,,
kayubuan,circumfixation,ka+yubu+an,kayu+b+uan,kayu+b+uan,kayu+buan,kayu+b+uan,kayu+b+uan,kayu+buan,kayu+b+uan,kayu+b+uan,kayu+buan,kayu+bu+an,kayu+bu+an,kayu+buan,kayu+bu+an,kayu+buan,kayu+buan,kayu+bu+an,kayu+buan,kayu+buan,kayu+bu+an,kayu+buan,kayu+buan,kayu+bu+an,kayu+buan,kayu+buan,kayu+bu+an,,,
kalaraman,circumfixation,ka+laram+an,kal+ar+aman,kal+ar+aman,kalaraman,kal+ar+aman,kal+ar+aman,kalaraman,kal+ar+aman,kal+ar+aman,kalaraman,kal+ar+aman,kal+ar+aman,kalaraman,kal+ar+aman,kal+ar+aman,kalaraman,ka+lar+aman,ka+lar+aman,kalaraman,ka+lar+aman,ka+lar+aman,kalaraman,kala+ram+an,kala+ram+an,kalaraman,ka+laram+an,,,
kapalaran,circumfixation,ka+palar+an,kap+al+aran,kapal+aran,kapal+aran,kapal+aran,kapal+aran,kapal+aran,ka+pal+aran,kapal+aran,kapal+aran,ka+pal+aran,kapal+aran,kapal+aran,ka+pal+aran,ka+pal+aran,kapal+aran,ka+pala+ran,ka+pala+ran,ka+palaran,kapa+la+ran,kapa+la+ran,kapa+la+ran,kapa+la+ran,kapa+la+ran,kapa+laran,ka+pala+ran,,,
kapanayan,circumfixation,ka+panay+an,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,kapanayan,,,
karalumduman,circumfixation,ka+ralumdum+an,kar+alum+du+man,kar+alum+duman,karalumduman,kar+al+um+du+man,kar+alum+duman,karalumduman,kar+al+um+du+man,kar+alum+duman,karalumduman,kar+al+um+du+man,kar+alum+duman,karalumduman,kar+alum+du+man,kar+alum+duman,karalumduman,kar+al+um+du+man,kar+alum+duman,karalumduman,kar+alum+du+man,kar+alum+duman,karalumduman,ka+ral+umdu+man,ka+ral+umdu+man,karalumduman,kar+alumdum+an,,,
karampatan,circumfixation,ka+rampat+an,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,karampatan,,,
panamdaman,circumfixation,pa+namdam+an,pan+amdaman,pan+amdaman,panamdaman,pan+amdaman,pan+amdaman,pan+amdaman,pan+amdaman,pan+amdaman,pan+amdaman,pan+amdaman,pan+amdaman,pan+amdaman,pan+amdam+an,pan+amdam+an,pan+amdam+an,pan+amdam+an,pan+amdam+an,pan+amdam+an,pan+am+daman,pan+amdaman,pan+amdaman,p+an+amdam+an,p+an+amdam+an,p+an+amdam+an,panamdaman,,,
kaligayan,circumfixation,ka+ligay+an,kal+igayan,kaligayan,kaligayan,kal+igayan,kaligayan,kaligayan,kal+igayan,kaligayan,kaligayan,kal+igayan,kaligayan,kaligayan,kal+igayan,kaligayan,kaligayan,ka+li+gayan,kaligayan,kaligayan,ka+li+gayan,kaligayan,kaligayan,ka+li+gayan,kaligayan,kaligayan,ka+ligaya+n,,,
kapanamdaman,circumfixation,ka+panamdam+an,kapan+amdaman,kapan+amdaman,kapanamdaman,kapan+amdaman,kapan+amdaman,kapanamdaman,kapan+amdaman,kapan+amdaman,kapanamdaman,kapan+amdaman,kapan+amdaman,kapanamdaman,kapan+amdam+an,kapan+amdam+an,kapanamdaman,kapan+amdam+an,kapan+amdam+an,kapanamdaman,kapan+am+daman,kapan+amdaman,kapanamdaman,kapan+amdam+an,kapan+amdam+an,kapanamdaman,ka+panamdaman,,,
katipunan,circumfixation,ka+tipun+an,kat+ipunan,kat+ipunan,kat+ipunan,kat+ip+unan,kat+ip+unan,kat+ip+unan,kat+ipun+an,kat+ipun+an,kat+ipun+an,kat+ip+unan,kat+ip+unan,kat+ip+unan,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,ka+tipun+an,,,
kayatinan,circumfixation,ka+yatin+an,kay+atin+an,kay+atin+an,kayatinan,kay+atin+an,kay+atin+an,kayatinan,kay+atin+an,kay+atin+an,kayatinan,kay+atin+an,kay+atin+an,kayatinan,kay+atin+an,kay+atin+an,kayatinan,kay+atin+an,kay+atin+an,kayatinan,kay+atin+an,kay+atin+an,kayatinan,kay+atin+an,kay+atin+an,kayatinan,kaya+tin+an,,,
pagnasan,circumfixation,pa+gnas+an,pag+nasan,pagnasan,pagnasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pag+nasan,pagnasan,,,
kapagnasan,circumfixation,ka+pagnas+an,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,kapagnasan,,,
kasangkapan,circumfixation,ka+sangkap+an,kasang+kapan,kasangkapan,kasangkapan,kas+ang+kapan,kas+ang+kapan,kas+ang+kapan,kas+ang+kapan,kas+ang+kapan,kas+ang+kapan,ka+sang+kapan,ka+sang+kapan,ka+sang+kapan,ka+sang+kapan,ka+sang+kapan,kasang+kapan,ka+sang+kapan,ka+sang+kapan,ka+sang+kapan,ka+sang+kapan,ka+sang+kapan,ka+sang+kapan,ka+sangkap+an,ka+sangkap+an,ka+sangkap+an,kasangkapan,,,
