surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
sinulat,infixation,s+in+ulat,sinulat,sinulat,sinulat,sin+ulat,sin+ulat,sin+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinulat,,,
sumuyu,infixation,s+um+uyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,su+mu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,sumuyu,,,
pinatubu,infixation,p+in+atubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+atu+bu,pin+atu+bu,pin+atubu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+a+tubu,,,
lingap,infixation,l+in+gap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,li+ng+ap,lingap,lingap,li+ng+ap,lingap,lingap,lingap,,,
maguing,prefixation,mag+uing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,,,
malugud,prefixation,ma+lugud,malugud,malugud,malugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ug+ud,mal+ug+ud,mal+ugud,malu+gud,malu+gud,malu+gud,mal+u+gud,mal+u+gud,malu+gud,ma+lugud,,,
malagung,prefixation,ma+lagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,,,
mangmang,prefixation,mang+mang,mang+mang,mang+mang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,,,
miglalang,prefixation,mig+lalang,mig+lalang,mig+lalang,miglalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,miglala+ng,,,
pamisip,prefixation,pam+isip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,,,
manuknangan,prefixation+suffixation,man+uknang+an,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknanga+n,,,
menuknangan,prefixation+suffixation,men+uknang+an,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,m+enuknangan,,,
menibatan,prefixation+suffixation,men+ibat+an,menibatan,menibatan,menibatan,menibatan,menibatan,menibatan,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,menibatan,menibatan,menibatan,me+nibatan,,,
makanianman,prefixation+suffixation,maka+nianm+an,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makan+ian+man,makan+ian+man,makan+ian+man,makanian+man,makanian+man,makanian+man,makanian+man,,,
magkailangan,prefixation+suffixation,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+ka+ilangan,magka+ilangan,magka+ilangan,mag+ka+ilangan,mag+ka+ilangan,magka+ilangan,mag+kailangan,,,
pisamban,prefixation+suffixation,pi+samb+an,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,,,
lalaki,reduplication,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,,,
babaing,reduplication,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,,,
lele,reduplication,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,,,
susuyu,reduplication,susuyu,sus+uyu,susuyu,susuyu,sus+uyu,susuyu,susuyu,sus+uyu,susuyu,susuyu,sus+uyu,susuyu,susuyu,susu+yu,susuyu,susuyu,sus+uyu,susuyu,susuyu,susu+yu,susuyu,susuyu,sus+uyu,susuyu,susuyu,susuyu,,,
lulugud,reduplication,lulugud,lul+ugud,lul+ugud,lulugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lu+lugud,lu+lugud,lu+lugud,lulu+gud,lulu+gud,lulu+gud,lu+lugud,lu+lugud,lu+lugud,lu+lugud,,,
sasalikut,reduplication,sasalikut,sas+alikut,sas+alikut,sasalikut,sas+ali+kut,sas+alikut,sas+alikut,sas+ali+kut,sas+alikut,sas+alikut,sas+ali+kut,sas+alikut,sas+alikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+sali+kut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,,,
sasabian,reduplication+suffixation,sasabi+an,sasabian,sasabian,sasabian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sa+sabian,sa+sabian,sa+sabian,sa+sabian,sa+sabian,sa+sabian,sa+sabi+an,sa+sabi+an,sa+sabi+an,sa+sabian,sa+sabian,sa+sabian,sasabian,,,
mamangan,reduplication+suffixation,ma+mangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,ma+mangan,,,
sasabyan,reduplication+suffixation,sasaby+an,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,,,
sasamban,reduplication+suffixation,sasamb+an,sas+amban,sas+amban,sasamban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+samban,,,
gugulutan,reduplication+suffixation,gugulut+an,gug+ulutan,gug+ulutan,gugulutan,g+ug+ulut+an,gug+ulut+an,gug+ulut+an,g+ug+ulut+an,gug+ulut+an,gug+ulut+an,g+ug+ulut+an,g+ug+ulut+an,gug+ulut+an,g+ug+ulut+an,g+ug+ulut+an,gug+ulut+an,g+ug+ulu+tan,g+ug+ulu+tan,gug+ulu+tan,gu+gulut+an,gu+gulut+an,gu+gulut+an,gu+gu+lutan,gu+gu+lutan,gu+gu+lutan,gugul+utan,,,
naman,suffixation,nam+an,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,,,
balayan,suffixation,balay+an,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,,,
gawan,suffixation,gaw+an,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,,,
luklukan,suffixation,lukluk+an,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,lukluk+an,,,
keraklan,suffixation,kerakl+an,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,,,
adwan,suffixation,adw+an,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,adwa+n,,,
kealan,suffixation,keal+an,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,kea+lan,,,
