surface,process,tier,silver_gold,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080
kapalaran,circumfixation,F_conflicts_with_reconciliation_evidence,ka+palar+an,kap+al+aran,kapal+aran,kapal+aran,kapal+aran,kapal+aran,kapal+aran,ka+pal+aran,kapal+aran,kapal+aran,ka+pal+aran,kapal+aran,kapal+aran,ka+pal+aran,ka+pal+aran,kapal+aran,ka+pala+ran,ka+pala+ran,ka+palaran,kapa+la+ran,kapa+la+ran,kapa+la+ran,kapa+la+ran,kapa+la+ran,kapa+laran,ka+pala+ran
kalaganapan,circumfixation,B_moderate_silver,ka+laganap+an,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kalagan+apan,kala+gan+apan,kala+gan+apan,kalagan+apan,ka+lag+ana+pan,ka+lag+ana+pan,ka+lag+ana+pan,kala+gan+apan,kala+gan+apan,kala+gan+apan,ka+lag+ana+p+an,ka+lag+anap+an,ka+lag+anap+an,ka+la+ganap+an
sinabi,infixation,A_strong_silver,s+in+abi,sinabi,sinabi,sinabi,sin+abi,sin+abi,sin+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,sinabi
minuna,infixation,F_conflicts_with_reconciliation_evidence,m+in+una,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna
kinuldas,infixation,A_strong_silver,k+in+uldas,kinul+das,kinul+das,kinuldas,kin+ul+das,kin+uldas,kin+uldas,kin+ul+das,kin+uldas,kin+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,kin+uldas
sinulat,infixation,A_strong_silver,s+in+ulat,sinulat,sinulat,sinulat,sin+ulat,sin+ulat,sin+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,s+in+ulat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinu+lat,sinulat
sumuyu,infixation,B_moderate_silver,s+um+uyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,su+mu+yu,su+mu+yu,sumuyu,su+mu+yu,sumu+yu,sumuyu,sumuyu
pinatubu,infixation,B_moderate_silver,p+in+atubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+atu+bu,pin+atu+bu,pin+atubu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+a+tubu
lingap,infixation,B_moderate_silver,l+in+gap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,li+ng+ap,lingap,lingap,li+ng+ap,lingap,lingap,lingap
maguing,prefixation,B_moderate_silver,mag+uing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing
malugud,prefixation,A_strong_silver,ma+lugud,malugud,malugud,malugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ug+ud,mal+ug+ud,mal+ugud,malu+gud,malu+gud,malu+gud,mal+u+gud,mal+u+gud,malu+gud,ma+lugud
malagung,prefixation,B_moderate_silver,ma+lagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung,malagung
mangmang,prefixation,A_strong_silver,mang+mang,mang+mang,mang+mang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang,mangmang,mangmang,mang+mang
miglalang,prefixation,A_strong_silver,mig+lalang,mig+lalang,mig+lalang,miglalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,mig+lalang,miglala+ng
pamisip,prefixation,F_conflicts_with_reconciliation_evidence,pam+isip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip
manuknangan,prefixation+suffixation,B_moderate_silver,man+uknang+an,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknanga+n
menuknangan,prefixation+suffixation,B_moderate_silver,men+uknang+an,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,m+enuknangan
menibatan,prefixation+suffixation,A_strong_silver,men+ibat+an,menibatan,menibatan,menibatan,menibatan,menibatan,menibatan,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,menibatan,menibatan,menibatan,me+nibatan
makanianman,prefixation+suffixation,B_moderate_silver,maka+nianm+an,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makan+ian+man,makan+ian+man,makan+ian+man,makanian+man,makanian+man,makanian+man,makanian+man
magkailangan,prefixation+suffixation,F_conflicts_with_reconciliation_evidence,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+ka+ilangan,magka+ilangan,magka+ilangan,mag+ka+ilangan,mag+ka+ilangan,magka+ilangan,mag+kailangan
pisamban,prefixation+suffixation,B_moderate_silver,pi+samb+an,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban
lalaki,reduplication,B_moderate_silver,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki
babaing,reduplication,B_moderate_silver,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing
lele,reduplication,A_strong_silver,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele
susuyu,reduplication,B_moderate_silver,susuyu,sus+uyu,susuyu,susuyu,sus+uyu,susuyu,susuyu,sus+uyu,susuyu,susuyu,sus+uyu,susuyu,susuyu,susu+yu,susuyu,susuyu,sus+uyu,susuyu,susuyu,susu+yu,susuyu,susuyu,sus+uyu,susuyu,susuyu,susuyu
lulugud,reduplication,A_strong_silver,lulugud,lul+ugud,lul+ugud,lulugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lul+ugud,lu+lugud,lu+lugud,lu+lugud,lulu+gud,lulu+gud,lulu+gud,lu+lugud,lu+lugud,lu+lugud,lu+lugud
sasalikut,reduplication,A_strong_silver,sasalikut,sas+alikut,sas+alikut,sasalikut,sas+ali+kut,sas+alikut,sas+alikut,sas+ali+kut,sas+alikut,sas+alikut,sas+ali+kut,sas+alikut,sas+alikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+sali+kut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut,sa+salikut
sasabian,reduplication+suffixation,A_strong_silver,sasabi+an,sasabian,sasabian,sasabian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sas+abian,sa+sabian,sa+sabian,sa+sabian,sa+sabian,sa+sabian,sa+sabian,sa+sabi+an,sa+sabi+an,sa+sabi+an,sa+sabian,sa+sabian,sa+sabian,sasabian
mamangan,reduplication+suffixation,F_conflicts_with_reconciliation_evidence,ma+mangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,mamangan,ma+mangan
sasabyan,reduplication+suffixation,B_moderate_silver,sasaby+an,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan,sasabyan
sasamban,reduplication+suffixation,B_moderate_silver,sasamb+an,sas+amban,sas+amban,sasamban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sas+amban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+sam+ban,sa+samban
gugulutan,reduplication+suffixation,A_strong_silver,gugulut+an,gug+ulutan,gug+ulutan,gugulutan,g+ug+ulut+an,gug+ulut+an,gug+ulut+an,g+ug+ulut+an,gug+ulut+an,gug+ulut+an,g+ug+ulut+an,g+ug+ulut+an,gug+ulut+an,g+ug+ulut+an,g+ug+ulut+an,gug+ulut+an,g+ug+ulu+tan,g+ug+ulu+tan,gug+ulu+tan,gu+gulut+an,gu+gulut+an,gu+gulut+an,gu+gu+lutan,gu+gu+lutan,gu+gu+lutan,gugul+utan
naman,suffixation,B_moderate_silver,nam+an,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman,naman
balayan,suffixation,F_conflicts_with_reconciliation_evidence,balay+an,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan,balayan
gawan,suffixation,B_moderate_silver,gaw+an,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan,gawan
luklukan,suffixation,A_strong_silver,lukluk+an,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,luklukan,lukluk+an
keraklan,suffixation,B_moderate_silver,kerakl+an,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan,keraklan
adwan,suffixation,B_moderate_silver,adw+an,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,adwa+n
kealan,suffixation,B_moderate_silver,keal+an,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,kea+lan
