id,source,surface,normalized,root,morph_segments,tokenizer_target,affixes,process,pos_guess,features,confidence,frequency_in_sources,context,notes
kap-morph-0022,literary,keka,keka,keka,keka,keka,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,912,na itang kasuywan na [Keka] king myaliwang bage Kadwa,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0023,literary,sinabi,sinabi,sabi,s+in+abi,s | in | abi,-in-,infixation,V,infix=-in-; position=after_initial_consonant,medium,885,ka e Ku na [sinabi] Dis ING ALDO NING,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0024,literary,karelang,karelang,karelang,karelang,karelang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,668,tin yang laya Ketang [karelang] buring daptan Dapot sabla,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0025,literary,iti,iti,iti,iti,iti,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,651,Daklat Dyos ko nung [iti] man kapagsubukan a kaku,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0026,literary,dapot,dapot,dapot,dapot,dapot,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,606,dangalan aku ing tatanggap [Dapot] busal na ning ligaya,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0027,literary,no,no,no,no,no,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,528,king keang konsehu Pepaisipa [no] ring pili nang lider,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0028,literary,lalaki,lalaki,laki,la~laki,la~laki,la~,reduplication,V/ADJ,reduplicated_cv=la; aspect_or_intensification,medium,502,kanita biglang mipaltutu A [lalaki] ya sa ing maging,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0029,literary,karin,karin,karin,karin,karin,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,486,ikit a bakas a [karin] Na mo sa likwan,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0030,literary,kanaku,kanaku,kanaku,kanaku,kanaku,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,466,Nung iti ya ing [kanaku] daraptan da ring aliwa,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0031,literary,kanakung,kanakung,kanakung,kanakung,kanakung,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,463,e maybug mipagyu king [kanakung] pusu Uling ing kanakung,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0032,literary,keng,keng,keng,keng,keng,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,453,maging bungsu ku ba [keng] akalagyu Nung inya king,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0033,literary,bang,bang,bang,bang,bang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,451,kapayapan paka-samasan kung banten [Bang] gawan dang pyalimbawan ding,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0034,literary,naman,naman,nam,nam+an,nam | an,-an,suffixation,N/V,suffix=-an,medium,421,at mikakamale Daragul mu [naman] ing kapanayan na ning,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0035,literary,ika,ika,ika,ika,ika,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,419,Inyang lusuban de pilming-pilming [Ika] ing awsan na Lagyu,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0036,literary,karela,karela,karela,karela,karela,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,407,lang sumuyung masolu Pablasang [karela] yang babie kuswelu Makarapat,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0037,literary,balayan,balayan,balay,balay+an,balay | an,-an,suffixation,N/V,suffix=-an,medium,406,masabal karing kawal ning [balayan] E malyaring managumpe e,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0038,literary,inya,inya,inya,inya,inya,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,395,ba keng akalagyu Nung [inya] king kakung pamagsikap king,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0039,literary,ko,ko,ko,ko,ko,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,391,Writings Literary Writings DYOS [KO] NUKARIN KA Ketang misapwak,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0040,literary,dalan,dalan,dal,dal+an,dal | an,-an,suffixation,N/V,suffix=-an,medium,383,gulut ding paslit karing [dalan] ugse-ugse Mayntun putu king,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0041,literary,de,de,de,de,de,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,358,nang atsi neng pakyalungan [de] Itang sagakgak da musika,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0042,literary,itang,itang,itang,itang,itang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,348,ka keti king masala [itang] kakung Bungsu Itang kaligayan,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0043,literary,arapan,arapan,arap,arap+an,arap | an,-an,suffixation,N/V,suffix=-an,medium,335,akayantabe Atyu Ku king [arapan] da ring sisisi t,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0044,literary,maguing,maguing,uing,mag+uing,mag | uing,mag-,prefixation,V/ADJ/N,prefix=mag-,medium,329,Inya ing buri kung [maguing] katambayan Malugud ya sana,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0045,literary,kanita,kanita,kanita,kanita,kanita,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,328,Uling ing kanakung paninap [kanita] biglang mipaltutu A lalaki,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0046,literary,aku,aku,aku,aku,aku,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,320,ya at ketang dangalan [aku] ing tatanggap Dapot busal,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0047,literary,babai,babai,bai,ba~bai,ba~bai,ba~,reduplication,V/ADJ,reduplicated_cv=ba; aspect_or_intensification,medium,303,ing suagal alak at [babai] at pamanabusu King myaliwang,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0048,literary,mabilug,mabilug,bilug,ma+bilug,ma | bilug,ma-,prefixation,V/ADJ/N,prefix=ma-,medium,289,Mesyas Ing kasalanan ning [Mabilug] a yatu meyatbus na,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0049,literary,uli,uli,uli,uli,uli,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,284,ya miyablian daya King [uli] na ning kamasalan a,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0050,literary,pabustan,pabustan,bust,pa+bust+an,pa | bust | an,pa- + -an,circumfixation,N/V,circumfix=pa-...-an,medium,263,e mamagkanu Eta ya [pabustan] siran da terminu Ding,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0051,literary,inyang,inyang,inyang,inyang,inyang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,259,rugu ali Me segipan [Inyang] lusuban de pilming-pilming Ika,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0052,literary,nala,nala,nala,nala,nala,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,257,Ding taung menalbe mako [nala] naman Mapilan mung galo,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0053,literary,kapampangan,kapampangan,pampang,ka+pampang+an,ka | pampang | an,ka- + -an,circumfixation,N/V,circumfix=ka-...-an,medium,256,yang maglualu Inya anting [Kapampangan] ding asu nung nukarin,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0054,literary,manibat,manibat,ibat,man+ibat,man | ibat,man-,prefixation,V/ADJ/N,prefix=man-,medium,253,adle Kalingwan ku wari [Manibat] kanitang paslit yang pelangga,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0055,literary,kekayu,kekayu,kekayu,kekayu,kekayu,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,252,Miyatyat kung gamat mamili [kekayu] Ganakan yu sanang king,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0056,literary,babo,babo,babo,babo,babo,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,238,Mika-atin lang pisulwan king [babo] na ning lamesa Makanyan,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0057,literary,kayu,kayu,kayu,kayu,kayu,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,236,na ning balen Ume [kayu] keni o maldang memalen,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0058,literary,makanian,makanian,nian,maka+nian,maka | nian,maka-,prefixation,V/ADJ/N,prefix=maka-,medium,234,maglutu atyu keng mamangan [Makanian] ya ing bie kalupanga,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0059,literary,ita,ita,ita,ita,ita,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,229,sabyan dang alang Dyos [ita] e mipasa A alang,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0060,literary,oini,oini,oini,oini,oini,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,229,kapampangan pigmalasakit ye kaya [Oini] pu ing kakung pluma,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0061,literary,ba,ba,ba,ba,ba,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,227,ing maging bungsu ku [ba] keng akalagyu Nung inya,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0062,literary,ibat,ibat,ibat,ibat,ibat,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,227,Bubusuk ya pa sang [ibat] king kawali Nung mitamban,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0063,literary,detang,detang,detang,detang,detang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,214,muli karing kapatad na [Detang] deng maputla ala nang,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0064,literary,ketang,ketang,ketang,ketang,ketang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,209,DYOS KO NUKARIN KA [Ketang] misapwak ka keti king,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0065,literary,sabian,sabian,sabi,sabi+an,sabi | an,-an,suffixation,N/V,suffix=-an,medium,208,Aping tinipa balu yeng [sabian] Ninu tai tang bayaning,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0066,literary,marawak,marawak,rawak,ma+rawak,ma | rawak,ma-,prefixation,V/ADJ/N,prefix=ma-,medium,203,ing pamanabusu Ing sablang [marawak] A dapat ning tau,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0067,literary,wari,wari,wari,wari,wari,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,188,mang adle Kalingwan ku [wari] Manibat kanitang paslit yang,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0068,literary,panaun,panaun,naun,pa+naun,pa | naun,pa-,prefixation,V/ADJ/N,prefix=pa-,medium,187,Sabi nang Tatang ku [Panaun] na bungsu Makyasawa na,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0069,literary,matulid,matulid,tulid,ma+tulid,ma | tulid,ma-,prefixation,V/ADJ/N,prefix=ma-,medium,183,buyut King kayapan ing [matulid] ya ing papalto kung,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0070,literary,ilang,ilang,ilang,ilang,ilang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,182,nang tapat anggang wakas [ilang] mabye saksi A sibuburyan,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0071,literary,binie,binie,bie,b+in+ie,b | in | ie,-in-,infixation,V,infix=-in-; position=after_initial_consonant,medium,180,ku Ini nang upayang [binie] mu kanaku Tiru mung,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0072,literary,dewakan,dewakan,dewak,dewak+an,dewak | an,-an,suffixation,N/V,suffix=-an,medium,179,Keang timpusan Inyang king [dewakan] Ume neng malumud ingmeto,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0073,literary,libutad,libutad,libutad,libutad,libutad,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,179,kurus a iguguyud ku [libutad] ning dalan Tanda na,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0074,literary,kaya,kaya,kaya,kaya,kaya,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,178,kaluguran na a mituki [kaya] Dapot inya rugung parakit,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0075,literary,deng,deng,deng,deng,deng,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,175,karing kapatad na Detang [deng] maputla ala nang pangimut,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0076,literary,ini,ini,ini,ini,ini,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,160,O Perdiz paslamatan ku [Ini] nang upayang binie mu,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0077,literary,maragul,maragul,ragul,ma+ragul,ma | ragul,ma-,prefixation,V/ADJ/N,prefix=ma-,medium,159,magkwentu Minaus ya kanung [maragul] a pulung king keang,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0078,literary,meguing,meguing,uing,meg+uing,meg | uing,meg-,prefixation,V/ADJ/N,prefix=meg-,medium,152,king gayut dang makailo [Meguing] supaping mekiapus king pangimut,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0079,literary,kekeng,kekeng,keng,ke~keng,ke~keng,ke~,reduplication,V/ADJ,reduplicated_cv=ke; aspect_or_intensification,medium,149,Katambal ning leguan a [kekeng] kesale Inya ing buri,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0080,literary,manuknangan,manuknangan,uknang,man+uknang+an,man | uknang | an,man-; -an,prefixation+suffixation,V/ADJ/N,prefix=man-; suffix=-an,medium,149,Eba ban Karin ke [manuknangan] Karing sabla-sablang mabie a,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0081,literary,ining,ining,ining,ining,ining,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,145,ning maluka ming bye [Ining] keang koya t ding,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0082,literary,depatan,depatan,depat,depat+an,depat | an,-an,suffixation,N/V,suffix=-an,medium,143,alan neng ulaga King [depatan] nang maknayan ding taung,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0083,religious,kapakaluluan,kapakaluluan,pakalulu,ka+pakalulu+an,ka | pakalulu | an,ka- + -an,circumfixation,N/V,circumfix=ka-...-an,medium,143,malating dili king anggang [kapakaluluan] at king anggang katutuan,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0084,literary,daptan,daptan,dapt,dapt+an,dapt | an,-an,suffixation,N/V,suffix=-an,medium,138,Malyaring dakal pa ing [daptan] nang mayap lalama Mung,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0085,literary,kanitang,kanitang,kanitang,kanitang,kanitang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,132,Kalingwan ku wari Manibat [kanitang] paslit yang pelangga Angga,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0086,literary,purian,purian,puri,puri+an,puri | an,-an,suffixation,N/V,suffix=-an,medium,132,nang caring amanu mapinu [Purian] ne at paligayan ing,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0087,literary,manatili,manatili,atili,man+atili,man | atili,man-,prefixation,V/ADJ/N,prefix=man-,medium,127,Turu Susulung at managumpe [manatili] mu ring bigu Ninu,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0088,literary,laman,laman,lam,lam+an,lam | an,-an,suffixation,N/V,suffix=-an,medium,120,susuku king aus ning [laman] Ing kekang ligaya atyu,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0089,literary,ampon,ampon,ampon,ampon,ampon,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,116,yamu kabud na magalang [ampon] maganaka Nune tau ya,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0090,literary,katuliran,katuliran,tulir,ka+tulir+an,ka | tulir | an,ka- + -an,circumfixation,N/V,circumfix=ka-...-an,medium,116,na king batas ning [katuliran] At ining taung dakilang,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0091,literary,pasibayu,pasibayu,sibayu,pa+sibayu,pa | sibayu,pa-,prefixation,V/ADJ/N,prefix=pa-,medium,115,mate bait Mu ku [pasibayu] Dis l NUKARIN YA,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0092,literary,marangle,marangle,rangle,ma+rangle,ma | rangle,ma-,prefixation,V/ADJ/N,prefix=ma-,medium,114,baryu Paraisa atin keng [marangle] Mananaman kaming miyaliwang gule,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0093,literary,kautusan,kautusan,utus,ka+utus+an,ka | utus | an,ka- + -an,circumfixation,N/V,circumfix=ka-...-an,medium,112,kung kekeng gagalangan Ding [kautusan] na sinulat na no,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0094,literary,lalam,lalam,lalam,lalam,lalam,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,111,tam u dulung king [lalam] ning yatu E tamu,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0095,literary,sikanan,sikanan,sikan,sikan+an,sikan | an,-an,suffixation,N/V,suffix=-an,medium,110,kekaming maluka at alang [sikanan] Kikyak ung justicia ing,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0096,literary,laban,laban,lab,lab+an,lab | an,-an,suffixation,N/V,suffix=-an,medium,106,Ba na kung ingatan [laban] kang Satanas E na,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0097,religious,panuanan,panuanan,nuan,pa+nuan+an,pa | nuan | an,pa- + -an,circumfixation,N/V,circumfix=pa-...-an,medium,106,a bansa at ika [panuanan] daka at paragulan ku,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0098,literary,binili,binili,bili,b+in+ili,b | in | ili,-in-,infixation,V,infix=-in-; position=after_initial_consonant,medium,105,milayi yang bigla Kabud [binili] ke dimdam kung mewala,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0099,literary,dinatang,dinatang,datang,d+in+atang,d | in | atang,-in-,infixation,V,infix=-in-; position=after_initial_consonant,medium,102,pang ali na ku [dinatang] arap yu Kapamu Ninu,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0100,literary,ingatan,ingatan,ngat,i+ngat+an,i | ngat | an,i-; -an,prefixation+suffixation,V/ADJ/N,prefix=i-; suffix=-an,medium,102,bante Ba na kung [ingatan] laban kang Satanas E,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0101,literary,tuntunan,tuntunan,tuntun,tuntun+an,tuntun | an,-an,suffixation,N/V,suffix=-an,medium,102,bye mangisnawa Maki-gulis yang [tuntunan] Balang tau tin yang,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0102,literary,kawan,kawan,kaw,kaw+an,kaw | an,-an,suffixation,N/V,suffix=-an,medium,99,baryu Paraisa Atin kaming [kawan] king berding taldawa Manese,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0103,literary,panalangin,panalangin,alangin,pan+alangin,pan | alangin,pan-,prefixation,V/ADJ/N,prefix=pan-,medium,99,mirina nang Wakas Pebrero [PANALANGIN] Soneto Asyano Ibpa king,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0104,literary,makananu,makananu,nanu,maka+nanu,maka | nanu,maka-,prefixation,V/ADJ/N,prefix=maka-,medium,98,atyu king yatu Nung [makananu] rong ayuli Impyernus ding,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
kap-morph-0105,literary,ikong,ikong,ikong,ikong,ikong,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,94,Pasku maygit ming buburyan [Ikong] pengarimi at ikong tegawan,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0106,religious,kapurian,kapurian,puri,ka+puri+an,ka | puri | an,ka- + -an,circumfixation,N/V,circumfix=ka-...-an,medium,94,Deuteronomy Ya ing kekang [kapurian] at ya ing kekang,Rule-based candidate from thesis affix inventory; review against native-speaker judgment/Forman or Del Corro lexicon for gold training.
