id,surface,normalized,root,morph_segments,affixes,process,original_confidence,reconstruction_ok,root_in_v2_lexicon,root_in_secondary_lexicon,reconciliation_root_tier,affix_recognized,in_known_function_word_list,reconciliation_conflict,reconciliation_conflict_reason,tier
kap-morph-0048,mabilug,mabilug,bilug,ma+bilug,ma-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0049,uli,uli,uli,uli,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0050,pabustan,pabustan,bust,pa+bust+an,pa- + -an,circumfixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0051,inyang,inyang,inyang,inyang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0052,nala,nala,nala,nala,,clitic_or_function,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0053,kapampangan,kapampangan,pampang,ka+pampang+an,ka- + -an,circumfixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0054,manibat,manibat,ibat,man+ibat,man-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0055,kekayu,kekayu,kekayu,kekayu,,function_word,high,True,True,False,weak,,False,False,,B_moderate_silver
kap-morph-0056,babo,babo,babo,babo,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0057,kayu,kayu,kayu,kayu,,function_word,high,True,True,False,strong,,False,False,,B_moderate_silver
kap-morph-0058,makanian,makanian,nian,maka+nian,maka-,prefixation,medium,True,False,False,strong,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0059,ita,ita,ita,ita,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0060,oini,oini,oini,oini,,function_word,high,True,False,False,strong,,False,False,,B_moderate_silver
kap-morph-0061,ba,ba,ba,ba,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0062,ibat,ibat,ibat,ibat,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0063,detang,detang,detang,detang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0064,ketang,ketang,ketang,ketang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0065,sabian,sabian,sabi,sabi+an,-an,suffixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0066,marawak,marawak,rawak,ma+rawak,ma-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0067,wari,wari,wari,wari,,function_word,high,True,True,True,weak,,False,False,,B_moderate_silver
kap-morph-0068,panaun,panaun,naun,pa+naun,pa-,prefixation,medium,True,False,True,strong,True,False,False,,A_strong_silver
kap-morph-0069,matulid,matulid,tulid,ma+tulid,ma-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0070,ilang,ilang,ilang,ilang,,function_word,high,True,False,False,strong,,False,False,,B_moderate_silver
kap-morph-0071,binie,binie,bie,b+in+ie,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0072,dewakan,dewakan,dewak,dewak+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0073,libutad,libutad,libutad,libutad,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0074,kaya,kaya,kaya,kaya,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0075,deng,deng,deng,deng,,function_word,high,True,False,False,strong,,True,False,,A_strong_silver
kap-morph-0076,ini,ini,ini,ini,,function_word,high,True,True,False,strong,,False,False,,B_moderate_silver
kap-morph-0077,maragul,maragul,ragul,ma+ragul,ma-,prefixation,medium,True,True,False,strong,True,False,False,,A_strong_silver
kap-morph-0078,meguing,meguing,uing,meg+uing,meg-,prefixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0079,kekeng,kekeng,keng,ke~keng,ke~,reduplication,medium,True,False,False,weak,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0080,manuknangan,manuknangan,uknang,man+uknang+an,man-; -an,prefixation+suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0081,ining,ining,ining,ining,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0082,depatan,depatan,depat,depat+an,-an,suffixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0083,kapakaluluan,kapakaluluan,pakalulu,ka+pakalulu+an,ka- + -an,circumfixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0084,daptan,daptan,dapt,dapt+an,-an,suffixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0085,kanitang,kanitang,kanitang,kanitang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0086,purian,purian,puri,puri+an,-an,suffixation,medium,True,False,True,strong,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0087,manatili,manatili,atili,man+atili,man-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0088,laman,laman,lam,lam+an,-an,suffixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0089,ampon,ampon,ampon,ampon,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0090,katuliran,katuliran,tulir,ka+tulir+an,ka- + -an,circumfixation,medium,True,False,False,none,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0091,pasibayu,pasibayu,sibayu,pa+sibayu,pa-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0092,marangle,marangle,rangle,ma+rangle,ma-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0093,kautusan,kautusan,utus,ka+utus+an,ka- + -an,circumfixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0094,lalam,lalam,lalam,lalam,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0095,sikanan,sikanan,sikan,sikan+an,-an,suffixation,medium,True,True,False,strong,True,False,False,,A_strong_silver
kap-morph-0096,laban,laban,lab,lab+an,-an,suffixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0097,panuanan,panuanan,nuan,pa+nuan+an,pa- + -an,circumfixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0098,binili,binili,bili,b+in+ili,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0099,dinatang,dinatang,datang,d+in+atang,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0100,ingatan,ingatan,ngat,i+ngat+an,i-; -an,prefixation+suffixation,medium,True,False,False,none,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0101,tuntunan,tuntunan,tuntun,tuntun+an,-an,suffixation,medium,True,False,True,strong,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0102,kawan,kawan,kaw,kaw+an,-an,suffixation,medium,True,False,False,weak,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0103,panalangin,panalangin,alangin,pan+alangin,pan-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0104,makananu,makananu,nanu,maka+nanu,maka-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0105,ikong,ikong,ikong,ikong,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0106,kapurian,kapurian,puri,ka+puri+an,ka- + -an,circumfixation,medium,True,False,True,strong,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0107,inia,inia,inia,inia,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0108,kasalanan,kasalanan,salan,ka+salan+an,ka- + -an,circumfixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0109,makanyan,makanyan,nyan,maka+nyan,maka-,prefixation,medium,True,False,False,strong,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0110,pamangan,pamangan,mang,pa+mang+an,pa- + -an,circumfixation,medium,True,True,False,weak,True,False,False,,A_strong_silver
kap-morph-0111,kaligtasan,kaligtasan,ligtas,ka+ligtas+an,ka- + -an,circumfixation,medium,True,True,False,strong,True,False,False,,A_strong_silver
kap-morph-0112,kamatayan,kamatayan,matay,ka+matay+an,ka- + -an,circumfixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0113,kinua,kinua,kua,k+in+ua,-in-,infixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0114,mangatua,mangatua,atua,mang+atua,mang-,prefixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0115,pakiramdaman,pakiramdaman,kiramdam,pa+kiramdam+an,pa- + -an,circumfixation,medium,True,False,False,none,True,False,True,"existing v2/v4 analysis already accepts root 'PAKIRAMDAM' (segments 'PAKIRAMDAM + AN') for this exact surface, not 'kiramdam'",F_conflicts_with_reconciliation_evidence
kap-morph-0116,karetang,karetang,karetang,karetang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0117,bulan,bulan,bul,bul+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0118,kaniti,kaniti,kaniti,kaniti,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0119,misan,misan,mis,mis+an,-an,suffixation,medium,True,True,False,strong,True,False,False,,A_strong_silver
kap-morph-0120,wanan,wanan,wan,wan+an,-an,suffixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0121,malyari,malyari,lyari,ma+lyari,ma-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0122,pamamilatan,pamamilatan,mamilat,pa+mamilat+an,pa- + -an,circumfixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0123,pekapun,pekapun,kapun,pe+kapun,pe-,prefixation,medium,True,True,False,weak,False,False,False,,C_weak_needs_review
kap-morph-0124,pitung,pitung,tung,pi+tung,pi-,prefixation,medium,True,True,False,strong,True,False,False,,A_strong_silver
kap-morph-0125,tutu,tutu,tu,tu~tu,tu~,reduplication,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0126,kayanakan,kayanakan,yanak,ka+yanak+an,ka- + -an,circumfixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0127,lalaking,lalaking,laking,la~laking,la~,reduplication,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0128,kaluguran,kaluguran,lugur,ka+lugur+an,ka- + -an,circumfixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0129,pablasang,pablasang,blasang,pa+blasang,pa-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0130,sisuan,sisuan,sisu,sisu+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0131,tatakut,tatakut,takut,ta~takut,ta~,reduplication,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0132,tipan,tipan,tip,tip+an,-an,suffixation,medium,True,False,False,weak,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0133,ikang,ikang,ikang,ikang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0134,katutuan,katutuan,tutu,ka+tutu+an,ka- + -an,circumfixation,medium,True,True,True,weak,True,False,False,,A_strong_silver
kap-morph-0135,malyaring,malyaring,lyaring,ma+lyaring,ma-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0136,tinape,tinape,tape,t+in+ape,-in-,infixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0137,maiguit,maiguit,iguit,ma+iguit,ma-,prefixation,medium,True,False,True,weak,True,False,False,,B_moderate_silver
kap-morph-0138,magkang,magkang,kang,mag+kang,mag-,prefixation,medium,True,True,False,weak,True,False,False,,A_strong_silver
kap-morph-0139,pasbul,pasbul,sbul,pa+sbul,pa-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0140,sasabian,sasabian,sabi,sa~sabi+an,sa~; -an,reduplication+suffixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0141,gawan,gawan,gaw,gaw+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0142,maniabi,maniabi,iabi,man+iabi,man-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0143,sinta,sinta,sta,s+in+ta,-in-,infixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0144,dinan,dinan,dan,d+in+an,-in-,infixation,medium,True,False,True,strong,True,False,True,"existing v2/v4 analysis already accepts root 'Din' (segments 'Din + an') for this exact surface, not 'dan'",F_conflicts_with_reconciliation_evidence
kap-morph-0145,miniabi,miniabi,miabi,m+in+iabi,-in-,infixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0146,linual,linual,lual,l+in+ual,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0147,pasalamat,pasalamat,salamat,pa+salamat,pa-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0148,pasbulan,pasbulan,sbul,pa+sbul+an,pa- + -an,circumfixation,medium,True,False,False,none,True,False,True,"existing v2/v4 analysis already accepts root 'pasbul' (segments 'pasbul + an') for this exact surface, not 'sbul'",F_conflicts_with_reconciliation_evidence
kap-morph-0149,babaing,babaing,baing,ba~baing,ba~,reduplication,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0150,kabaldugan,kabaldugan,baldug,ka+baldug+an,ka- + -an,circumfixation,medium,True,True,True,strong,True,False,True,"existing v2/v4 analysis already accepts root 'BALDUGAN' (segments 'KA + BALDUGAN') for this exact surface, not 'baldug'",F_conflicts_with_reconciliation_evidence
kap-morph-0151,mangan,mangan,ngan,ma+ngan,ma-,prefixation,medium,True,True,False,strong,True,False,False,,A_strong_silver
kap-morph-0152,nangan,nangan,nang,nang+an,-an,suffixation,medium,True,True,False,strong,True,False,False,,A_strong_silver
kap-morph-0153,binang,binang,bang,b+in+ang,-in-,infixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0154,dinalan,dinalan,dalan,d+in+alan,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0155,canaan,canaan,cana,cana+an,-an,suffixation,medium,True,False,False,strong,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0156,pekabuntuk,pekabuntuk,kabuntuk,pe+kabuntuk,pe-,prefixation,medium,True,False,False,weak,False,False,False,,C_weak_needs_review
kap-morph-0157,larawan,larawan,laraw,laraw+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0158,maging,maging,ging,ma+ging,ma-,prefixation,medium,True,False,False,weak,True,False,True,"existing v2/v4 analysis already accepts root 'ING' (segments 'MAG + ING') for this exact surface, not 'ging'",F_conflicts_with_reconciliation_evidence
kap-morph-0159,menuknangan,menuknangan,uknang,men+uknang+an,men-; -an,prefixation+suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0160,pibandian,pibandian,bandi,pi+bandi+an,pi-; -an,prefixation+suffixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0161,pagamuamu,pagamuamu,gamuamu,pa+gamuamu,pa-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0162,kapayapan,kapayapan,payap,ka+payap+an,ka- + -an,circumfixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0163,makapatulug,makapatulug,tulug,makapa+tulug,makapa-,prefixation,medium,True,False,True,none,False,False,False,,C_weak_needs_review
kap-morph-0164,tinalakad,tinalakad,talakad,t+in+alakad,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0165,manaya,manaya,naya,ma+naya,ma-,prefixation,medium,True,False,True,strong,True,False,False,,A_strong_silver
kap-morph-0166,marayu,marayu,rayu,ma+rayu,ma-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0167,pangane,pangane,gane,pan+gane,pan-,prefixation,medium,True,False,False,none,True,False,True,"existing v2/v4 analysis already accepts root 'Panga' (segments 'Panga + ne') for this exact surface, not 'gane'",F_conflicts_with_reconciliation_evidence
kap-morph-0168,tumula,tumula,tula,t+um+ula,-um-,infixation,medium,True,False,True,strong,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0169,bandian,bandian,bandi,bandi+an,-an,suffixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0170,dinapat,dinapat,dapat,d+in+apat,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0171,makapagmulala,makapagmulala,mulala,makapag+mulala,makapag-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0172,tuparan,tuparan,tupar,tupar+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0173,angganan,angganan,anggan,anggan+an,-an,suffixation,medium,True,False,False,weak,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0174,kasakitan,kasakitan,sakit,ka+sakit+an,ka- + -an,circumfixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0175,malagu,malagu,lagu,ma+lagu,ma-,prefixation,medium,True,True,False,strong,True,False,False,,A_strong_silver
kap-morph-0176,minuna,minuna,muna,m+in+una,-in-,infixation,medium,True,False,True,strong,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0177,linub,linub,lub,l+in+ub,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0178,malugud,malugud,lugud,ma+lugud,ma-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0179,manalig,manalig,alig,man+alig,man-,prefixation,medium,True,False,True,none,True,False,False,,B_moderate_silver
kap-morph-0180,dininan,dininan,dinan,d+in+inan,-in-,infixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0181,jordan,jordan,jord,jord+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0182,masikan,masikan,sikan,ma+sikan,ma-,prefixation,medium,True,True,False,strong,True,False,False,,A_strong_silver
kap-morph-0183,paninap,paninap,inap,pan+inap,pan-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0184,tanaman,tanaman,tanam,tanam+an,-an,suffixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0185,manakit,manakit,akit,man+akit,man-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0186,bunduk-bundukan,bunduk-bundukan,bunduk-bunduk,bunduk-bunduk+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0187,damdaman,damdaman,damdam,damdam+an,-an,suffixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0188,lawan,lawan,law,law+an,-an,suffixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0189,ninumang,ninumang,numang,n+in+umang,-in-,infixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0190,gagawan,gagawan,gawan,ga~gawan,ga~,reduplication,medium,True,False,True,weak,True,False,False,,B_moderate_silver
kap-morph-0191,mangaragul,mangaragul,aragul,mang+aragul,mang-,prefixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0192,menganak,menganak,anak,meng+anak,meng-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0193,penganak,penganak,nganak,pe+nganak,pe-,prefixation,medium,True,False,False,none,False,False,False,,C_weak_needs_review
kap-morph-0194,ganakan,ganakan,ganak,ganak+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0195,kuanan,kuanan,kuan,kuan+an,-an,suffixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0196,makapayan,makapayan,payan,maka+payan,maka-,prefixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0197,masanting,masanting,santing,ma+santing,ma-,prefixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0198,menibatan,menibatan,ibat,men+ibat+an,men-; -an,prefixation+suffixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0199,leguan,leguan,legu,legu+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
kap-morph-0200,ninung,ninung,nung,n+in+ung,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0201,daraptan,daraptan,darapt,darapt+an,-an,suffixation,medium,True,False,False,none,True,False,False,,B_moderate_silver
