id,batch,kapampangan,filipino,correct,comment
rv_0069,1 - main (please do these first),"Atiu king cuentung Filipino ing catalasan ning isip at calinauan ning pamagistoria, samantalang king cuentong Japon naman atiu ing caunlaran at cabiasnan.","Nasa-kuwentong Pilipino ang katalasan ng isip at kalinawan ng pagsasalaysay, samantalang sa kuwentong Hapon naman ay naroon ang kaunlara't kabihasnan.",,
rv_0070,1 - main (please do these first),"SBMA, miglansad yang bayung gimik para caring turista","SBMA, naglunsad ng bagong gimik para sa mga turista",,
rv_0071,1 - main (please do these first),Oini anting sasabian na ing pamaging maalamat ning bie nang Bernardo Carpio keti Filipinas.,Eto ay parang nagbabadya sa magiging maalamat ding buhay ni Bernardo Carpio sa Pilipinas.,,
rv_0072,1 - main (please do these first),Gamitan ning DA laban caring peste ding ngungut ing atlumpulung milyong pesus,Gagamitin ng DA laban sa peste sa niyog ang tatlumpung milyong piso,,
rv_0073,1 - main (please do these first),Sisiguraduan nang PGMA ing balaus a pamipaunlad ning economia ning bansa,Sinisiguro ni PGMA ang patuloy na pag-unlad ng ekonomiya ng bansa,,
rv_0074,1 - main (please do these first),Panibayung reporma king economia ing planu ning administracion,Ibayong reporma sa ekonomiya ang plano ng administrasyon,,
rv_0075,1 - main (please do these first),Titingiran neng pansin ning presidente ing pamipaunlad king economia ning Filipinas,Pinagtutuonan ng pansin ng pangulo ang pagpapaunlad sa ekonomiya ng Pilipinas,,
rv_0076,1 - main (please do these first),Samantalang minabut naman king five hundred four point five a milyong dollar ing atipun king pulayi ning negocio napun king mercado.,Samantalang umabot naman sa five hundred four point five na milyong dolyar ang naipon sa takbo ng negosyo kahapon sa merkado.,,
rv_0077,1 - main (please do these first),Posible ya pung lala nung e ya maagapan?,Posible po yang lumala kung hindi maagapan?,,
rv_0078,1 - main (please do these first),Ing utang ning gubierno minabut king three point nine trilyong pesus,Ang utang ng gobyerno ay umabot sa three point nine trilyong piso,,
rv_0079,1 - main (please do these first),I Michael wari ing mengan king mangga?,Si Michael ba ang kumain ng mangga?,,
rv_0080,1 - main (please do these first),"NAPOCOR, ibaba na ing singil king corriente","NAPOCOR, bababaan ang singil sa kuryente",,
rv_0081,1 - main (please do these first),"Pamipaunlad ning economia ning bansa, pakinabangan da ding anggang sector","Pag-unlad ng ekonomiya ng bansa, pakikinabangan ng lahat ng sektor",,
rv_0082,1 - main (please do these first),Agad neng lisungan Bernardo ing bangin ban sagipan at saupan ing cabayo.,Agad na nilusong ni Bernardo ang bangin upang sagipin at tulungan ang kabayo.,,
rv_0083,1 - main (please do these first),"NAPOCOR, macatipid yang metung a bilyong dollar ngening banua","NAPOCOR, makatitipid ng isang bilyong dolyar ngayong taon",,
rv_0084,1 - main (please do these first),Talaturu ya wari e Maricel?,Guro ba si Maricel?,,
rv_0085,1 - main (please do these first),Planu ning Banco Central ning Filipinas a ilaco king circulacion ing tantiang limampulung bilyung pesus labis a salapi,Plano ng Bangko Sentral ng Pilipinas na alisin sa sirkulasyon ang tinatayang limampung bilyong pisong labis na salapi.,,
rv_0086,1 - main (please do these first),Caninu ya ing bag a yan?,Kanino ang bag na iyan?,,
rv_0087,1 - main (please do these first),Buclat-gamat nong tinggap ning Malacanang ding OFWs,"Bukas-kamay na tinanggap ng Malakanyang, mga OFWs",,
rv_0088,1 - main (please do these first),Tau po.,Tao po.,,
rv_0089,1 - main (please do these first),Inauad ning DAR king corte ing TRO,Hiniling ng DAR sa korte ang TRO,,
rv_0090,1 - main (please do these first),"Atlung dayuhang compania, inspeccionan de ing controversial a NAIA","Tatlong dayuhang kompanya, iinspeksyunin ang kontrobersyal na NAIA",,
rv_0091,1 - main (please do these first),Cuanan ing libru at mamasa.,Kuhanin ang libro at magbasa.,,
rv_0092,1 - main (please do these first),Type AB cu pu,Type AB po ako.,,
rv_0093,1 - main (please do these first),Pagaralan ne ning America ing pamanangcat mangga ibat Pangasinan,Pinag-aaralan ng Amerika ang pag-angkat ng mangga galing Pangasinan,,
rv_0094,1 - main (please do these first),"“Ah mataloti ca pala,” pamanuya ning gorilya,","""Ah, duwag ka pala,"" ang pang-uuyam ng gorilya.",,
rv_0095,1 - main (please do these first),Mangailangan ya ing gobiernong atlumpulut siam a bilyong dollar para caring proyecto niti,Mangangailangan ang gobyerno ng tatlumpu't siyam na bilyong dolyar para sa mga proyekto nito,,
rv_0096,1 - main (please do these first),Dedma ya ing Palacio,Dedma ang Palasyo,,
rv_0097,1 - main (please do these first),"Panaun na ngening dapat lunto ing sala ning catutuan; panaun nang dapat tamung ipakilala a itamu atin tang sariling panamdam, ating puri, ating dine at pamagdamayan.","Panahon na ngayong dapat na lumitaw ang liwanag ng katotohanan; panahon nang dapat nating ipakilala na tayo'y may sariling pagdaramdam, may puri, may hiya at pagdadamayan.",,
rv_0098,1 - main (please do these first),Okey ya wari?,Okey ba siya?,,
rv_0099,1 - main (please do these first),"Casakitan king bansa, mibaba agpang cang PGMA","Kahirapan sa bansa, bumaba ayon kay PGMA",,
rv_0100,1 - main (please do these first),Mcasadia ya ing America a ibalaus ing pamag-develop king industria ning gatas keti Filipinas,Nakahanda ang Amerika na ituloy ang pag-develop sa industriya ng gatas sa Pilipinas.,,
rv_0101,1 - main (please do these first),Layunan ning mesabing proyecto ing aresolba ing manimunang problema king energia ning Mindanao,Layunin ng nasabing proyekto na maresolba ang pangunahing problema sa enerhiya ng Mindanao.,,
rv_0102,1 - main (please do these first),Binaba ing panglual a utang ning bansa,Bumaba ang panlabas na utang ng bansa,,
rv_0103,1 - main (please do these first),Gumastus labing atlung bilyong pesus ing gobierno king pamagbie king OPSF,Gagastos ng labintatlong bilyong piso ang gobyerno sa pagbuhay ng OPSF,,
rv_0104,1 - main (please do these first),Palaguan ne ning administracion ing economia ning Filipinas,Pagagandahin ng administrasyon ang ekonomiya ng Pilipinas,,
rv_0105,1 - main (please do these first),Lalagu ing economia ning bansa,Gumaganda ang ekonomiya ng bansa,,
rv_0106,1 - main (please do these first),Tigtig ya wari I Francisco?,Tutugtog ba si Francisco?,,
rv_0107,1 - main (please do these first),Palauacan ing produccion ning abaca king Albay,Palalawakin ang produksyon ng abaca sa Albay,,
rv_0108,1 - main (please do these first),"Macasadia ya ing bansa a cuanan ing maragul a parte ning mercado ning mangga king Estados Unidos, agpang king secretario ning Departamento ning Agricultura","Nakahanda ang bansa na kunin ang malaking parte ng pamilihang-mangga sa Estados Unidos, ayun sa sekretaryo ng Departamento ng Agrikultura.",,
rv_0109,1 - main (please do these first),"Bisa cang mangan, o painawa?","Gusto mo bang kumain, o magpahinga?",,
rv_0110,1 - main (please do these first),Dacpan la ding dayuhang criminal,Huhulihin ang mga dayuhang kriminal,,
rv_0111,1 - main (please do these first),"Tigtig ya I Francisco, e wari?","Tutugtog si Francisco, 'di ba?",,
rv_0112,1 - main (please do these first),Sali lang bayung tren ing MRT,Bibili ng mga bagong tren ang MRT,,
rv_0113,1 - main (please do these first),Mabilis kinalat ing aca-aca a i Bernardo macasipit ya caring miyuyumpugang batu at balang magcapilit yang macauala maging sangcan niti ing ayun king cabunducan ning San Mateo.,Mabilis na kumalat ang haka-haka na si Bernardo ay naiipit ng nag- uumpugang bato at tuwing nagpipilit siyang kumawala ay nagiging sanhi eto ng paglindol sa kabundukan ng San Mateo.,,
rv_0114,1 - main (please do these first),"Minapela yang pasibayu caring sablang candidatu I PGMA a iwasan ing pamamulitica, at itingid ing pansin caring papalabung king economia","Umapela muli sa lahat ng kandidato si PGMA na iwasan ang pamumulitika, at ituon ang pansin sa pagpapalago ng ekonomiya",,
rv_0115,1 - main (please do these first),Patuc ya caring dayuhang capitalista ing campania ning gobierno king turismu,Patok sa mga dayuhang kapitalista ang kampanya ng gobyerno sa turismo,,
rv_0116,1 - main (please do these first),"Tauli ya man at magaling, mitagal ya pa mu rin.","Huli man daw at magaling, naihahabol din.",,
rv_0117,1 - main (please do these first),Maligayang Pascu at masaplalang bayung banua.,Maligayang Pasko po at mani�gong bagong taon.,,
rv_0118,1 - main (please do these first),Aminadung melugi ketang milabas a banua ing Cebu Pacific,Aminadong nalugi noong nakaraang taon ang Cebu Pacific,,
rv_0119,1 - main (please do these first),"Agpang cang PGMA, e ya miapectuan ning politica ing economia ning bansa","Ayon kay PGMA, hindi maaapektuhan ng pulitika ang ekonomiya ng bansa",,
rv_0120,1 - main (please do these first),Malati yamu ing efecto ning ayun king pambansang economia ning Indonesia,Hindi masyadong naapektuhan ng lindol ang pambansang ekonomiya ng Indonesia,,
rv_0121,1 - main (please do these first),Pepapurian ne ing ADBng PGMA,Pinapurihan ang ADB ni PGMA,,
rv_0122,1 - main (please do these first),Antayu ing pisara?,Nasaan ang pisara?,,
rv_0123,1 - main (please do these first),"Malagua mu wari ing exam, o masakit?","Madali lang ba ang eksam, o mahirap?",,
rv_0124,1 - main (please do these first),Miglinis cong balugbog?,Naglinis ba kayo ng tayga?,,
rv_0125,1 - main (please do these first),Estudyanti ya wari?,Estudyante ba siya?,,
rv_0126,1 - main (please do these first),Manatiling matatag ing economia ning bansa agiang king gulu ning politica,Nananatiling matatag ang ekonomiya ng bansa kabila ng mga gulo sa pulitika.,,
rv_0127,1 - main (please do these first),Daracal la ding dayuhang mamuhunan king bansa,Dumadami ang mga dayuhang namumuhunan sa bansa,,
rv_0128,1 - main (please do these first),Tatasan dang nine point percent ing tinas ning coleccion ning BIR king milabas a banua nung nucarin mibangun ya ibat king pitung banuang pangalugmuc ning pamibuisan king GDP,Tinatayang nine point nine percent ang itinaas ng koleksyon nang BIR sa naturang taon kung saan nakaahon ito mula sa pitong taon na pagkakalugmok nang pagbubuwis sa GDP.,,
rv_0129,1 - main (please do these first),Daig na ning maagap ing taung masipag.,Daig ng maagap ang taong masipag.,,
rv_0130,1 - main (please do these first),Dagdagan ing bacal.,Dagdagan ang baon,,
rv_0131,1 - main (please do these first),Sisiguraduan de ing matatag a economia ning lungsud,Sinisiguro ang matatag na ekonomiya ng lungsod,,
rv_0132,1 - main (please do these first),Macananu yang mabalu ing sakit a yan?,Nasa dugo niyo ba yung ganyang sakit?,,
rv_0133,1 - main (please do these first),Mecabuu yang limang milyong obra ing capamalan,Nakabuo ng limang milyong trabaho ang pamahalaan,,
rv_0134,1 - main (please do these first),Diniscuento ne ning Banco Central ing cacapusan ning dollar,Diniskwento ng Bangko Sentral ang kakapusan ng dolyar,,
rv_0135,1 - main (please do these first),E ne pagalo PGMA ing pesus laban king dollar,Hindi ipagagalaw ni PGMA ang piso laban sa dolyar,,
rv_0136,1 - main (please do these first),"Semplang ne naman ing campania ning RP contra catiualian, agpang king WB","Semplang na naman ang kampanya ng RP kontra katiwalian, ayon sa WB",,
rv_0137,1 - main (please do these first),Sabian mu nung nucarin masakit,Sabihin niyo po kung saan masakit,,
rv_0138,1 - main (please do these first),"Pauli ning tagle nang sicanan at bilis ning cabayo inaus deng Hagibis, at manibat canita I Bernardo at Hagibis pane na lang miyayabe king pama masyal king cabunducan ning San Mateo.",Dahil sa tanglay na lakas at bilis ang kabayo ay tinawag niyang si Hagibis at mula nuon si Bernardo at si Hagibis ay laging magkasama sa pamamasyal sa kabundukan ng San Mateo.,,
rv_0139,1 - main (please do these first),Tiualang acua ne ning Vietnam ing contrata king pami-angcat ning Filipinas abias,Tiwalang makukuha ng Vietnam ang kontrata sa pag-aangkat ng Pilipinas ng bigas,,
rv_0140,1 - main (please do these first),Nanu ing buri yung canan keng Christmas Party?,Ano ang gusto ninyong kainin sa Christmas Party?,,
rv_0141,1 - main (please do these first),"Ding mangangalacal, maniuala la a lalung lumabung ing negocio king lungsud ning Cotabato","Mangangalakal, naniniwala na lalong lalago ang negosyo sa lungsod ng Cotabato",,
rv_0142,1 - main (please do these first),Macananu casakit ing exam yu?,Gaano kahirap ang eksam nyo?,,
rv_0143,1 - main (please do these first),Mayulu ya pa wari ita Doc?,Magagamot pa ba yun Dok?,,
rv_0144,1 - main (please do these first),Dobliyan ning Australia ing financial a saup king RP,Dodoblehin ng Australia ang pinansyal na tulong sa RP,,
rv_0145,1 - main (please do these first),Ayusan ing gamit.,Ayusin ang gamit.,,
rv_0146,1 - main (please do these first),Tunggal-tunggal mu king CR.,Isa-isa lang sa CR,,
rv_0147,1 - main (please do these first),Mecapaglista ya ing Filipinas aduang point eight a milyong visita king banuang aduang libo at anam,Nakapagtala ang Pilipinas ng two point eight na milyong bisita sa taong dalawang libo at anim,,
rv_0148,1 - main (please do these first),Magsane sumulat malagu.,Magsanay sumulat ng maganda.,,
rv_0149,1 - main (please do these first),"Ing e lugud king cayang salita, migit pa king animal at malanam a asan. (Jose Rizal)",Ang hindi magmahal sa kaniyang wika ay mahigit pa sa hayop at malansang isda. (Jose Rizal)),,
rv_0150,1 - main (please do these first),Saupan dala ding SMEs ding labingsiam a compania,Tutulungan ang mga SMEs ng labingsiyam na kompanya,,
rv_0151,1 - main (please do these first),Pulutan ing basura.,Itapon ang basura sa basurahan.,,
rv_0152,1 - main (please do these first),Mesugat ya pu ing balat na,Nagsusugat po ang balat niya,,
rv_0153,1 - main (please do these first),"Catunayan, sinabi ning BSP a cumpara ketang mengalabas a banua, binaba yang maigit metung a dollar ing singil king pamipadalang dollar","Katunayan, sinabi ng BSP na kumpara noong mga nakaraang taon, bumaba ng mahigit isang dolyar ang singil sa pagpapadala ng dolyar.",,
rv_0154,1 - main (please do these first),Lalala ya pu ata ing sakit cu,Lumalala po ata ang sakit ko,,
rv_0155,1 - main (please do these first),Mecatipid ya ing gobiernong maigit apat a pulung milyong pesus king pamamayad interes king utang,Nakatipid ang gobyerno ng mahigit apatnapung milyong piso sa pagbayad ng interes sa utang,,
rv_0156,1 - main (please do these first),"Agpang cang Bunye, balaus nang didinan pansin ning capamalan ing pamipalagu ning economia ning bansa","Ayon kay Bunye, patuloy na binibigyang pansin ng pamahalaan ang pagpapalago ng ekonomiya ng bansa",,
rv_0157,1 - main (please do these first),Ing DBP mu rin ing magpalual pondu caring proyectong meapruban.,Ang DBP rin ang maglalabas ng pondo sa mga proyektong maaaprubahan.,,
rv_0158,1 - main (please do these first),"Agpang cang Presidente Arroyo, king pamakipagpulung niti caring negociante, ila canu paua lang magnasa a mibulus puhunan keti Filipinas ngening paangat na ing economia ning bansa","Ayon kay Pangulong Arroyo, sa pakikipagpulong nito sa mga negosyante, sila umano'y pawang naghahangad na magbuhos ng puhunan sa Pilipinas ngayong paangat na ang ekonomiya ng bansa.",,
rv_0159,1 - main (please do these first),Mag-rollback pasibayu potang capitangan bengi ing LPG,Magro-rolbak uli mamayang hatinggabi ang LPG,,
rv_0160,1 - main (please do these first),"'Ginung Matsing"", ing sabi ning pau, ""comusta ya ing kecang pun-saging?""","""G. Matsing"", ang sabi ng pagong, ""kumusta ang iyong punong-saging?""",,
rv_0161,1 - main (please do these first),Macaafectu king mabagal a pamangusad ning economia ning bansa ing balaus a intriga king politica,Nakakaapekto sa mabagal na pag-usad ng ekonomiya ng bansa ang patuloy na iringan sa pulitika,,
rv_0162,1 - main (please do these first),Macasadiang mamisaling murang abias ing Vietnam king Filipinas,Handang magbenta ng murang bigas ang Vietnam sa Pilipinas,,
rv_0163,1 - main (please do these first),"Ing paralan king pangauacas ning cuentu ning Japon atin yang gusut, samantalang ing cuentung Filipino malino at papakilalang maingat a pamagumasid ning ugali't panamdam.","Ang paraan ng pagkakawakas sa kuwento ng Hapon ay may kagusutan, samantalang ang kuwentong Pilipino'y malinaw at nagpapakilala ng maingat na pagmamasid ng ugali't pakiramdam.",,
rv_0164,1 - main (please do these first),Malati ya pa ayakitanan da ne I Bernardo pambihirang sican at ticdi.,Maliit pa lang ay kinakitaan na si Bernardo ng pambihirang lakas at kisig.,,
rv_0165,1 - main (please do these first),Maingat ngening pagaralan ning local a capamalan ning lungsud ning Menila nung nanu-nanung caso ing maliaring isampa laban caring kilalang personalidad a mitalacad negocio king baywalk king kecaban ning Roxas Boulevard,Masusing pinag-aaralan ngayon ng lokal na pamahalaan ng lungsod ng Manila kung anu-anong kaso ang maaaring isampa laban sa mga kilalang personalidad na nagtayo ng negosyo sa baywalk sa kahabaan ng Roxas Blvd.,,
rv_0166,1 - main (please do these first),Cumpiansa ya I Durano a tangkilican da rin ing mesabing isla calupa ning Boracay.,Kumpiyansa si Durano na tatangkilikin rin ang nasabing isla gaya ng Boracay.,,
rv_0167,1 - main (please do these first),Titiyacan na ning DTI a ligtas la ding pamisaling tinape king bansa,Tiniyak ng DTI na ligtas ang mga binibentang tinapay sa bansa,,
rv_0168,1 - main (please do these first),Binabang metung a porciento ing utang panlual ning Filipinas agpang king Banco Central ning Filipinas,Bumaba ng isang porsiyento ang utang panlabas ng Pilipinas ayon sa Bangko Sentral ng Pilipinas,,
rv_0169,1 - main (please do these first),Titiyacan nang PGMA king yatu ing determinacion ding Filipino king pamisugpu caring terorista,Tiniyak ni PGMA sa mundo ang determinasyon ng mga Pilipino sa pagsugpo sa mga terorista,,
rv_0170,1 - main (please do these first),Patauad pu.,Patawad po.,,
rv_0171,1 - main (please do these first),Pangadalan nang Bernardo ginamit ne ning eng cantado ing cayang agimat ban piumpugan no ding mangaragul a batu king capagnasan nang sipitan at paten I Bernardo.,Pagdaan ni Bernardo ay ginamit ng engkantado ang kanyang agimat upang pag-umpugin nito ang naglalakihang bato sa pagnanais na ipitin at patayin si Bernardo.,,
rv_0172,1 - main (please do these first),At nung tutuki ne ning cayang igpa king pamanga su anting alang nanu naman a puputputan nong Bernardo ding mapilan a pun ban macagauang dalan king masucal a cagubatan ning San Mateo.,At kapag isinasama siya ng ama sa pangangaso ay parang walang anuman na binubunot ni Bernardo ang ilang mga puno upang makagawa ng daanan sa masukal na kagubatan ng San Mateo.,,
rv_0173,1 - main (please do these first),Mayap a bengi Doctor,Magandang gabi Doktor,,
rv_0174,1 - main (please do these first),Sinabi na naman ning DOF a ustung pepaburian ya ing mesabing bage siguradung caualan yang panakitan ing gobierno.,Sinabi naman ng DOF na kapag pinagbigyan ang naturang bagay siguradong mawawalan ng kita ang gobyerno.,,
rv_0175,1 - main (please do these first),Lalung pepasicnangan ing reforma nang PGMA,Lalong pinalakas ang reporma ni PGMA,,
rv_0176,1 - main (please do these first),"Agpang king NAPOCOR, maliaring mabut ing carelang bayaran anggang siyam a milyong pesus.","Ayon sa NAPOCOR, maaring umabot ang kanilang babayaran ng hanggang siyam na milyong piso.",,
rv_0177,1 - main (please do these first),"“Ginung Matsing”, ing sabi nang pau, “comusta ya ing kecang pun saging?”","""Ginoong Matsing"", ang sabi ng pagong, ""kumusta ang iyong punong-saging?""",,
rv_0178,1 - main (please do these first),Pasantingan ing sulat.,Pagandahin ang sulat,,
