item_num,pam_text,fil_text,n_tokens,n_attested,pct_attested,unattested_tokens
25,E a-atag matutunan ing bayung software king kilub mu ning panying aldo.,Hindi madaling matutunan ang bagong software sa loob lamang ng isang araw.,12,9,75.0,"a-atag, matutunan, panying"
26,Kapangan ku pa mu inyang dumatang la ding bisita king bale.,Kakakain ko lang nang dumating ang mga bisita sa bahay.,11,10,90.9,dumatang
27,Maglutu ya i Ima king kusina kabang maglinis ya i Tatang king mula.,Nagluluto si Nanay sa kusina samantalang naglilinis si Tatay ng bakuran.,13,13,100.0,
28,Muna kami king palengke bukas abak ban sumali king sariwang asan.,Pupunta kami sa palengke bukas nang maaga upang bumili ng sariwang isda.,11,11,100.0,
29,Yari da ne ing proyekto bayu pa man dumatang ing huling aldo ning submission.,Natapos na nila ang proyekto bago pa man dumating ang huling araw ng submission.,14,12,85.7,"dumatang, huling"
30,Kamako na pa mu ning bus inyang miras kami king terminal.,Kaaalis lang ng bus nang makarating kami sa terminal.,11,10,90.9,kamako
31,Manalbe la pang telebisyon inyang bigla yang mepatda ing kuryente.,Nanonood sila ng telebisyon nang biglang mamatay ang kuryente.,10,9,90.0,mepatda
32,Gawan ku ing kakung takdang-aralin potang bengi pagka-yari ning hapunan.,Gagawin ko ang aking takdang-aralin mamayang gabi pagkatapos ng hapunan.,10,8,80.0,"takdang-aralin, pagka-yari"
33,Mekaligu na i Ben bayu pa man dumatang ding kayang kaluguran.,Naligo na si Ben bago pa man dumating ang kanyang mga kaibigan.,11,9,81.8,"mekaligu, dumatang"
34,"Kabang maglakad ku king dalan, mekapakit kung lumang larawan king labuad.","Habang naglalakad ako sa kalsada, nakakita ako ng lumang larawan sa lupa.",11,10,90.9,mekapakit
35,Patuloy yang mag-aral i Maria para king kayang licensure exam ngening bulan.,Patuloy na nag-aaral si Maria para sa kanyang licensure exam ngayong buwan.,12,11,91.7,patuloy
36,Karas na pa mu ning ima ku ibat king makabang biyahe ibat probinsya.,Kakarating lang ng nanay ko mula sa mahabang biyahe galing probinsya.,13,13,100.0,
37,Sali kaming bayung laptop nung makakua na kaming bonus.,Bibili kami ng bagong laptop kapag nakakuha na kami ng bonus.,9,9,100.0,
38,Mag-obra ya king kumpanyang iyan manibat pa inyang panying banua.,Nagtatrabaho siya sa kumpanyang iyan simula pa noong isang taon.,10,9,90.0,panying
39,Kabait ku pa mu king ospital para king kakung taunang medical check-up.,Kagagaling ko lang sa ospital para sa aking taunang medical check-up.,12,11,91.7,taunang
40,Maglutu ya i Kapatad a Lalaki king manyaman a hapunan para king kealdawan ni Kapatad a Babai.,Magluluto si Kuya ng masarap na hapunan para sa kaarawan ni Ate.,17,16,94.1,kealdawan
41,Naisipan dang magbakasyon king Baguio king daratang a bulan ning Disyembre.,Naisipan nilang magbakasyon sa Baguio sa darating na buwan ng Disyembre.,11,10,90.9,magbakasyon
42,Kalinis pa mu ning kuwarto inyang linub la ding anak a makasapatos.,Kakalinis pa lang ng kuwarto nang pumasok ang mga bata nang nakasapatos.,12,10,83.3,"kuwarto, makasapatos"
43,Balang aldo yang mag-ehersisyo bayu muna king opisina.,Araw-araw siyang nag-eehersisyo bago pumunta sa opisina.,8,7,87.5,mag-ehersisyo
44,Yarian tamu ing ulat a ini bayu mag-alas singko ning gatpanapun.,Tatapusin natin ang ulat na ito bago mag-alas singko ng hapon.,11,11,100.0,
45,"Inyang meputok ing gulong ning kotse, agad kaming tinabi king dalan.","Nang pumutok ang gulong ng kotse, agad kaming tumabi sa kalsada.",11,9,81.8,"meputok, gulong"
46,Magpadala kung salapi king kakung pamilya king tutuntung a linggu.,Magpapadala ako ng pera sa aking pamilya sa susunod na linggo.,10,9,90.0,tutuntung
47,Kabasa ku pa mu ning balita tungkul king pagtaas ning presyo ng bilihin.,Kababasa ko lang ng balita tungkol sa pagtaas ng presyo ng bilihin.,13,11,84.6,"pagtaas, bilihin"
48,Magsalaysay ya i Lelu kabang makiramdam nang tahimik ding apo.,Nagsasalaysay ang lolo habang nakikinig nang tahimik ang mga apo.,10,10,100.0,
49,Ihanda ku ding gagamitan tamu para king seminar bukas.,Ihahanda ko ang mga gagamitin natin para sa seminar bukas.,9,8,88.9,ihanda
50,Kayari pa mu ning uran kaya basa pa ing labuad king kilwal.,Katatapos pa lang ng ulan kaya basa pa ang lupa sa labas.,12,12,100.0,
51,"Uling minuran nang masikan napun bengi, minalbug ing kekaming dalan.","Dahil umulan nang malakas kagabi, bumaha ang aming kalsada.",10,9,90.0,minalbug
52,"Inyang meyari ing pulung, agad silang muli ding sablang empleyado.","Nang matapos ang pulong, agad na umuwi ang lahat ng empleyado.",10,10,100.0,
53,"Nung yari mu ing kekang gawaing-bahay, makapagliyal ka king kilwal.","Kung matatapos mo ang iyong gawaing-bahay, makakapaglaro ka sa labas.",10,8,80.0,"gawaing-bahay, makapagliyal"
54,"Maski mabayat ing trapiko king dalan, miras kami pa rin king takdang oras.","Bagama't mabigat ang trapiko sa daan, nakarating pa rin kami sa oras.",13,12,92.3,trapiko
55,"Ing lalaking makisabi keka nandin, ya ing bayu tamung kapitbahay.",Ang lalaking nakipag-usap sa iyo kanina ay ang bago nating kapitbahay.,10,9,90.0,kapitbahay
56,"Ban makatipid king gastusin, magbabaon na kami mu pang apagto king opisina.","Para makatipid sa gastusin, nagbabaon na lang kami ng tanghalian sa opisina.",12,9,75.0,"gastusin, magbabaon, apagto"
57,"Kabang maghintay kami king bus, naisipan ming minum kape.","Habang naghihintay kami sa bus, naisipan naming uminom ng kape.",9,8,88.9,maghintay
58,"Maski na pagud na pagud i Ana, tinapos ne pa rin ing kayang ulat.","Kahit na pagod na pagod si Ana, tinapos pa rin niya ang kanyang ulat.",14,12,85.7,"pagud, pagud"
59,"Ban maiwasan ing malate king klase, maaga yang meko king bale.","Upang maiwasan ang huli sa klase, maaga siyang umalis ng bahay.",11,9,81.8,"maiwasan, maaga"
60,"Nung sakaling magbago ing kekang isip, tawagan mu ku agad.","Kung sakaling magbago ang iyong isip, tawagan mo agad ako.",10,9,90.0,magbago
61,"Uling e ya nakatanto king leksyon, nahirapan ya king pagsusulit.","Dahil hindi siya nakatanto sa leksyon, nahirapan siya sa pagsusulit.",10,6,60.0,"nakatanto, leksyon, nahirapan, pagsusulit"
62,Ing librong sinali mu king mall ay napakaganda at kapaki-pakinabang.,Ang librong binili mo sa mall ay napakaganda at kapaki-pakinabang.,10,7,70.0,"librong, napakaganda, kapaki-pakinabang"
63,"Kabang maglutu ya i Ima, manalbe balita ing kakung tata.","Habang nagluluto si Ina, nanonood ng balita ang aking ama.",10,10,100.0,
64,"Maski ditak mu ing kekaming handa, meging masaya ing kekaming pagdiriwang.","Bagama't kaunti lamang ang aming handa, naging masaya ang aming pagdiriwang.",11,11,100.0,
65,"Nung mayari na ing uran, lalabas tamu para maglakad-lakad.","Kapag natapos na ang ulan, lalabas tayo para maglakad-lakad.",9,9,100.0,
66,Ing gurong magturo matematika ay napakatiyaga kadagting kayang mag-aral.,Ang gurong nagtuturo ng matematika ay napakatiyaga sa kanyang mga mag-aaral.,9,6,66.7,"gurong, napakatiyaga, kadagting"
67,"Uling king kawalan ning signal, e kami nakapagpadala ning mensahe.","Dahil sa kawalan ng signal, hindi kami nakapagpadala ng mensahe.",10,9,90.0,nakapagpadala
68,"Maski mabilis yang minulayi, e ne pa rin naabutan ing tren.","Kahit mabilis siyang tumakbo, hindi pa rin niya naabutan ang tren.",11,9,81.8,"minulayi, naabutan"
69,"Bayu mu simulan ing pagsusulit, basan mu mu muna nang masanting ing panuto.","Bago mo simulan ang pagsusulit, basahin mo muna nang maigi ang panuto.",13,12,92.3,pagsusulit
70,"Nung magkaroon tamung libreng oras ngening linggu, bisitahan tamu i lelu/lelang.","Kung magkakaroon tayo ng libreng oras ngayong linggo, bibisita tayo sa lola.",11,10,90.9,lelu/lelang
71,Ing gusaling makatayo king kanto ay meging bayung ospital.,Ang gusaling itinayo sa kanto ay magiging isang bagong ospital.,9,7,77.8,"makatayo, kanto"
72,"Kabang mag-aral ku napun bengi, bigla yang mepatda ing sulu king kekaming kuwarto.","Habang nag-aaral ako kagabi, biglang namatay ang ilaw sa aming kuwarto.",13,11,84.6,"mepatda, kuwarto"
73,"Ban e maligaw king lungsod, gumamit kaming mapa king kekaming telepono.","Para hindi maligaw sa lungsod, gumamit kami ng mapa sa aming telepono.",11,10,90.9,maligaw
74,"Maski bayu pa mu ya king kumpanya, dakal na siyang naibagay.","Bagama't bago pa lamang siya sa kumpanya, marami na siyang naibagay.",11,10,90.9,naibagay
75,"Inyang akit ne ing kayang lumang kaluguran, e ne napigilang ngumiti.","Nang makita niya ang kanyang lumang kaibigan, hindi niya napigilang ngumiti.",11,9,81.8,"napigilang, ngumiti"
76,Mas mabilis yang mulayi i Pedro kesa kay Jose.,Mas mabilis tumakbo si Pedro kaysa kay Jose.,9,9,100.0,
77,I Maria ing pekamatilid a mag-aral king buung klase tamu.,Si Maria ang pinakamatalinong mag-aaral sa aming buong klase.,10,9,90.0,pekamatilid
78,Mipante la katas ding mikapatad a sina Ana at Elsa.,Magkasingtangkad ang magkapatid na sina Ana at Elsa.,10,9,90.0,elsa
79,Mas manyaman ing lutung-bale kesa king pamangan king restawran.,Mas masarap ang lutong-bahay kaysa sa pagkain sa restawran.,9,8,88.9,lutung-bale
80,Ali kasinglayu ning Pampanga ing Bulacan ibat Maynila.,Hindi kasinglayo ng Pampanga ang Bulacan mula sa Maynila.,8,7,87.5,kasinglayu
81,Mas mahal ing bayung modelo ning telepono kesa king lumang modelo.,Mas mahal ang bagong modelo ng telepono kaysa sa lumang modelo.,11,11,100.0,
82,I Baguio ing pekamarim a lungsod a mebisita ku king Pilipinas.,Si Baguio ang pinakamalamig na lungsod na nabisita ko sa Pilipinas.,11,9,81.8,"pekamarim, mebisita"
83,Mipante la kaganda ding aduang imalan a ibinigay kaku ni Ima.,Magkasingganda ang dalawang damit na ibinigay sa akin ni Nanay.,11,10,90.9,kaganda
84,Mas malawak ing bayung opisina kesa king sadya tamung inuupahan.,Mas malawak ang bagong opisina kaysa sa dating inuupahan natin.,10,9,90.0,inuupahan
85,Ini ing pekamasakit a pagsubok a kinaharap ning kekaming pamilya.,Ito ang pinakamahirap na pagsubok na kinaharap ng aming pamilya.,10,8,80.0,"pagsubok, kinaharap"
86,Mas maaga yang miras ngeni kesa napun.,Mas maaga siyang dumating ngayon kaysa kahapon.,7,6,85.7,maaga
87,Mipante la kadakal ing natanggap dang regalo inyang Pasko.,Magkasingdami ang natanggap nilang regalo noong Pasko.,9,8,88.9,natanggap
88,Mas malinaw ing kuha ning bayung kamera kesa king lumang telepono.,Mas malinaw ang kuha ng bagong kamera kaysa sa lumang telepono.,11,9,81.8,"malinaw, kuha"
89,Ya ing pekamahusay a tagapagsalita king ginanap a kumperensya.,Siya ang pinakamahusay na tagapagsalita sa ginanap na kumperensya.,9,8,88.9,pekamahusay
90,Ali kasing-masakit ning inakala ku ing bayung asignatura.,Hindi kasingmahirap ng inakala ko ang bagong asignatura.,8,6,75.0,"kasing-masakit, asignatura"
91,Mas malakay ing bale ning kakung Bapa kesa king kekaming tirahan.,Mas malaki ang bahay ng aking tiyo kaysa sa aming tirahan.,11,10,90.9,malakay
92,Ini ing pekamanyaman a mangga a nakain ku ngening tag-araw.,Ito ang pinakamasarap na mangga na nakain ko ngayong tag-araw.,10,8,80.0,"nakain, tag-araw"
93,Mipante la mung edad ding aduang mikakaluguran maski magkaiba ing antas da.,Magkasing-edad lamang ang dalawang magkaibigan kahit magkaiba ang antas.,12,12,100.0,
94,Mas tahimik ing bie king probinsya kesa king maingay a lungsod.,Mas tahimik ang buhay sa probinsya kaysa sa maingay na lungsod.,11,11,100.0,
95,Ya ing pekamatua miyembro ning kekaming samahan.,Siya ang pinakamatandang miyembro ng aming samahan.,7,6,85.7,samahan
96,Mas mabilis ing biyahe nung sumakay ka king tren kesa bus.,Mas mabilis ang biyahe kapag sumakay ka ng tren kaysa bus.,11,10,90.9,sumakay
97,Mipante la kalinis ding aduang silid pagka-yari ming mag-ayos.,Magkasinglinis ang dalawang silid pagkatapos naming mag-ayos.,9,7,77.8,"pagka-yari, mag-ayos"
98,Mas matindi ing trapiko ngening Biyernes kesa inyang Lunes.,Mas matindi ang trapiko ngayong Biyernes kaysa noong Lunes.,9,8,88.9,trapiko
99,Ini ing pekakamura bilihin a matagpuan mu king pamilihan.,Ito ang pinakamurang bilihin na matatagpuan mo sa pamilihan.,9,6,66.7,"pekakamura, bilihin, matagpuan"
100,Ali kasingbasa ing dalan ngeni kumpara king milabas a bagyo.,Hindi kasingbasa ang daan ngayon kumpara sa nakaraang bagyo.,10,9,90.0,kasingbasa
101,Maaga kung magising balang aldo ban maghanda king abakan ning pamilya.,Maaga akong gumigising araw-araw para maghanda ng almusal ng pamilya.,11,10,90.9,maaga
102,Kalipat mi pa mu king bayung bale inyang milabas a bulan.,Kakalipat lang namin sa bagong bahay noong nakaraang buwan.,11,11,100.0,
103,Minta ya i Ima king palengke ban sumali king gule at karne.,Pumunta si Nanay sa palengke para bumili ng gulay at karne.,12,12,100.0,
104,Saupan mu kung maglinis king sala kabang maglaba ya ing kapatad mu.,Tulungan mo akong maglinis ng sala habang naglalaba ang kapatid mo.,12,11,91.7,maglaba
105,Mangan na kaming hapunan kaya usuk ka na king kilub.,Kakain na kami ng hapunan kaya pumasok ka na sa loob.,10,10,100.0,
106,Balang aldo kung didiligan ding halaman king kekaming hardin.,Araw-araw kong dinidiligan ang mga halaman sa aming hardin.,9,9,100.0,
107,Meghugas ya i Kapatad a Lalaki king plato pagka-yari tamung mangan.,Naghugas si Kuya ng mga plato pagkatapos nating kumain.,11,9,81.8,"meghugas, pagka-yari"
108,Inayos ne i Kapatad a Babai ing kayang silid bayu ya linub king paaralan.,Inayos ni Ate ang kanyang silid bago siya pumasok sa paaralan.,14,13,92.9,paaralan
109,Sali kaming bayung kurtina para king kekaming bintana king sala.,Bumili kami ng bagong kurtina para sa aming bintana sa sala.,10,9,90.0,bintana
110,Meglutu ya i Lelang king manyaman a sopas uling marim ing panahon.,Nagluto si Lola ng masarap na sopas dahil malamig ang panahon.,12,10,83.3,"meglutu, marim"
111,Pinakain ku ing kekaming alagang aso bayu ku meko king bale.,Pinakain ko ang aming alagang aso bago ako umalis ng bahay.,11,9,81.8,"pinakain, aso"
112,Iniyus ne i Tatang ding gamit king kilub ning bodega.,Inilagay ni Tatay ang mga gamit sa loob ng bodega.,10,9,90.0,iniyus
113,Magtitipon ing buung pamilya balang bengi para magkuwentuhan.,Nagtitipon ang buong pamilya tuwing gabi para magkuwentuhan.,8,6,75.0,"magtitipon, magkuwentuhan"
114,Kailangan tamung alilan ing pundidong bombilya king kusina.,Kailangan nating palitan ang pundi na bombilya sa kusina.,8,6,75.0,"pundidong, bombilya"
115,Pinalang mi ding labada sa lalam ning pali ning aldo.,Pinatuyo namin ang mga labada sa ilalim ng init ng araw.,10,9,90.0,pinalang
116,Magwalis ya i Ima king mula balang abak.,Nagwawalis si Nanay sa bakuran tuwing umaga.,8,7,87.5,magwalis
117,Manalbe kaming pelikula king sala nung Sabadu ning bengi.,Nanonood kami ng pelikula sa sala kapag Sabado ng gabi.,9,9,100.0,
118,Naghanda ya i Kapatad a Babai king meryenda para kadagting bisitang dumatang.,Naghanda si Ate ng meryenda para sa mga bisitang dumating.,12,9,75.0,"naghanda, kadagting, dumatang"
119,Inayos ne i Kapatad a Lalaki ing sirang pasbul ning kekaming garahe.,Inayos ni Kuya ang sirang pintuan ng aming garahe.,12,11,91.7,garahe
120,Inalilan mi ing palaman ning unan king kekaming kuwarto.,Pinalitan namin ang palaman ng unan sa aming silid-tulugan.,9,8,88.9,kuwarto
121,Inihain na ing pamangan king lamesa kaya maghugas ka na gamat.,Inihain na ang pagkain sa mesa kaya maghugas ka na ng kamay.,11,9,81.8,"inihain, maghugas"
122,Magtapon kaming basura king tamang lalagyan balang aldo.,Nagtatapon kami ng basura sa tamang lalagyan araw-araw.,8,6,75.0,"magtapon, lalagyan"
123,Inilock mu ne wari ing pangunahing pasbul bayu ka matudtud?,Inilock mo ba ang pangunahing pinto bago ka natulog?,10,9,90.0,inilock
124,Magliyal la ding anak king mula kabang magpaynawa la ding matua.,Naglalaro ang mga bata sa bakuran habang nagpapahinga ang mga matatanda.,11,10,90.9,magliyal
125,Meglutu kaming kape para kadagting kapitbahay a sumaup kekami.,Nagluto kami ng kape para sa mga kapitbahay na tumulong sa amin.,9,6,66.7,"meglutu, kadagting, kapitbahay"
126,Mipadala mu na wari ing email king kliyente tungkul king kekatamung panukala?,Naipadala mo na ba ang email sa kliyente tungkol sa ating panukala?,12,11,91.7,panukala
127,Mag-obra ku ibat king bale bukas uling atin lang ipag-ayos king kotse ku.,Magtatrabaho ako mula sa bahay bukas dahil may aayusin sa aking kotse.,13,12,92.3,ipag-ayos
128,Pakisabi mu na mu kaya na tumawag ya kaku nung libre na ya.,Pakisabi na lang sa kanya na tumawag siya sa akin kapag libre na siya.,13,12,92.3,tumawag
129,Mawalan kuryente king kekaming barangay kaya e ku nakadalo king online meeting.,Nawalan ng kuryente sa aming barangay kaya hindi ako nakadalo sa online meeting.,12,10,83.3,"mawalan, nakadalo"
130,E na pesibatan ing telepono uling atiu ya king kalibudtaran ning pamagmaneho.,Hindi niya sinagot ang telepono dahil nasa gitna siya ng pagmamaneho.,12,10,83.3,"pesibatan, pamagmaneho"
131,I-save mu ing file king USB drive bayu mu patdan ing kompyuter.,I-save mo ang file sa USB drive bago mo patayin ang kompyuter.,12,12,100.0,
132,Nagkaroon problem king koneksyon ning internet kaya nabitin ing kekaming presentasyon.,Nagkaroon ng problema sa koneksyon ng internet kaya nabitin ang aming presentasyon.,11,8,72.7,"nagkaroon, nabitin, presentasyon"
133,Kailangan tamung i-update ing software ning kekatamung laptop ngening linggu.,Kailangan nating i-update ang software ng ating mga laptop ngayong linggo.,10,10,100.0,
134,Nakatanggap kung abiso tungkul king bayung iskedyul ning kekatamung pagsusulit.,Nakatanggap ako ng abiso tungkol sa bagong iskedyul ng ating pagsusulit.,10,7,70.0,"nakatanggap, iskedyul, pagsusulit"
135,Magpadala ing HR kopya ning kontrata king kekang email address.,Magpapadala ang HR ng kopya ng kontrata sa iyong email address.,10,10,100.0,
136,Naka-mute ing kekang mikropono kaya e ka mi naririnig.,Naka-mute ang iyong mikropono kaya hindi ka namin naririnig.,9,7,77.8,"naka-mute, mikropono"
137,Inilipat ing oras ning kekaming pagpupulong king ganap a alas tres ning gatpanapun.,Inilipat ang oras ng aming pagpupulong sa ganap na alas tres ng hapon.,13,11,84.6,"inilipat, pagpupulong"
138,Gagamitan tamu ing bayung aplikasyon para king pamagsubaybay king kekaming proyekto.,Gagamitin natin ang bagong aplikasyon para sa pagsubaybay sa aming mga proyekto.,11,9,81.8,"aplikasyon, pamagsubaybay"
139,E gagana ing printer king ikatlong palapag kaya king lalam ku nagpalimbag.,Hindi gumagana ang printer sa ikatlong palapag kaya sa baba ako nagpalimbag.,12,11,91.7,nagpalimbag
140,Paki-attach ing resume at cover letter king kekang aplikasyon.,Paki-attach ang resume at cover letter sa iyong aplikasyon.,9,6,66.7,"paki-attach, resume, aplikasyon"
141,Megpadala ya i boss paalala tungkul king deadline ning kekatamung proyekto.,Nagpadala si boss ng paalala tungkol sa deadline ng ating proyekto.,11,10,90.9,megpadala
142,Mabilis ing internet speed king bayung opisina kumpara king sadya gusali.,Mabilis ang internet speed sa bagong opisina kumpara sa dating gusali.,11,11,100.0,
143,I-download mu muna ing aplikasyon bayu ka magrehistro ning account.,I-download mo muna ang aplikasyon bago ka magrehistro ng account.,10,8,80.0,"aplikasyon, magrehistro"
144,Kalingwan ku ing password ning kakung email kaya kailangan ku itong i-reset.,Nakalimutan ko ang password ng aking email kaya kailangan ko itong i-reset.,12,11,91.7,i-reset
145,Nagkaroon kaming maikling oryentasyon para kadagting bayung empleyado.,Nagkaroon kami ng maikling oryentasyon para sa mga bagong empleyado.,8,4,50.0,"nagkaroon, maikling, oryentasyon, kadagting"
146,Masanting ing ibinigay a feedback ning kliyente king kekatamung huling ulat.,Maganda ang ibinigay na feedback ng kliyente sa ating huling ulat.,11,10,90.9,huling
147,Pakisara ing laptop pagka-yari mung gamitan ban makatipid king baterya.,Pakisara ang laptop pagkatapos mong gamitin para makatipid sa baterya.,10,8,80.0,"pagka-yari, baterya"
148,Naka-record ing buung online conference para kadagting e nakadalo.,Naka-record ang buong online conference para sa mga hindi nakadalo.,9,6,66.7,"naka-record, kadagting, nakadalo"
149,Kailangan tamung linawin ding probisyon king kontrata bayu tamu ini pirmahan.,Kailangan nating linawin ang mga probisyon sa kontrata bago natin ito pirmahan.,11,9,81.8,"linawin, pirmahan"
150,Inayos ning IT team ing problema king server king kilub mu ning panying oras.,Inayos ng IT team ang problema sa server sa loob lamang ng isang oras.,14,13,92.9,panying
151,Magkanu ing pamasahe ibat keni anggang SM Pampanga?,Magkano ang pamasahe mula rito papuntang SM Pampanga?,8,7,87.5,pamasahe
152,Sumakay kami king jeep papuntang palengke ban sumali king prutas.,Sumakay kami ng jeep papuntang palengke para bumili ng mga prutas.,10,9,90.0,sumakay
153,Nukarin ing sakayan ning bus papuntang Maynila?,Saan ang sakayan ng bus papuntang Maynila?,7,6,85.7,sakayan
154,Lumiko ka king kaili pagdatang mu king tutuntung kanto.,Lumiko ka sa kaliwa pagdating mo sa kasunod na kanto.,9,6,66.7,"lumiko, tutuntung, kanto"
155,Malapit ya mu ing istasyon ning tren ibat king kekaming opisina.,Malapit lang ang istasyon ng tren mula sa aming opisina.,11,10,90.9,istasyon
156,Nalate kami king biyahe uling king matindi trapiko king express way.,Nalate kami sa biyahe dahil sa matinding trapiko sa express way.,11,9,81.8,"nalate, trapiko"
157,Mag-ingat ka king pamagtawid king dalan lalo na nung bengi.,Mag-ingat ka sa pagtawid sa kalsada lalo na kapag gabi.,10,8,80.0,"mag-ingat, pamagtawid"
158,Pilang oras ing biyahe ibat Angeles papuntang Baguio?,Ilang oras ang biyahe mula Angeles papuntang Baguio?,8,8,100.0,
159,Pumara ka king tabi ning gasolinahan pagdatang tamu karin.,Pumara ka sa tabi ng gasolinahan pagdating natin doon.,9,7,77.8,"pumara, gasolinahan"
160,Kalingwan ku ing kakung pamasahe king bale kaya nagbalik ku.,Nakalimutan ko ang aking pamasahe sa bahay kaya bumalik ako.,10,8,80.0,"pamasahe, nagbalik"
161,Sumakay kaming tricycle uling masyadong malayu nung lalakaran.,Sumakay kami ng tricycle dahil masyadong malayo kung lalakarin.,8,6,75.0,"sumakay, malayu"
162,Diretsuwan mu ing dalan a ini anggang akit mu ing simbahan.,Diretsuhin mo ang daang ito hanggang makita mo ang simbahan.,11,10,90.9,diretsuwan
163,Atiu king arap ning pampublikong palengke ing paradahan ning jeep.,Nasa harap ng pampublikong palengke ang paradahan ng jeep.,10,9,90.0,pampublikong
164,Na-delay ing lipad ning kekaming eroplano uling king masakit a panahon.,Na-delay ang lipad ng aming eroplano dahil sa masamang panahon.,11,8,72.7,"na-delay, lipad, eroplano"
165,Kailangan tamung sumali tiket bayu lumub king istasyon ning tren.,Kailangan nating bumili ng tiket bago pumasok sa istasyon ng tren.,10,8,80.0,"lumub, istasyon"
166,Meg-book kung saskyan gamit ing ride-hailing app king kakung telepono.,Nag-book ako ng sasakyan gamit ang ride-hailing app sa aking telepono.,10,7,70.0,"meg-book, saskyan, ride-hailing"
167,Atin gaganapan a dalan kaya mabagal ing daloy ning saskyan.,May ginagawang kalsada kaya mabagal ang daloy ng mga sasakyan.,10,8,80.0,"daloy, saskyan"
168,Nukarin ing pekamalapit a gasoline station king lugar a ini?,Saan ang pinakamalapit na gasoline station sa lugar na ito?,10,10,100.0,
169,Sumakay la king huling biyahe ning bus napun bengi ban makamuli.,Sumakay sila sa huling biyahe ng bus kagabi para makauwi.,11,8,72.7,"sumakay, huling, makamuli"
