pair_id,confidence,match_basis,pam_source_domain,pam_prompt_ordinal,pam_text,fil_source_domain,fil_prompt_ordinal,fil_text,note
pldpair_016,high,exact_translation,Utt_StoryBernardo.txt,9,Agad deng inanyayan I Bernardo king metung a pamipulung ban canu maramdam ing caraingan ding Filipino.,Utt_Story.txt,7,Agad nilang inanyayahan si Bernardo sa isang pagpupulong upang diumano ay dinggin ang karaingan ng mga Pilipino.,
pldpair_017,high,exact_translation,Utt_StoryMatsing.txt,7,"Iti metung yang masanting a pun, ating mangaragul a aluntiang bulung, at atin yang uyat a balamu cararagsa na pa mu caibat na ning baguiu. Sinaca re king pampang ing pun saging.",Utt_Story.txt,8,"Ito'y isang magandang puno, may malalaki't luntiang dahon, at may mga ugat pang wari'y kabubuwal lamang pagkatapos ng bagyo.",
pldpair_018,high,exact_translation,Utt_StoryBernardo.txt,2,Pauli ning cayang matatag a pamanimunu at pam bihirang sicanan mebahala la ding Castila king maliaring agawa nang Bernardo ban managumpe ing himagsican laban caring mapaniacup.,Utt_Story.txt,9,Dahil sa kanyang matatag na pamumuno at pambihirang lakas ay nabahala ang mga kastila sa magagawa ni Bernardo upang maging matagumpay ang himagsikan laban sa mga mananakop.,
pldpair_019,high,exact_translation_partial,Utt_StoryIputipot.txt,1,"“Mituki cang cacampi mu uling mituki cung libu-libung gorilya a mas mangaragul pa canacu.” Sinabi nang Amomongo ban tacutan ne i alitaptap, a king pakiwari na masisira ne buntuc.",Utt_Story.txt,14,"Sinabi ito ni Amomongo upang takutin ang alitaptap,"" na sa pakiwari niya ay nasisiraan ng ulo.",PAM slot includes an extra leading quoted sentence ('Mituki cang cacampi...') not present in the FIL slot; only the 'Sinabi ni Amomongo...' portion aligns 1:1.
pldpair_020,high,exact_translation_partial,Utt_StoryMatsing.txt,5,Mamayad ca king kecang carocan; dapat cang mate. Dapot uling maganaca cu papamilinan daca king kecang camatayan. Bayuan da ca king lusong o iyugse king ilug? Insanu ing buri mu?,Utt_Story.txt,16,"Babayuhin ba kita sa lusóng o itatapon sa ilog? Alin ang ibig mo?""","PAM slot includes two preceding sentences not present in the FIL slot; only the final two sentences ('Bayuan da ca king lusong...') align 1:1. User review (2026-08-26): also note a grammatical mood shift in that aligned portion -- PAM reads as a declarative statement/threat ('I will pound you...'), FIL as an interrogative offering a choice ('Shall I pound you...?')."
pldpair_021,high,exact_translation,Utt_StoryIputipot.txt,10,Agad yang si nulapo I Iput-Ipot king arung ning gorilya at silu gian ne iti.,Utt_Story.txt,17,Dagling lumipad si Iput-Iput sa ilong ng gorilya at inilawan niya ito.,
pldpair_022,high,exact_translation,Utt_CommonExpressions.txt,2,Nucarin cayu pu macatucnang?,Utt_CommonExpressions.txt,17,Saan po kayo nakatira?,
pldpair_023,high,exact_translation,Utt_CommonExpressions.txt,6,Maligayang bati pu.,Utt_CommonExpressions.txt,16,Maligayang bati po.,
pldpair_024,high,exact_translation,Utt_CommonExpressions.txt,9,Mayap a abac pu kecayu.,Utt_CommonExpressions.txt,8,Magandang umaga po sa inyo.,
pldpair_025,high,exact_translation,Utt_Interrogatives.txt,2,Mawawala wari ing gamit na?,Utt_Interrogatives.txt,2,Nawawala ba ang gamit niya?,"User review (2026-08-26): same core question, but note an aspectual shift -- PAM 'Mawawala' is contemplative/future ('will get lost'), FIL 'Nawawala' is imperfective/present ('is missing'). Would need aspectual alignment for a use case where exact tense/aspect matters."
pldpair_026,high,exact_translation,Utt_Interrogatives.txt,6,Macananu nang ikit ing gamit nang James?,Utt_Interrogatives.txt,3,Paano niya nahanap ang gamit ni James?,
pldpair_027,high,exact_translation,Utt_Interrogatives.txt,3,"Tigtig ya wari i Francisco, o magcanta?",Utt_Interrogatives.txt,12,"Tutugtog ba si Francisco, o kakanta?",
pldpair_028,high,exact_numeric_equivalence,Iso_Ordinal.txt,7,Caduampulu't pitung,Iso_Ordinal.txt,3,ikadalawampu't pitong,Both denote the 27th ordinal (PAM 'Caduampulu't pitung' = FIL 'ikadalawampu't pitong').
pldpair_029,high,exact_numeric_equivalence,Iso_Ordinal.txt,12,Caduampulu't atlu,Iso_Ordinal.txt,5,ikadalawampu't tatlo,Both denote the 23rd ordinal (PAM 'Caduampulu't atlu' = FIL 'ikadalawampu't tatlo').
pldpair_030,high,shared_cognate_or_loanword,Iso_Time.txt,1,Salucuiang,Iso_Time.txt,5,kasalukuyang,'present/current' -- PAM 'Salucuiang' and FIL 'kasalukuyang' are the same root.
pldpair_031,high,shared_cognate_or_loanword,Iso_Weather.txt,6,Bugsu ning angin,Iso_Weather.txt,8,bugso ng hangin,'gust of wind' -- PAM 'Bugsu ning angin' and FIL 'bugso ng hangin' are the same words.
pldpair_032,high,shared_cognate_or_loanword,Iso_Weather.txt,7,Maialumigmig,Iso_Weather.txt,6,halumigmig,'humid/humidity' -- PAM 'Maialumigmig' (adjective) and FIL 'halumigmig' (noun) share the same root; grammatical category differs slightly.
pldpair_033,medium,same_concept_different_word,Iso_Weather.txt,1,Madalumdum,Iso_Weather.txt,5,makulimlim,"'cloudy/overcast' -- same weather concept, non-cognate words (PAM 'Madalumdum', FIL 'makulimlim')."
pldpair_034,high,shared_cognate_or_loanword,Iso_Educ.txt,9,Espana,Iso_Educ.txt,8,Espanya,"Same proper noun: Spain (PAM 'Espana', FIL 'Espanya')."
pldpair_035,medium,shared_cognate_or_loanword,Iso_Educ.txt,13,Pangaratang,Iso_Educ.txt,7,dumating,"'arrival/arrived' -- shared root 'dating' (PAM 'Pangaratang', FIL 'dumating'); grammatical form differs (noun vs. verb)."
pldpair_036,medium,shared_cognate_or_loanword,Iso_BodyParts.txt,13,palakingkingan,Iso_BodyParts.txt,3,palakingkingan,"'ring finger' (tentative) -- identical wordform ('palakingkingan') on both sides. User review (2026-08-28): downgraded from high confidence -- direct full-text search of Forman (1971), Bergano (1732/Samson translation), and Samson (2011) found zero hits for 'palakingking' or 'palasingsing' in any of the three; this word is not independently attested by primary sources, only inferred from the FIL synonym 'palasingsingan' sharing the 'singsing' (ring) root."
pldpair_037,high,shared_cognate_or_loanword,Iso_Kinship.txt,9,Manuyang,Iso_Kinship.txt,4,manugang,'son/daughter-in-law' -- PAM 'Manuyang' and FIL 'manugang' are the same word.
pldpair_038,high,shared_cognate_or_loanword,Iso_Kinship.txt,8,Capalsintan,Iso_Kinship.txt,11,kasintahan,'sweetheart' -- PAM 'Capalsintan' and FIL 'kasintahan' share the 'sinta' (love) root.
