item_num,category,kapampangan,filipino_tagalog,english_gloss,grammatical_feature_as_labeled,reviewer_verdict,reviewer_notes
38,Varied Tense & Aspect,Mag-obra ya king kumpanyang iyan manibat pa inyang panying banua.,Nagtatrabaho siya sa kumpanyang iyan simula pa noong isang taon.,He/She has been working at that company since last year.,,,
39,Varied Tense & Aspect,Kabait ku pa mu king ospital para king kakung taunang medical check-up.,Kagagaling ko lang sa ospital para sa aking taunang medical check-up.,I have just come from the hospital for my annual medical check-up.,,,
40,Varied Tense & Aspect,Maglutu ya i Kapatad a Lalaki king manyaman a hapunan para king kealdawan ni Kapatad a Babai.,Magluluto si Kuya ng masarap na hapunan para sa kaarawan ni Ate.,Older brother will cook a delicious dinner for older sister's birthday.,,,
41,Varied Tense & Aspect,Naisipan dang magbakasyon king Baguio king daratang a bulan ning Disyembre.,Naisipan nilang magbakasyon sa Baguio sa darating na buwan ng Disyembre.,They thought of spending a vacation in Baguio this coming December.,,,
42,Varied Tense & Aspect,Kalinis pa mu ning kuwarto inyang linub la ding anak a makasapatos.,Kakalinis pa lang ng kuwarto nang pumasok ang mga bata nang nakasapatos.,The room had just been cleaned when the children entered with their shoes on.,,,
43,Varied Tense & Aspect,Balang aldo yang mag-ehersisyo bayu muna king opisina.,Araw-araw siyang nag-eehersisyo bago pumunta sa opisina.,He/She exercises every day before going to the office.,,,
44,Varied Tense & Aspect,Yarian tamu ing ulat a ini bayu mag-alas singko ning gatpanapun.,Tatapusin natin ang ulat na ito bago mag-alas singko ng hapon.,We will finish this report before five o'clock in the afternoon.,,,
45,Varied Tense & Aspect,"Inyang meputok ing gulong ning kotse, agad kaming tinabi king dalan.","Nang pumutok ang gulong ng kotse, agad kaming tumabi sa kalsada.","When the car tire blew out, we immediately pulled over to the side of the road.",,,
46,Varied Tense & Aspect,Magpadala kung salapi king kakung pamilya king tutuntung a linggu.,Magpapadala ako ng pera sa aking pamilya sa susunod na linggo.,I will send money to my family next week.,,,
47,Varied Tense & Aspect,Kabasa ku pa mu ning balita tungkul king pagtaas ning presyo ng bilihin.,Kababasa ko lang ng balita tungkol sa pagtaas ng presyo ng bilihin.,I have just read the news about the price increase of commodities.,,,
48,Varied Tense & Aspect,Magsalaysay ya i Lelu kabang makiramdam nang tahimik ding apo.,Nagsasalaysay ang lolo habang nakikinig nang tahimik ang mga apo.,Grandfather was telling a story while the grandchildren listened quietly.,,,
49,Varied Tense & Aspect,Ihanda ku ding gagamitan tamu para king seminar bukas.,Ihahanda ko ang mga gagamitin natin para sa seminar bukas.,I will prepare the materials we will use for the seminar tomorrow.,,,
50,Varied Tense & Aspect,Kayari pa mu ning uran kaya basa pa ing labuad king kilwal.,Katatapos pa lang ng ulan kaya basa pa ang lupa sa labas.,"The rain has just stopped, so the ground outside is still wet.",,,
51,Subordinate Clauses & Complex Sentences,"Uling minuran nang masikan napun bengi, minalbug ing kekaming dalan.","Dahil umulan nang malakas kagabi, bumaha ang aming kalsada.","Because it rained heavily last night, our street flooded.",,,
52,Subordinate Clauses & Complex Sentences,"Inyang meyari ing pulung, agad silang muli ding sablang empleyado.","Nang matapos ang pulong, agad na umuwi ang lahat ng empleyado.","When the meeting ended, all employees immediately went home.",,,
53,Subordinate Clauses & Complex Sentences,"Nung yari mu ing kekang gawaing-bahay, makapagliyal ka king kilwal.","Kung matatapos mo ang iyong gawaing-bahay, makakapaglaro ka sa labas.","If you finish your homework, you can play outside.",,,
54,Subordinate Clauses & Complex Sentences,"Maski mabayat ing trapiko king dalan, miras kami pa rin king takdang oras.","Bagama't mabigat ang trapiko sa daan, nakarating pa rin kami sa oras.","Although traffic was heavy on the road, we still arrived on time.",,,
55,Subordinate Clauses & Complex Sentences,"Ing lalaking makisabi keka nandin, ya ing bayu tamung kapitbahay.",Ang lalaking nakipag-usap sa iyo kanina ay ang bago nating kapitbahay.,The man who talked to you earlier is our new neighbor.,,,
56,Subordinate Clauses & Complex Sentences,"Ban makatipid king gastusin, magbabaon na kami mu pang apagto king opisina.","Para makatipid sa gastusin, nagbabaon na lang kami ng tanghalian sa opisina.","To save on expenses, we just bring packed lunches to the office.",,,
57,Subordinate Clauses & Complex Sentences,"Kabang maghintay kami king bus, naisipan ming minum kape.","Habang naghihintay kami sa bus, naisipan naming uminom ng kape.","While we were waiting for the bus, we decided to drink coffee.",,,
58,Subordinate Clauses & Complex Sentences,"Maski na pagud na pagud i Ana, tinapos ne pa rin ing kayang ulat.","Kahit na pagod na pagod si Ana, tinapos pa rin niya ang kanyang ulat.","Even though Ana was extremely tired, she still finished her report.",,,
59,Subordinate Clauses & Complex Sentences,"Ban maiwasan ing malate king klase, maaga yang meko king bale.","Upang maiwasan ang huli sa klase, maaga siyang umalis ng bahay.","In order to avoid being late for class, he left home early.",,,
60,Subordinate Clauses & Complex Sentences,"Nung sakaling magbago ing kekang isip, tawagan mu ku agad.","Kung sakaling magbago ang iyong isip, tawagan mo agad ako.","In case you change your mind, call me immediately.",,,
61,Subordinate Clauses & Complex Sentences,"Uling e ya nakatanto king leksyon, nahirapan ya king pagsusulit.","Dahil hindi siya nakatanto sa leksyon, nahirapan siya sa pagsusulit.","Because he was not paying attention to the lesson, he struggled during the test.",,,
62,Subordinate Clauses & Complex Sentences,Ing librong sinali mu king mall ay napakaganda at kapaki-pakinabang.,Ang librong binili mo sa mall ay napakaganda at kapaki-pakinabang.,The book that you bought at the mall is very nice and useful.,,,
63,Subordinate Clauses & Complex Sentences,"Kabang maglutu ya i Ima, manalbe balita ing kakung tata.","Habang nagluluto si Ina, nanonood ng balita ang aking ama.","While Mother was cooking, my father was watching the news.",,,
64,Subordinate Clauses & Complex Sentences,"Maski ditak mu ing kekaming handa, meging masaya ing kekaming pagdiriwang.","Bagama't kaunti lamang ang aming handa, naging masaya ang aming pagdiriwang.","Although we had only a little food prepared, our celebration was happy.",,,
65,Subordinate Clauses & Complex Sentences,"Nung mayari na ing uran, lalabas tamu para maglakad-lakad.","Kapag natapos na ang ulan, lalabas tayo para maglakad-lakad.","Once the rain finishes, we will go outside for a walk.",,,
66,Subordinate Clauses & Complex Sentences,Ing gurong magturo matematika ay napakatiyaga kadagting kayang mag-aral.,Ang gurong nagtuturo ng matematika ay napakatiyaga sa kanyang mga mag-aaral.,The teacher who teaches mathematics is very patient with her students.,,,
67,Subordinate Clauses & Complex Sentences,"Uling king kawalan ning signal, e kami nakapagpadala ning mensahe.","Dahil sa kawalan ng signal, hindi kami nakapagpadala ng mensahe.","Due to the lack of signal, we could not send a message.",,,
68,Subordinate Clauses & Complex Sentences,"Maski mabilis yang minulayi, e ne pa rin naabutan ing tren.","Kahit mabilis siyang tumakbo, hindi pa rin niya naabutan ang tren.","Even though he ran fast, he still didn't catch the train.",,,
69,Subordinate Clauses & Complex Sentences,"Bayu mu simulan ing pagsusulit, basan mu mu muna nang masanting ing panuto.","Bago mo simulan ang pagsusulit, basahin mo muna nang maigi ang panuto.","Before you start the test, read the instructions carefully first.",,,
70,Subordinate Clauses & Complex Sentences,"Nung magkaroon tamung libreng oras ngening linggu, bisitahan tamu i lelu/lelang.","Kung magkakaroon tayo ng libreng oras ngayong linggo, bibisita tayo sa lola.","If we have free time this weekend, we will visit grandmother.",,,
71,Subordinate Clauses & Complex Sentences,Ing gusaling makatayo king kanto ay meging bayung ospital.,Ang gusaling itinayo sa kanto ay magiging isang bagong ospital.,The building being constructed on the corner will become a new hospital.,,,
72,Subordinate Clauses & Complex Sentences,"Kabang mag-aral ku napun bengi, bigla yang mepatda ing sulu king kekaming kuwarto.","Habang nag-aaral ako kagabi, biglang namatay ang ilaw sa aming kuwarto.","While I was studying last night, the light in our room suddenly went out.",,,
73,Subordinate Clauses & Complex Sentences,"Ban e maligaw king lungsod, gumamit kaming mapa king kekaming telepono.","Para hindi maligaw sa lungsod, gumamit kami ng mapa sa aming telepono.","To avoid getting lost in the city, we used a map on our phone.",,,
74,Subordinate Clauses & Complex Sentences,"Maski bayu pa mu ya king kumpanya, dakal na siyang naibagay.","Bagama't bago pa lamang siya sa kumpanya, marami na siyang naibagay.","Although he is still new to the company, he has already contributed a lot.",,,
75,Subordinate Clauses & Complex Sentences,"Inyang akit ne ing kayang lumang kaluguran, e ne napigilang ngumiti.","Nang makita niya ang kanyang lumang kaibigan, hindi niya napigilang ngumiti.","When she saw her old friend, she couldn't help but smile.",,,
76,"Comparatives, Superlatives & Equality",Mas mabilis yang mulayi i Pedro kesa kay Jose.,Mas mabilis tumakbo si Pedro kaysa kay Jose.,Pedro runs faster than Jose.,,,
77,"Comparatives, Superlatives & Equality",I Maria ing pekamatilid a mag-aral king buung klase tamu.,Si Maria ang pinakamatalinong mag-aaral sa aming buong klase.,Maria is the smartest student in our whole class.,,,
78,"Comparatives, Superlatives & Equality",Mipante la katas ding mikapatad a sina Ana at Elsa.,Magkasingtangkad ang magkapatid na sina Ana at Elsa.,The sisters Ana and Elsa are of equal height.,,,
79,"Comparatives, Superlatives & Equality",Mas manyaman ing lutung-bale kesa king pamangan king restawran.,Mas masarap ang lutong-bahay kaysa sa pagkain sa restawran.,Home-cooked food tastes better than restaurant food.,,,
80,"Comparatives, Superlatives & Equality",Ali kasinglayu ning Pampanga ing Bulacan ibat Maynila.,Hindi kasinglayo ng Pampanga ang Bulacan mula sa Maynila.,Bulacan is not as far from Manila as Pampanga is.,,,
81,"Comparatives, Superlatives & Equality",Mas mahal ing bayung modelo ning telepono kesa king lumang modelo.,Mas mahal ang bagong modelo ng telepono kaysa sa lumang modelo.,The new phone model is more expensive than the old model.,,,
82,"Comparatives, Superlatives & Equality",I Baguio ing pekamarim a lungsod a mebisita ku king Pilipinas.,Si Baguio ang pinakamalamig na lungsod na nabisita ko sa Pilipinas.,Baguio is the coldest city I have visited in the Philippines.,,,
83,"Comparatives, Superlatives & Equality",Mipante la kaganda ding aduang imalan a ibinigay kaku ni Ima.,Magkasingganda ang dalawang damit na ibinigay sa akin ni Nanay.,The two dresses Mother gave me are equally beautiful.,,,
84,"Comparatives, Superlatives & Equality",Mas malawak ing bayung opisina kesa king sadya tamung inuupahan.,Mas malawak ang bagong opisina kaysa sa dating inuupahan natin.,The new office is spacious compared to the previous one we rented.,,,
85,"Comparatives, Superlatives & Equality",Ini ing pekamasakit a pagsubok a kinaharap ning kekaming pamilya.,Ito ang pinakamahirap na pagsubok na kinaharap ng aming pamilya.,This is the most difficult trial our family has faced.,,,
86,"Comparatives, Superlatives & Equality",Mas maaga yang miras ngeni kesa napun.,Mas maaga siyang dumating ngayon kaysa kahapon.,He arrived earlier today than yesterday.,,,
87,"Comparatives, Superlatives & Equality",Mipante la kadakal ing natanggap dang regalo inyang Pasko.,Magkasingdami ang natanggap nilang regalo noong Pasko.,They received an equal number of gifts last Christmas.,,,
88,"Comparatives, Superlatives & Equality",Mas malinaw ing kuha ning bayung kamera kesa king lumang telepono.,Mas malinaw ang kuha ng bagong kamera kaysa sa lumang telepono.,The new camera takes clearer shots than the old phone.,,,
89,"Comparatives, Superlatives & Equality",Ya ing pekamahusay a tagapagsalita king ginanap a kumperensya.,Siya ang pinakamahusay na tagapagsalita sa ginanap na kumperensya.,She was the best speaker at the conference held.,,,
90,"Comparatives, Superlatives & Equality",Ali kasing-masakit ning inakala ku ing bayung asignatura.,Hindi kasingmahirap ng inakala ko ang bagong asignatura.,The new subject is not as difficult as I thought.,,,
91,"Comparatives, Superlatives & Equality",Mas malakay ing bale ning kakung Bapa kesa king kekaming tirahan.,Mas malaki ang bahay ng aking tiyo kaysa sa aming tirahan.,My uncle's house is larger than our residence.,,,
92,"Comparatives, Superlatives & Equality",Ini ing pekamanyaman a mangga a nakain ku ngening tag-araw.,Ito ang pinakamasarap na mangga na nakain ko ngayong tag-araw.,This is the most delicious mango I have eaten this summer.,,,
93,"Comparatives, Superlatives & Equality",Mipante la mung edad ding aduang mikakaluguran maski magkaiba ing antas da.,Magkasing-edad lamang ang dalawang magkaibigan kahit magkaiba ang antas.,The two friends are of the exact same age despite being in different levels.,,,
94,"Comparatives, Superlatives & Equality",Mas tahimik ing bie king probinsya kesa king maingay a lungsod.,Mas tahimik ang buhay sa probinsya kaysa sa maingay na lungsod.,Life in the province is quieter than in the noisy city.,,,
95,"Comparatives, Superlatives & Equality",Ya ing pekamatua miyembro ning kekaming samahan.,Siya ang pinakamatandang miyembro ng aming samahan.,He is the oldest member of our organization.,,,
96,"Comparatives, Superlatives & Equality",Mas mabilis ing biyahe nung sumakay ka king tren kesa bus.,Mas mabilis ang biyahe kapag sumakay ka ng tren kaysa bus.,The journey is faster if you take the train instead of the bus.,,,
97,"Comparatives, Superlatives & Equality",Mipante la kalinis ding aduang silid pagka-yari ming mag-ayos.,Magkasinglinis ang dalawang silid pagkatapos naming mag-ayos.,Both rooms are equally clean after we organized them.,,,
98,"Comparatives, Superlatives & Equality",Mas matindi ing trapiko ngening Biyernes kesa inyang Lunes.,Mas matindi ang trapiko ngayong Biyernes kaysa noong Lunes.,Traffic is heavier this Friday than it was last Monday.,,,
99,"Comparatives, Superlatives & Equality",Ini ing pekakamura bilihin a matagpuan mu king pamilihan.,Ito ang pinakamurang bilihin na matatagpuan mo sa pamilihan.,This is the cheapest item you can find in the market.,,,
100,"Comparatives, Superlatives & Equality",Ali kasingbasa ing dalan ngeni kumpara king milabas a bagyo.,Hindi kasingbasa ang daan ngayon kumpara sa nakaraang bagyo.,The road is not as flooded today compared to the previous typhoon.,,,
101,Everyday Routines & Domestic Life,Maaga kung magising balang aldo ban maghanda king abakan ning pamilya.,Maaga akong gumigising araw-araw para maghanda ng almusal ng pamilya.,I wake up early every day to prepare breakfast for the family.,,,
102,Everyday Routines & Domestic Life,Kalipat mi pa mu king bayung bale inyang milabas a bulan.,Kakalipat lang namin sa bagong bahay noong nakaraang buwan.,We just moved into a new house last month.,,,
103,Everyday Routines & Domestic Life,Minta ya i Ima king palengke ban sumali king gule at karne.,Pumunta si Nanay sa palengke para bumili ng gulay at karne.,Mom went to the market to buy vegetables and meat.,,,
104,Everyday Routines & Domestic Life,Saupan mu kung maglinis king sala kabang maglaba ya ing kapatad mu.,Tulungan mo akong maglinis ng sala habang naglalaba ang kapatid mo.,Help me clean the living room while your sibling does the laundry.,,,
105,Everyday Routines & Domestic Life,Mangan na kaming hapunan kaya usuk ka na king kilub.,Kakain na kami ng hapunan kaya pumasok ka na sa loob.,"We are about to eat dinner, so come inside now.",,,
106,Everyday Routines & Domestic Life,Balang aldo kung didiligan ding halaman king kekaming hardin.,Araw-araw kong dinidiligan ang mga halaman sa aming hardin.,I water the plants in our garden every day.,,,
107,Everyday Routines & Domestic Life,Meghugas ya i Kapatad a Lalaki king plato pagka-yari tamung mangan.,Naghugas si Kuya ng mga plato pagkatapos nating kumain.,Older brother washed the dishes after we ate.,,,
108,Everyday Routines & Domestic Life,Inayos ne i Kapatad a Babai ing kayang silid bayu ya linub king paaralan.,Inayos ni Ate ang kanyang silid bago siya pumasok sa paaralan.,Older sister arranged her room before going to school.,,,
109,Everyday Routines & Domestic Life,Sali kaming bayung kurtina para king kekaming bintana king sala.,Bumili kami ng bagong kurtina para sa aming bintana sa sala.,We bought new curtains for our living room window.,,,
110,Everyday Routines & Domestic Life,Meglutu ya i Lelang king manyaman a sopas uling marim ing panahon.,Nagluto si Lola ng masarap na sopas dahil malamig ang panahon.,Grandmother cooked delicious soup because the weather was cold.,,,
111,Everyday Routines & Domestic Life,Pinakain ku ing kekaming alagang aso bayu ku meko king bale.,Pinakain ko ang aming alagang aso bago ako umalis ng bahay.,I fed our pet dog before leaving the house.,,,
112,Everyday Routines & Domestic Life,Iniyus ne i Tatang ding gamit king kilub ning bodega.,Inilagay ni Tatay ang mga gamit sa loob ng bodega.,Father placed the tools inside the storage room.,,,
113,Everyday Routines & Domestic Life,Magtitipon ing buung pamilya balang bengi para magkuwentuhan.,Nagtitipon ang buong pamilya tuwing gabi para magkuwentuhan.,The whole family gathers every evening to chat.,,,
114,Everyday Routines & Domestic Life,Kailangan tamung alilan ing pundidong bombilya king kusina.,Kailangan nating palitan ang pundi na bombilya sa kusina.,We need to replace the burnt-out light bulb in the kitchen.,,,
115,Everyday Routines & Domestic Life,Pinalang mi ding labada sa lalam ning pali ning aldo.,Pinatuyo namin ang mga labada sa ilalim ng init ng araw.,We dried the laundry under the sun.,,,
116,Everyday Routines & Domestic Life,Magwalis ya i Ima king mula balang abak.,Nagwawalis si Nanay sa bakuran tuwing umaga.,Mother sweeps the yard every morning.,,,
117,Everyday Routines & Domestic Life,Manalbe kaming pelikula king sala nung Sabadu ning bengi.,Nanonood kami ng pelikula sa sala kapag Sabado ng gabi.,We watch a movie in the living room on Saturday evenings.,,,
118,Everyday Routines & Domestic Life,Naghanda ya i Kapatad a Babai king meryenda para kadagting bisitang dumatang.,Naghanda si Ate ng meryenda para sa mga bisitang dumating.,Sister prepared snacks for the guests who arrived.,,,
119,Everyday Routines & Domestic Life,Inayos ne i Kapatad a Lalaki ing sirang pasbul ning kekaming garahe.,Inayos ni Kuya ang sirang pintuan ng aming garahe.,Brother fixed the broken door of our garage.,,,
120,Everyday Routines & Domestic Life,Inalilan mi ing palaman ning unan king kekaming kuwarto.,Pinalitan namin ang palaman ng unan sa aming silid-tulugan.,We replaced the pillow stuffing in our bedroom.,,,
121,Everyday Routines & Domestic Life,Inihain na ing pamangan king lamesa kaya maghugas ka na gamat.,Inihain na ang pagkain sa mesa kaya maghugas ka na ng kamay.,"The food is served on the table, so wash your hands now.",,,
122,Everyday Routines & Domestic Life,Magtapon kaming basura king tamang lalagyan balang aldo.,Nagtatapon kami ng basura sa tamang lalagyan araw-araw.,We dispose of waste in the proper bins every day.,,,
123,Everyday Routines & Domestic Life,Inilock mu ne wari ing pangunahing pasbul bayu ka matudtud?,Inilock mo ba ang pangunahing pinto bago ka natulog?,Did you lock the main door before going to sleep?,,,
124,Everyday Routines & Domestic Life,Magliyal la ding anak king mula kabang magpaynawa la ding matua.,Naglalaro ang mga bata sa bakuran habang nagpapahinga ang mga matatanda.,The children are playing in the yard while the adults rest.,,,
125,Everyday Routines & Domestic Life,Meglutu kaming kape para kadagting kapitbahay a sumaup kekami.,Nagluto kami ng kape para sa mga kapitbahay na tumulong sa amin.,We brewed coffee for the neighbors who helped us.,,,
126,"Workplace, Technology & Remote Work",Mipadala mu na wari ing email king kliyente tungkul king kekatamung panukala?,Naipadala mo na ba ang email sa kliyente tungkol sa ating panukala?,Have you sent the email to the client regarding our proposal?,,,
127,"Workplace, Technology & Remote Work",Mag-obra ku ibat king bale bukas uling atin lang ipag-ayos king kotse ku.,Magtatrabaho ako mula sa bahay bukas dahil may aayusin sa aking kotse.,I will work from home tomorrow because my car needs repairs.,,,
128,"Workplace, Technology & Remote Work",Pakisabi mu na mu kaya na tumawag ya kaku nung libre na ya.,Pakisabi na lang sa kanya na tumawag siya sa akin kapag libre na siya.,Please tell him to call me when he becomes free.,,,
129,"Workplace, Technology & Remote Work",Mawalan kuryente king kekaming barangay kaya e ku nakadalo king online meeting.,Nawalan ng kuryente sa aming barangay kaya hindi ako nakadalo sa online meeting.,"The power was cut in our village, so I couldn't join the online meeting.",,,
130,"Workplace, Technology & Remote Work",E na pesibatan ing telepono uling atiu ya king kalibudtaran ning pamagmaneho.,Hindi niya sinagot ang telepono dahil nasa gitna siya ng pagmamaneho.,He didn't answer the phone because he was in the middle of driving.,,,
131,"Workplace, Technology & Remote Work",I-save mu ing file king USB drive bayu mu patdan ing kompyuter.,I-save mo ang file sa USB drive bago mo patayin ang kompyuter.,Save the file on the USB drive before you shut down the computer.,,,
132,"Workplace, Technology & Remote Work",Nagkaroon problem king koneksyon ning internet kaya nabitin ing kekaming presentasyon.,Nagkaroon ng problema sa koneksyon ng internet kaya nabitin ang aming presentasyon.,"There was an internet connection issue, so our presentation was interrupted.",,,
133,"Workplace, Technology & Remote Work",Kailangan tamung i-update ing software ning kekatamung laptop ngening linggu.,Kailangan nating i-update ang software ng ating mga laptop ngayong linggo.,We need to update the software on our laptops this week.,,,
134,"Workplace, Technology & Remote Work",Nakatanggap kung abiso tungkul king bayung iskedyul ning kekatamung pagsusulit.,Nakatanggap ako ng abiso tungkol sa bagong iskedyul ng ating pagsusulit.,I received a notification regarding the new schedule for our exam.,,,
135,"Workplace, Technology & Remote Work",Magpadala ing HR kopya ning kontrata king kekang email address.,Magpapadala ang HR ng kopya ng kontrata sa iyong email address.,HR will send a copy of the contract to your email address.,,,
136,"Workplace, Technology & Remote Work",Naka-mute ing kekang mikropono kaya e ka mi naririnig.,Naka-mute ang iyong mikropono kaya hindi ka namin naririnig.,"Your microphone is on mute, so we cannot hear you.",,,
