id,surface,boundaries,segmentation,n_boundaries,process,source_tier,provenance,freq_in_sources
kap-morph-0109,makanyan,2,ma | kanyan,1,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,92
kap-morph-0110,pamangan,2 6,pa | mang | an,2,circumfixation,A_strong_silver,tierAB_silver,92
kap-morph-0111,kaligtasan,2 8,ka | ligtas | an,2,circumfixation,A_strong_silver,tierAB_silver,91
kap-morph-0112,kamatayan,2 7,ka | matay | an,2,circumfixation,B_moderate_silver,tierAB_silver,90
kap-morph-0113,kinua,1 3,k | in | ua,2,infixation,B_moderate_silver,tierAB_silver,90
kap-morph-0114,mangatua,4,mang | atua,1,prefixation,B_moderate_silver,tierAB_silver,90
kap-morph-0117,bulan,3,bul | an,1,suffixation,B_moderate_silver,tierAB_silver,85
kap-morph-0119,misan,3,mis | an,1,suffixation,A_strong_silver,tierAB_silver,85
kap-morph-0120,wanan,3,wan | an,1,suffixation,B_moderate_silver,tierAB_silver,85
kap-morph-0121,malyari,2,ma | lyari,1,prefixation,B_moderate_silver,tierAB_silver,83
kap-morph-0122,pamamilatan,2 9,pa | mamilat | an,2,circumfixation,B_moderate_silver,tierAB_silver,83
kap-morph-0124,pitung,2,pi | tung,1,prefixation,A_strong_silver,tierAB_silver,81
kap-morph-0125,tutu,,tutu,0,reduplication,B_moderate_silver,tierAB_silver,80
kap-morph-0126,kayanakan,2 7,ka | yanak | an,2,circumfixation,B_moderate_silver,tierAB_silver,79
kap-morph-0127,lalaking,,lalaking,0,reduplication,B_moderate_silver,tierAB_silver,78
kap-morph-0128,kaluguran,2 7,ka | lugur | an,2,circumfixation,B_moderate_silver,tierAB_silver,77
kap-morph-0129,pablasang,2,pa | blasang,1,prefixation,B_moderate_silver,tierAB_silver,77
kap-morph-0130,sisuan,4,sisu | an,1,suffixation,B_moderate_silver,tierAB_silver,77
kap-morph-0131,tatakut,,tatakut,0,reduplication,A_strong_silver,tierAB_silver,76
kap-morph-0132,tipan,,tipan,0,suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,76
kap-morph-0134,katutuan,2 6,ka | tutu | an,2,circumfixation,A_strong_silver,tierAB_silver,75
kap-morph-0135,malyaring,2,ma | lyaring,1,prefixation,B_moderate_silver,tierAB_silver,75
kap-morph-0136,tinape,1 3,t | in | ape,2,infixation,B_moderate_silver,tierAB_silver,74
kap-morph-0137,maiguit,2,ma | iguit,1,prefixation,B_moderate_silver,tierAB_silver,73
kap-morph-0138,magkang,3,mag | kang,1,prefixation,A_strong_silver,tierAB_silver,71
kap-morph-0139,pasbul,2,pa | sbul,1,prefixation,B_moderate_silver,tierAB_silver,70
kap-morph-0140,sasabian,6,sasabi | an,1,reduplication+suffixation,A_strong_silver,tierAB_silver,70
kap-morph-0141,gawan,3,gaw | an,1,suffixation,B_moderate_silver,tierAB_silver,69
kap-morph-0142,maniabi,3,man | iabi,1,prefixation,B_moderate_silver,tierAB_silver,69
kap-morph-0143,sinta,1 3,s | in | ta,2,infixation,B_moderate_silver,tierAB_silver,69
kap-morph-0145,miniabi,1 3,m | in | iabi,2,infixation,B_moderate_silver,tierAB_silver,66
kap-morph-0146,linual,1 3,l | in | ual,2,infixation,A_strong_silver,tierAB_silver,64
kap-morph-0147,pasalamat,2,pa | salamat,1,prefixation,A_strong_silver,tierAB_silver,64
kap-morph-0148,pasbulan,6,pasbul | an,1,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,64
kap-morph-0149,babaing,,babaing,0,reduplication,B_moderate_silver,tierAB_silver,63
kap-morph-0150,kabaldugan,2 8,ka | baldug | an,2,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,63
kap-morph-0151,mangan,2,ma | ngan,1,prefixation,A_strong_silver,tierAB_silver,63
kap-morph-0152,nangan,4,nang | an,1,suffixation,A_strong_silver,tierAB_silver,63
kap-morph-0153,binang,1 3,b | in | ang,2,infixation,B_moderate_silver,tierAB_silver,61
kap-morph-0154,dinalan,1 3,d | in | alan,2,infixation,A_strong_silver,tierAB_silver,61
kap-morph-0155,canaan,,canaan,0,suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,60
kap-morph-0157,larawan,5,laraw | an,1,suffixation,B_moderate_silver,tierAB_silver,59
kap-morph-0159,menuknangan,3 9,men | uknang | an,2,prefixation+suffixation,B_moderate_silver,tierAB_silver,58
kap-morph-0160,pibandian,2 7,pi | bandi | an,2,prefixation+suffixation,A_strong_silver,tierAB_silver,58
kap-morph-0161,pagamuamu,2,pa | gamuamu,1,prefixation,B_moderate_silver,tierAB_silver,57
kap-morph-0162,kapayapan,2 7,ka | payap | an,2,circumfixation,B_moderate_silver,tierAB_silver,56
kap-morph-0164,tinalakad,1 3,t | in | alakad,2,infixation,A_strong_silver,tierAB_silver,56
kap-morph-0165,manaya,2,ma | naya,1,prefixation,A_strong_silver,tierAB_silver,55
kap-morph-0166,marayu,2,ma | rayu,1,prefixation,B_moderate_silver,tierAB_silver,55
kap-morph-0167,pangane,,pangane,0,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,55
kap-morph-0168,tumula,1 3,t | um | ula,2,infixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,54
kap-morph-0169,bandian,5,bandi | an,1,suffixation,A_strong_silver,tierAB_silver,53
kap-morph-0170,dinapat,1 3,d | in | apat,2,infixation,A_strong_silver,tierAB_silver,53
kap-morph-0171,makapagmulala,7,makapag | mulala,1,prefixation,A_strong_silver,tierAB_silver,53
kap-morph-0172,tuparan,5,tupar | an,1,suffixation,B_moderate_silver,tierAB_silver,53
kap-morph-0173,angganan,6,anggan | an,1,suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,52
kap-morph-0174,kasakitan,2 7,ka | sakit | an,2,circumfixation,A_strong_silver,tierAB_silver,52
kap-morph-0175,malagu,2,ma | lagu,1,prefixation,A_strong_silver,tierAB_silver,52
kap-morph-0176,minuna,1 3,m | in | una,2,infixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,52
kap-morph-0177,linub,1 3,l | in | ub,2,infixation,A_strong_silver,tierAB_silver,51
kap-morph-0178,malugud,2,ma | lugud,1,prefixation,A_strong_silver,tierAB_silver,51
kap-morph-0179,manalig,3,man | alig,1,prefixation,B_moderate_silver,tierAB_silver,51
kap-morph-0180,dininan,1 3,d | in | inan,2,infixation,B_moderate_silver,tierAB_silver,50
kap-morph-0181,jordan,4,jord | an,1,suffixation,B_moderate_silver,tierAB_silver,50
kap-morph-0182,masikan,2,ma | sikan,1,prefixation,A_strong_silver,tierAB_silver,50
kap-morph-0183,paninap,3,pan | inap,1,prefixation,B_moderate_silver,tierAB_silver,50
kap-morph-0184,tanaman,5,tanam | an,1,suffixation,A_strong_silver,tierAB_silver,50
kap-morph-0185,manakit,3,man | akit,1,prefixation,A_strong_silver,tierAB_silver,49
kap-morph-0186,bunduk-bundukan,13,bunduk-bunduk | an,1,suffixation,B_moderate_silver,tierAB_silver,48
kap-morph-0187,damdaman,6,damdam | an,1,suffixation,A_strong_silver,tierAB_silver,48
kap-morph-0188,lawan,3,law | an,1,suffixation,B_moderate_silver,tierAB_silver,48
kap-morph-0189,ninumang,1 3,n | in | umang,2,infixation,B_moderate_silver,tierAB_silver,48
kap-morph-0190,gagawan,,gagawan,0,reduplication,B_moderate_silver,tierAB_silver,47
kap-morph-0191,mangaragul,4,mang | aragul,1,prefixation,B_moderate_silver,tierAB_silver,47
kap-morph-0192,menganak,4,meng | anak,1,prefixation,A_strong_silver,tierAB_silver,47
kap-morph-0194,ganakan,5,ganak | an,1,suffixation,B_moderate_silver,tierAB_silver,46
kap-morph-0195,kuanan,4,kuan | an,1,suffixation,B_moderate_silver,tierAB_silver,46
kap-morph-0196,makapayan,4,maka | payan,1,prefixation,B_moderate_silver,tierAB_silver,46
kap-morph-0197,masanting,2,ma | santing,1,prefixation,A_strong_silver,tierAB_silver,46
kap-morph-0198,menibatan,3 7,men | ibat | an,2,prefixation+suffixation,A_strong_silver,tierAB_silver,46
kap-morph-0199,leguan,4,legu | an,1,suffixation,B_moderate_silver,tierAB_silver,45
kap-morph-0200,ninung,1 3,n | in | ung,2,infixation,A_strong_silver,tierAB_silver,45
kap-morph-0201,daraptan,6,darapt | an,1,suffixation,B_moderate_silver,tierAB_silver,44
kap-morph-0202,magsaya,3,mag | saya,1,prefixation,A_strong_silver,tierAB_silver,44
kap-morph-0203,manintun,3,man | intun,1,prefixation,A_strong_silver,tierAB_silver,44
kap-morph-0204,panintunan,3 8,pan | intun | an,2,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,44
kap-morph-0205,aslagan,5,aslag | an,1,suffixation,A_strong_silver,tierAB_silver,43
kap-morph-0206,lelangan,6,lelang | an,1,suffixation,B_moderate_silver,tierAB_silver,43
kap-morph-0207,linigtas,1 3,l | in | igtas,2,infixation,A_strong_silver,tierAB_silver,43
kap-morph-0208,palsintan,2 7,pa | lsint | an,2,circumfixation,B_moderate_silver,tierAB_silver,43
kap-morph-0211,sugatan,5,sugat | an,1,suffixation,A_strong_silver,tierAB_silver,42
kap-morph-0212,sumpa,1 3,s | um | pa,2,infixation,B_moderate_silver,tierAB_silver,42
kap-morph-0213,kanuanan,2 6,ka | nuan | an,2,circumfixation,A_strong_silver,tierAB_silver,41
kap-morph-0214,katapatan,2 7,ka | tapat | an,2,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,41
kap-morph-0215,luklukan,6,lukluk | an,1,suffixation,A_strong_silver,tierAB_silver,41
kap-morph-0216,parang,,parang,0,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,41
kap-morph-0217,patutu,2,pa | tutu,1,prefixation,A_strong_silver,tierAB_silver,41
kap-morph-0218,sinampa,1 3,s | in | ampa,2,infixation,A_strong_silver,tierAB_silver,41
kap-morph-0219,kawatasan,2 7,ka | watas | an,2,circumfixation,B_moderate_silver,tierAB_silver,40
kap-morph-0220,malapit,2,ma | lapit,1,prefixation,A_strong_silver,tierAB_silver,40
kap-morph-0221,maligaya,2,ma | ligaya,1,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,40
kap-morph-0222,menakit,3,men | akit,1,prefixation,A_strong_silver,tierAB_silver,40
kap-morph-0223,matibe,2,ma | tibe,1,prefixation,A_strong_silver,tierAB_silver,39
kap-morph-0225,tuknangan,7,tuknang | an,1,suffixation,A_strong_silver,tierAB_silver,39
kap-morph-0226,kabiasnan,2 7,ka | biasn | an,2,circumfixation,B_moderate_silver,tierAB_silver,38
kap-morph-0227,kinanua,1 3,k | in | anua,2,infixation,B_moderate_silver,tierAB_silver,38
kap-morph-0228,ausan,3,aus | an,1,suffixation,A_strong_silver,tierAB_silver,37
kap-morph-0229,daralan,5,daral | an,1,suffixation,B_moderate_silver,tierAB_silver,37
kap-morph-0230,linapit,1 3,l | in | apit,2,infixation,A_strong_silver,tierAB_silver,37
kap-morph-0231,lipulan,5,lipul | an,1,suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,37
kap-morph-0232,makatalakad,4,maka | talakad,1,prefixation,A_strong_silver,tierAB_silver,37
kap-morph-0234,panimanman,4,pani | manman,1,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,37
kap-morph-0235,babayi,,babayi,0,reduplication,A_strong_silver,tierAB_silver,36
kap-morph-0236,kailangan,2 7,ka | ilang | an,2,circumfixation,A_strong_silver,tierAB_silver,36
kap-morph-0237,kaligaligan,2 9,ka | ligalig | an,2,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,36
kap-morph-0238,lalakad,,lalakad,0,reduplication,A_strong_silver,tierAB_silver,36
kap-morph-0239,makatua,2,ma | katua,1,prefixation,B_moderate_silver,tierAB_silver,36
kap-morph-0240,manibatan,3 7,man | ibat | an,2,prefixation+suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,36
kap-morph-0241,timan,3,tim | an,1,suffixation,B_moderate_silver,tierAB_silver,36
kap-morph-0242,binye,1 3,b | in | ye,2,infixation,A_strong_silver,tierAB_silver,35
kap-morph-0243,makiramdam,2,ma | kiramdam,1,prefixation,B_moderate_silver,tierAB_silver,35
kap-morph-0246,sangkan,5,sangk | an,1,suffixation,B_moderate_silver,tierAB_silver,35
kap-morph-0247,tata,,tata,0,reduplication,A_strong_silver,tierAB_silver,35
kap-morph-0248,legwan,4,legw | an,1,suffixation,B_moderate_silver,tierAB_silver,34
kap-morph-0249,linto,1 3,l | in | to,2,infixation,B_moderate_silver,tierAB_silver,34
kap-morph-0250,matula,2,ma | tula,1,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,34
kap-morph-0251,miguising,3,mig | uising,1,prefixation,B_moderate_silver,tierAB_silver,34
kap-morph-0254,tutung,,tutung,0,reduplication,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,34
kap-morph-0255,kanan,3,kan | an,1,suffixation,A_strong_silver,tierAB_silver,33
kap-morph-0256,luguran,5,lugur | an,1,suffixation,B_moderate_silver,tierAB_silver,33
kap-morph-0257,magsantung,3,mag | santung,1,prefixation,A_strong_silver,tierAB_silver,33
kap-morph-0258,makananung,4,maka | nanung,1,prefixation,B_moderate_silver,tierAB_silver,33
kap-morph-0259,matudtud,2,ma | tudtud,1,prefixation,A_strong_silver,tierAB_silver,33
kap-morph-0261,kaisipan,2 6,ka | isip | an,2,circumfixation,A_strong_silver,tierAB_silver,32
kap-morph-0262,lele,,lele,0,reduplication,A_strong_silver,tierAB_silver,32
kap-morph-0264,mamangan,2,ma | mangan,1,reduplication+suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,32
kap-morph-0265,menibat,3,men | ibat,1,prefixation,A_strong_silver,tierAB_silver,32
kap-morph-0266,mitagan,5,mitag | an,1,suffixation,B_moderate_silver,tierAB_silver,32
kap-morph-0267,pinili,1 3,p | in | ili,2,infixation,A_strong_silver,tierAB_silver,32
kap-morph-0268,sintang,,sintang,0,infixation,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,32
kap-morph-0269,kayatulan,2 7,ka | yatul | an,2,circumfixation,B_moderate_silver,tierAB_silver,31
kap-morph-0270,kinuldas,1 3,k | in | uldas,2,infixation,A_strong_silver,tierAB_silver,31
kap-morph-0271,lumakad,1 3,l | um | akad,2,infixation,A_strong_silver,tierAB_silver,31
kap-morph-0272,magdala,3,mag | dala,1,prefixation,A_strong_silver,tierAB_silver,31
kap-morph-0273,makanianman,4 9,maka | nianm | an,2,prefixation+suffixation,B_moderate_silver,tierAB_silver,31
kap-morph-0274,malinis,2,ma | linis,1,prefixation,A_strong_silver,tierAB_silver,31
kap-morph-0276,pilinan,2,pi | linan,1,prefixation,B_moderate_silver,tierAB_silver,31
kap-morph-0277,sabyan,4,saby | an,1,suffixation,B_moderate_silver,tierAB_silver,31
kap-morph-0278,sinulat,1 3,s | in | ulat,2,infixation,A_strong_silver,tierAB_silver,31
kap-morph-0279,tumakut,1 3,t | um | akut,2,infixation,A_strong_silver,tierAB_silver,31
kap-morph-0280,atulan,4,atul | an,1,suffixation,A_strong_silver,tierAB_silver,30
kap-morph-0281,basan,3,bas | an,1,suffixation,B_moderate_silver,tierAB_silver,30
kap-morph-0282,beluan,4,belu | an,1,suffixation,B_moderate_silver,tierAB_silver,30
kap-morph-0283,durulukan,7,duruluk | an,1,suffixation,B_moderate_silver,tierAB_silver,30
kap-morph-0284,kutkutan,6,kutkut | an,1,suffixation,A_strong_silver,tierAB_silver,30
kap-morph-0285,likwan,4,likw | an,1,suffixation,B_moderate_silver,tierAB_silver,30
kap-morph-0286,maluka,2,ma | luka,1,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,30
kap-morph-0287,masaya,2,ma | saya,1,prefixation,A_strong_silver,tierAB_silver,30
kap-morph-0288,paburen,2,pa | buren,1,prefixation,A_strong_silver,tierAB_silver,30
kap-morph-0289,tinakas,1 3,t | in | akas,2,infixation,A_strong_silver,tierAB_silver,30
kap-morph-0290,tinas,1 3,t | in | as,2,infixation,A_strong_silver,tierAB_silver,30
kap-morph-0292,kalalaman,2 7,ka | lalam | an,2,circumfixation,A_strong_silver,tierAB_silver,29
kap-morph-0293,linawe,1 3,l | in | awe,2,infixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,29
kap-morph-0294,lulual,,lulual,0,reduplication,A_strong_silver,tierAB_silver,29
kap-morph-0296,mumunang,1 3,m | um | unang,2,infixation,B_moderate_silver,tierAB_silver,29
kap-morph-0297,pakibatan,7,pakibat | an,1,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,29
kap-morph-0298,santungan,7,santung | an,1,suffixation,A_strong_silver,tierAB_silver,29
kap-morph-0299,keraklan,6,kerakl | an,1,suffixation,B_moderate_silver,tierAB_silver,28
kap-morph-0300,macanian,2 6,ma | cani | an,2,prefixation+suffixation,B_moderate_silver,tierAB_silver,28
kap-morph-0301,malagung,2,ma | lagung,1,prefixation,B_moderate_silver,tierAB_silver,28
kap-morph-0302,maranun,2,ma | ranun,1,prefixation,A_strong_silver,tierAB_silver,28
kap-morph-0303,mawala,2,ma | wala,1,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,28
kap-morph-0304,pagkeran,2 6,pa | gker | an,2,circumfixation,B_moderate_silver,tierAB_silver,28
kap-morph-0306,panayan,6,panaya | n,1,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_manual_surface_map,28
kap-morph-0307,pilatan,2,pi | latan,1,prefixation,B_moderate_silver,tierAB_silver,28
kap-morph-0308,sigatan,5,sigat | an,1,suffixation,B_moderate_silver,tierAB_silver,28
kap-morph-0309,sinugat,1 3,s | in | ugat,2,infixation,A_strong_silver,tierAB_silver,28
kap-morph-0310,sinuyu,1 3,s | in | uyu,2,infixation,B_moderate_silver,tierAB_silver,28
kap-morph-0311,alipan,,alipan,0,suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,27
kap-morph-0312,kalibakan,2 7,ka | libak | an,2,circumfixation,B_moderate_silver,tierAB_silver,27
kap-morph-0313,kayarian,2 6,ka | yari | an,2,circumfixation,A_strong_silver,tierAB_silver,27
kap-morph-0314,magkailangan,3,mag | kailangan,1,prefixation+suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,27
kap-morph-0315,malati,2,ma | lati,1,prefixation,A_strong_silver,tierAB_silver,27
kap-morph-0316,mayupaya,2,ma | yupaya,1,prefixation,B_moderate_silver,tierAB_silver,27
kap-morph-0317,midian,4,midi | an,1,suffixation,B_moderate_silver,tierAB_silver,27
kap-morph-0318,nanan,,nanan,0,reduplication,A_strong_silver,tierAB_silver,27
kap-morph-0320,dinalung,1 3,d | in | alung,2,infixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,26
kap-morph-0321,dinam,1 3,d | in | am,2,infixation,A_strong_silver,tierAB_silver,26
kap-morph-0322,kagutgutan,2 8,ka | gutgut | an,2,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,26
kap-morph-0323,kalinguan,2 7,ka | lingu | an,2,circumfixation,B_moderate_silver,tierAB_silver,26
kap-morph-0324,makapagmulalang,7,makapag | mulalang,1,prefixation,B_moderate_silver,tierAB_silver,26
kap-morph-0325,makipamuk,2,ma | kipamuk,1,prefixation,B_moderate_silver,tierAB_silver,26
kap-morph-0326,masikanan,2 7,ma | sikan | an,2,prefixation+suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,26
kap-morph-0327,minaus,1 3,m | in | aus,2,infixation,B_moderate_silver,tierAB_silver,26
kap-morph-0328,minunang,1 3,m | in | unang,2,infixation,B_moderate_silver,tierAB_silver,26
kap-morph-0329,pangisnawa,4,pang | isnawa,1,prefixation,B_moderate_silver,tierAB_silver,26
kap-morph-0330,panlalawe,3,pan | lalawe,1,prefixation,B_moderate_silver,tierAB_silver,26
kap-morph-0331,sumuyu,1 3,s | um | uyu,2,infixation,B_moderate_silver,tierAB_silver,26
kap-morph-0332,tinuki,1 3,t | in | uki,2,infixation,A_strong_silver,tierAB_silver,26
kap-morph-0333,capampangan,9,capampang | an,1,suffixation,B_moderate_silver,tierAB_silver,25
kap-morph-0334,kakanan,5,kakan | an,1,reduplication,F_conflicts_with_reconciliation_evidence,tierF_user_manual_surface_map,25
kap-morph-0335,kakataskatasan,2 12,ka | kataskatas | an,2,circumfixation,B_moderate_silver,tierAB_silver,25
kap-morph-0336,kamarinayan,2 9,ka | marinay | an,2,circumfixation,B_moderate_silver,tierAB_silver,25
kap-morph-0337,kapulungan,2 8,ka | pulung | an,2,circumfixation,B_moderate_silver,tierAB_silver,25
kap-morph-0338,lumapit,1 3,l | um | apit,2,infixation,A_strong_silver,tierAB_silver,25
kap-morph-0339,makalukluk,4,maka | lukluk,1,prefixation,A_strong_silver,tierAB_silver,25
kap-morph-0340,manases,3,man | ases,1,prefixation,B_moderate_silver,tierAB_silver,25
kap-morph-0341,masampat,2,ma | sampat,1,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,25
kap-morph-0342,masayang,2,ma | sayang,1,prefixation,A_strong_silver,tierAB_silver,25
kap-morph-0343,minum,1 3,m | in | um,2,infixation,A_strong_silver,tierAB_silver,25
kap-morph-0344,myuman,4,myum | an,1,suffixation,B_moderate_silver,tierAB_silver,25
kap-morph-0345,pisamban,2 6,pi | samb | an,2,prefixation+suffixation,B_moderate_silver,tierAB_silver,25
kap-morph-0346,tatang,,tatang,0,reduplication,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,25
kap-morph-0348,batiawan,6,batiaw | an,1,suffixation,B_moderate_silver,tierAB_silver,24
kap-morph-0349,dangalan,6,dangal | an,1,suffixation,A_strong_silver,tierAB_silver,24
kap-morph-0351,kayupayan,2 7,ka | yupay | an,2,circumfixation,B_moderate_silver,tierAB_silver,24
kap-morph-0352,magligtas,3,mag | ligtas,1,prefixation,A_strong_silver,tierAB_silver,24
kap-morph-0353,mamagus,,mamagus,0,reduplication,B_moderate_silver,tierAB_silver,24
kap-morph-0354,matuang,2,ma | tuang,1,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_manual_surface_map,24
kap-morph-0355,pamintuan,2 7,pa | mintu | an,2,circumfixation,B_moderate_silver,tierAB_silver,24
kap-morph-0356,pangatau,4,pang | atau,1,prefixation,B_moderate_silver,tierAB_silver,24
kap-morph-0357,patugut,2,pa | tugut,1,prefixation,A_strong_silver,tierAB_silver,24
kap-morph-0358,saupan,4,saup | an,1,suffixation,A_strong_silver,tierAB_silver,24
kap-morph-0359,singsing,1 3,s | in | gsing,2,infixation,B_moderate_silver,tierAB_silver,24
kap-morph-0360,susuyu,,susuyu,0,reduplication,B_moderate_silver,tierAB_silver,24
kap-morph-0361,binutil,1 3,b | in | util,2,infixation,A_strong_silver,tierAB_silver,23
