surface,user_verdict,user_correct_analysis,method,boundaries,segmentation,note
maligaya,candidate_correct,ma + ligaya,auto_parse,2,ma | ligaya,user analysis parsed and surface-reconstructs verbatim
malipul,candidate_correct,ma + lipul,auto_parse,2,ma | lipul,user analysis parsed and surface-reconstructs verbatim
maluka,candidate_correct,ma + luka,auto_parse,2,ma | luka,user analysis parsed and surface-reconstructs verbatim
mamangan,existing_correct,ma + mangan,auto_parse,2,ma | mangan,user analysis parsed and surface-reconstructs verbatim
mangatas,candidate_correct,mang + atas,auto_parse,4,mang | atas,user analysis parsed and surface-reconstructs verbatim
manibatan,candidate_correct,man + ibat + an,auto_parse,3 7,man | ibat | an,user analysis parsed and surface-reconstructs verbatim
mapaling,candidate_correct,ma + paling,auto_parse,2,ma | paling,user analysis parsed and surface-reconstructs verbatim
masampat,candidate_correct,ma + sampat,auto_parse,2,ma | sampat,user analysis parsed and surface-reconstructs verbatim
masias,candidate_correct,ma + sias,auto_parse,2,ma | sias,user analysis parsed and surface-reconstructs verbatim
masikanan,candidate_correct,ma + sikan + an,auto_parse,2 7,ma | sikan | an,user analysis parsed and surface-reconstructs verbatim
matatag,candidate_correct,ma + tatag,auto_parse,2,ma | tatag,user analysis parsed and surface-reconstructs verbatim
matuang,candidate_wrong_different_root,ma + tua + -ng,manual_surface_map,2,ma | tuang,surface-mapped from the user's underlying analysis
matula,candidate_correct,ma + tula,auto_parse,2,ma | tula,user analysis parsed and surface-reconstructs verbatim
mawala,candidate_correct,ma + wala,auto_parse,2,ma | wala,user analysis parsed and surface-reconstructs verbatim
mayumu,candidate_correct,ma + yumu,auto_parse,2,ma | yumu,user analysis parsed and surface-reconstructs verbatim
minuna,both_wrong,m- + -in- + una,auto_parse,1 3,m | in | una,user analysis parsed and surface-reconstructs verbatim
pakibatan,existing_correct,pakibat + an,auto_parse,7,pakibat | an,user analysis parsed and surface-reconstructs verbatim
pamisip,candidate_correct,pam + isip,auto_parse,3,pam | isip,user analysis parsed and surface-reconstructs verbatim
panamdaman,candidate_wrong_different_root,pa + damdam + an,manual_surface_map,2 8,pa | namdam | an,surface-mapped from the user's underlying analysis
panata,flag_correct,panata (monomorphemic),user_monomorphemic,,panata,user: monomorphemic / loan / proper name -> zero-boundary row
panayan,candidate_wrong_different_root,panaya + an,manual_surface_map,6,panaya | n,surface-mapped from the user's underlying analysis
pangane,both_wrong,pangane (monomorphemic,user_monomorphemic,,pangane,user: monomorphemic / loan / proper name -> zero-boundary row
panimanman,candidate_wrong_different_root,pani- + manman,auto_parse,4,pani | manman,user analysis parsed and surface-reconstructs verbatim
panintunan,existing_correct,pan + intun + an,auto_parse,3 8,pan | intun | an,user analysis parsed and surface-reconstructs verbatim
pantas,flag_correct,pantas (monomorphemic),user_monomorphemic,,pantas,user: monomorphemic / loan / proper name -> zero-boundary row
parang,flag_correct,parang (monomorphemic),user_monomorphemic,,parang,user: monomorphemic / loan / proper name -> zero-boundary row
parusa,candidate_wrong_different_root,pa- + dusa,manual_surface_map,2,pa | rusa,surface-mapped from the user's underlying analysis
pasbulan,unclear_categorization,pasbul + an,auto_parse,6,pasbul | an,user analysis parsed and surface-reconstructs verbatim
pastul,flag_correct,"pastul (Spanish loan, monomorphemic)",user_monomorphemic,,pastul,user: monomorphemic / loan / proper name -> zero-boundary row
payapa,flag_correct,payapa (monomorphemic Tagalog loan),user_monomorphemic,,payapa,user: monomorphemic / loan / proper name -> zero-boundary row
pibatan,candidate_wrong_different_root,pi- + bata + an,manual_surface_map,2 6,pi | bata | n,surface-mapped from the user's underlying analysis
pilubluban,candidate_correct,pi + lublub + an,auto_parse,2 8,pi | lublub | an,user analysis parsed and surface-reconstructs verbatim
purian,candidate_correct,puri + an,auto_parse,4,puri | an,user analysis parsed and surface-reconstructs verbatim
sinira,candidate_correct,s + in + ira,auto_parse,1 3,s | in | ira,user analysis parsed and surface-reconstructs verbatim
sintang,flag_correct,sintang (monomorphemic loan),user_monomorphemic,,sintang,user: monomorphemic / loan / proper name -> zero-boundary row
tatang,flag_correct,tatang (monomorphemic),user_monomorphemic,,tatang,user: monomorphemic / loan / proper name -> zero-boundary row
tatas,flag_correct,tatas (monomorphemic),user_monomorphemic,,tatas,user: monomorphemic / loan / proper name -> zero-boundary row
tinabi,candidate_correct,t + in + abi,auto_parse,1 3,t | in | abi,user analysis parsed and surface-reconstructs verbatim
tipan,flag_correct,tipan (monomorphemic),user_monomorphemic,,tipan,user: monomorphemic / loan / proper name -> zero-boundary row
tumula,candidate_correct,t + um + ula,auto_parse,1 3,t | um | ula,user analysis parsed and surface-reconstructs verbatim
tuntunan,candidate_correct,tuntun + an,auto_parse,6,tuntun | an,user analysis parsed and surface-reconstructs verbatim
tutula,candidate_correct,tu~ + tula,manual_surface_map,,tutula,surface-mapped from the user's underlying analysis
tutung,flag_correct,tutung (monomorphemic),user_monomorphemic,,tutung,user: monomorphemic / loan / proper name -> zero-boundary row
dinan,existing_correct_or_close,din/da + an,EXCLUDE,,,din/da root alternation unresolved
kakalinguan,existing_correct_or_close,ka~ + kalingwan,EXCLUDE,,,ka~ reduplication over an already circumfixed stem; layered
kakaluguran,both_wrong,ka~ + (ka + lugud + an),EXCLUDE,,,nested ka~ over ka-...-an + d->r; surface split ambiguous
maging,candidate_correct_or_close,m-/ma- + aging/ging,EXCLUDE,,,m-/ma- and aging/ging both left open by the user
makalangan,candidate_wrong_different_root,maka- + alang/kalangan + an,EXCLUDE,,,alang/kalangan root alternation unresolved
migising,candidate_wrong_different_root,mi-/mig- + gising,EXCLUDE,,,mi-/mig- prefix alternation unresolved
mumuna,candidate_wrong_different_root,m/um- + una,EXCLUDE,,,m-/um- alternation unresolved
pakalulu,candidate_partially_correct,paka-/pa- + kalulu,EXCLUDE,,,paka-/pa- affix ambiguous per the user
pakiramdaman,both_wrong,paki- + damdam/ramdam + -an,EXCLUDE,,,damdam/ramdam alternation unresolved by the user
pamanalastas,both_wrong,paman- + talastas,EXCLUDE,,,"both_wrong; assimilated t, surface split not determinable"
panamdam,candidate_wrong_different_root,paN- + damdam/ramdam,EXCLUDE,,,"paN- + damdam/ramdam; assimilated surface, alternation open"
panenayan,candidate_wrong_different_root,panaya-based derivation,EXCLUDE,,,"'panaya-based derivation', no definite split given"
paralaya,candidate_wrong_different_root,pa + alaya/dalaya,EXCLUDE,,,alaya/dalaya root alternation unresolved
patayan,candidate_wrong_different_root,patai/pate + an,EXCLUDE,,,"patai/pate alternation + i->y glide, surface split unclear"
pengan,candidate_wrong_different_root,pe- + pangan/mangan,EXCLUDE,,,"pe- + pangan/mangan; nasal-assimilated, does not reconstruct"
