row_index	score	category	note
23	0	no_correspondence	Pasibayung (=renewed/again) vs Espanya=Spain; unrelated; likely shifted from a neighboring row (see row 24).
24	0	no_correspondence	Espana=Spain (source) vs noong=Tagalog past-time marker; unrelated pairing, though source itself is glossed "Espanya" one row up (row 23) -- suggests a one-row shift in this stretch.
25	0	no_correspondence	Usman (proper name) vs nilang=their; unrelated.
26	0	no_correspondence	Meyakit=sick/ill vs maraming=many; unrelated.
27	0	no_correspondence	Anggang=until vs minsan=sometimes/once; unrelated.
28	0	no_correspondence	Pangaratang (uncertain gloss) vs tulad=like/similar; no clear correspondence identified.
29	0	no_correspondence	Niti=of this vs dalawa=two; unrelated.
30	0	no_correspondence	Pangaratang (uncertain gloss) vs Soliman (proper name); no clear correspondence identified.
31	1	same_domain_wrong_specific	Caluguran=friend/beloved vs bayaw=brother-in-law; both relational/kinship terms, wrong specific.
32	2	plausible_partial_match	Caca (self-glossed "older sibling") vs diko=Filipino term for second-eldest brother; both older-sibling kinship terms, partial specificity mismatch.
33	1	same_domain_wrong_specific	Caca=older sibling vs madrasta=stepmother; same kinship domain, wrong specific relation.
34	1	same_domain_wrong_specific	Cabit (self-glossed "querida"/mistress) vs manugang=child-in-law; same relationship domain, wrong specific.
35	1	same_domain_wrong_specific	Capusu (uncertain gloss, kinship block) vs pamangkin=niece/nephew; same domain, unverified specific.
36	1	same_domain_wrong_specific	Cabit=mistress vs balo=widow/widower; same relationship-status domain, wrong specific.
37	1	same_domain_wrong_specific	Tegauang lalaki (male in-law term, kinship block) vs tiya=aunt; same domain, gender mismatch.
38	1	same_domain_wrong_specific	Capalsintan (uncertain gloss) vs kamag-anak=relative (generic); same kinship domain, unverified specific.
39	1	same_domain_wrong_specific	Manuyang (uncertain gloss) vs katambal=partner/companion; same relational domain, unverified specific.
40	0	no_correspondence	Siping bale=neighbor (next-door) vs manugang=child-in-law; different relation types.
41	1	same_domain_wrong_specific	Cacambal=twin vs kasintahan=sweetheart; same relationship domain, wrong specific.
42	NA	dictionary_gloss_pair	Homonym/homograph illustration entry (two senses of "kabud" defined), not a sentence/phrase translation; target is an unrelated Filipino homonym pair.
43	NA	dictionary_gloss_pair	Homonym illustration entry ("pati"), not a translation pair.
44	NA	dictionary_gloss_pair	Homonym illustration entry ("palac"), not a translation pair.
45	NA	dictionary_gloss_pair	Homonym illustration entry ("sepu"), not a translation pair.
46	NA	dictionary_gloss_pair	Homonym illustration entry ("kabud"), not a translation pair.
47	NA	dictionary_gloss_pair	Homonym illustration entry ("baldug"), not a translation pair.
48	NA	dictionary_gloss_pair	Homonym illustration entry ("masakit"), not a translation pair.
49	NA	dictionary_gloss_pair	Homonym illustration entry ("piling"), not a translation pair.
50	NA	dictionary_gloss_pair	Homonym illustration entry ("piling"), not a translation pair.
51	0	no_correspondence	Calabing apat=14 (cardinal) vs ikatatlumpu't pitong=37th (ordinal); different values/forms.
52	0	no_correspondence	Caduampulu't apat=24 vs ikadalawampu't walong=28th; different values.
53	0	no_correspondence	Calabingpitu=17 vs ikadalawampu't pitong=27th; different values.
54	0	no_correspondence	Catlumpulu't atlu=33 vs ikadalawampu't pitong=27th; different values.
55	0	no_correspondence	Cawalumpulung=~80 vs ikadalawampu't tatlo=23rd; different values.
56	0	no_correspondence	Calabing metung=11 vs ikadalawampu't isang=21st; different values.
57	0	no_correspondence	Caduampulu't pitung=27 vs ikadalawampu't tatlo=23rd; different values.
58	1	same_domain_wrong_specific	cadinalang (uncertain, possibly garbled "29") vs ikadalawampu't siyam=29th; numeric domain, cardinal/ordinal form mismatch and uncertain source parse.
59	0	no_correspondence	Catlumpulu't metung=31 vs ikatatlumpu't walong=38th; different values.
60	0	no_correspondence	Catlumpulu't aduang=32 vs ikalawa=2nd; different order of magnitude.
61	0	no_correspondence	Catlumpulu't apat=34 vs ikadalawampu't walong=28th; different values.
62	0	no_correspondence	Caduampulu't atlu=23 vs ikatatlumpu't limang=35th; different values.
63	0	no_correspondence	Salucuiang (time word, "current") vs labinlimang=15 (cardinal); domain mismatch (time-word vs number).
64	1	same_domain_wrong_specific	nandin=earlier/just now vs Miyerkules=Wednesday; same time domain, wrong specific.
65	1	same_domain_wrong_specific	cabang=while/during vs dapithapon=late afternoon; same time domain, wrong specific.
66	1	same_domain_wrong_specific	Salucuiang=current vs kinagabihan=that evening; same time domain, wrong specific.
67	3	correct_translation	Salucuian and kasalukuyang are the same cognate root meaning "current/present" in both languages.
68	0	no_correspondence	potang bagia (uncertain gloss) vs dapit-tanghali=near noon; no clear correspondence identified.
69	1	same_domain_wrong_specific	capilanman=ever/never vs pagkatapos=afterward; same time domain, wrong specific.
70	1	same_domain_wrong_specific	panaun=time/season/weather vs kasalukuyang=current; same time domain, wrong specific.
71	1	same_domain_wrong_specific	anggang capilanman=forever vs bago=before/new; same time domain, wrong specific.
72	1	same_domain_wrong_specific	anggang capilanman=forever vs segusegundo=every second; same time domain, wrong specific.
73	1	same_domain_wrong_specific	anggang capilanman=forever vs mamaya=later; same time domain, wrong specific.
74	1	same_domain_wrong_specific	capilanman=whenever/never vs bago=before/new; same time domain, wrong specific.
75	1	same_domain_wrong_specific	ganing aldo=whole day vs kamakatlo=three days ago; same time domain, wrong specific.
76	0	no_correspondence	anggang capilanman=forever vs kalahati=half; time vs quantity domain mismatch.
77	1	same_domain_wrong_specific	panaun=time vs mamaya=later; same time domain, wrong specific.
78	1	same_domain_wrong_specific	Meyari=finished/done vs dati=used to/before; loosely related past-reference domain, wrong specific.
79	1	same_domain_wrong_specific	capilanman=whenever vs dapit-umaga=near dawn; same time domain, wrong specific.
80	1	same_domain_wrong_specific	ganing aldo=whole day vs minuminuto=minute by minute; same time-increment domain, wrong specific.
81	2	plausible_partial_match	Salucuian=current and ngayong=now are close synonyms in the time domain.
82	1	same_domain_wrong_specific	Salucuian=current vs Miyerkules=Wednesday; same time domain, wrong specific.
83	1	same_domain_wrong_specific	linabas a=went out/past marker vs kinagabihan=that evening; loosely time-related, wrong specific.
84	1	same_domain_wrong_specific	Madalumdum=gloomy/overcast vs El Nino=drought-associated climate phenomenon; same weather domain, opposite specific connotation.
85	1	same_domain_wrong_specific	Banua=year vs taglagas=autumn/fall season; same time domain, wrong specific.
86	1	same_domain_wrong_specific	Tagsibul=spring season vs biglaang pagbaha=sudden flooding; same weather/season domain, wrong specific.
87	1	same_domain_wrong_specific	Panaun=time/weather vs maalinsangan=humid/sultry; same weather domain, wrong specific.
88	1	same_domain_wrong_specific	Maialiualas (uncertain gloss) vs makulimlim=overcast/cloudy; weather-adjective domain, unverified specific.
89	1	same_domain_wrong_specific	Bugsu ning angin=gust of wind vs halumigmig=humidity; same weather domain, wrong specific -- the correct target for this exact source text appears at row 91.
90	1	same_domain_wrong_specific	Maialumigmig=humid vs biglaang pagbaha=sudden flooding; same weather domain, wrong specific -- this source's likely correct target (halumigmig) appears at row 89, evidence the 89/90/91/92 block is shifted by one position.
91	3	correct_translation	Bugsu ning angin = bugso ng hangin; exact gust-of-wind translation.
92	1	same_domain_wrong_specific	Maialumigmig=humid vs bugso ng hangin=gust of wind; same weather domain, wrong specific.
93	1	same_domain_wrong_specific	Mayap a bengi pu kecayu=good evening to you vs Maraming salamat=thank you; both polite formulaic expressions, wrong specific.
94	0	no_correspondence	Nucarin cayu pu macatucnang?=where do you live? vs Maligayang bati po sa inyo=congratulations to you; different speech act.
95	0	no_correspondence	Nucarin cayu hu macatucnang?=where do you live? vs Maligayang kaarawan po sa inyo=happy birthday to you; different speech act.
96	0	no_correspondence	Pacencia na pu kecayu=please excuse me vs Gusto niyo pong kumain?=would you like to eat?; different speech act.
97	0	no_correspondence	Mayap a gatpanapun pu kecayu=good afternoon to you vs Ano hong pangalan ninyo?=what is your name?; different speech act.
98	1	same_domain_wrong_specific	Maligayang bati pu=congratulations vs Wala pong anuman=you're welcome; both polite formulaic expressions, wrong specific.
99	0	no_correspondence	Nucarin ya pu ing terminal ning bus?=where is the bus terminal? vs Ilang taon na ho kayo?=how old are you?; different question content.
100	2	plausible_partial_match	Mayap a bengi hu kecayu=good evening to you vs Magandang umaga po sa inyo=good morning to you; same greeting formula, wrong time-of-day.
101	1	same_domain_wrong_specific	Mayap a abac pu kecayu=good morning to you vs Maligayang bati ho sa inyo=congratulations to you; both greetings, wrong specific.
102	0	no_correspondence	E na co hu mangabala=I won't bother you further vs Maligayang kaarawan ho sa inyo=happy birthday to you; different speech act.
103	0	no_correspondence	Pilang na co pung banua?=how many years [old]? vs Maligayang bati ho sa inyo=congratulations to you; different speech act.
104	0	no_correspondence	Maligayang kebaitan hu kecayu (uncertain occasion greeting) vs Magkita na lang po tayo sa susunod=see you next time; different speech act.
105	0	no_correspondence	Bibilugan mucu yata? (uncertain gloss) vs Magandang umaga po sa inyo=good morning to you; no clear correspondence identified.
106	0	no_correspondence	Nucarin ya hu ing terminal ning bus?=where is the bus terminal? vs Marami ka bang gagawin?=do you have a lot to do?; different question content.
107	1	same_domain_wrong_specific	Maligayang kebaitan pu (greeting formula) vs Maraming salamat po=thank you; both polite formulaic expressions, wrong specific.
108	0	no_correspondence	Nanung pamangan tamu ngeni?=what shall we eat now? vs Maligayang bati po=congratulations; different speech act.
109	0	no_correspondence	Calugurang caluguran daca=term of endearment vs Saan po kayo nakatira?=where do you live?; different speech act.
110	0	no_correspondence	Bibilugan mucu yata? (uncertain gloss) vs Magkita na lang po tayo sa susunod=see you next time; no clear correspondence identified.
111	1	same_domain_wrong_specific	Linisan ing silid-pagaralan=clean the classroom vs Itaas lang ang kamay...=just raise your hand...; both classroom-instruction domain, wrong specific.
112	1	same_domain_wrong_specific	Agnan-agnan alang mumuna (uncertain, classroom-order instruction) vs Tumahimik at makinig=be quiet and listen; same classroom-instruction domain.
113	1	same_domain_wrong_specific	Buclat ya ing aclat king pagina catlu=open the book to page three vs Sino'ng hindi naintindihan?=who didn't understand?; same classroom domain, wrong specific.
114	0	no_correspondence	Dalan ya king opisina=he/she went to the office vs magpasa ng tahimik=submit quietly; different content.
115	0	no_correspondence	Mengan na cayu wari?=have you all eaten? vs Lagyan ng cover ang aklat=cover the book; different content.
116	1	same_domain_wrong_specific	Iwasang makisabi king casiping=avoid talking to your seatmate vs Sino ang tutulong sa kanya...=who will help him/her...; same classroom domain, wrong specific.
117	1	same_domain_wrong_specific	Bilisan ing pamangan=hurry up eating vs Tingnan ko nga kung sino ang mabait?=let's see who is well-behaved; same classroom domain, wrong specific.
118	1	same_domain_wrong_specific	Pakibatang tahimic ding cutang...=classroom crafts instruction vs Sino ang dito kakain?=who will eat here?; same classroom domain, wrong specific.
119	0	no_correspondence	Makiramdam=pay attention/sense the mood vs Sabihin sa nanay na may meeting=tell mom there's a meeting; different content.
120	0	no_correspondence	Cumang metung a mabilug a papil...=classroom craft instruction vs Magpuputol ng kuko sa nanay...=will cut mom's nails; different content.
121	0	no_correspondence	Dalan ya king opisina=he/she went to the office vs Sabay-sabay walang mauuna=all together, none goes first; different content.
122	1	same_domain_wrong_specific	E co pupulayi king kilub ning cuarto=I won't run around in the room vs Huwag palaging tasa ng tasa (unclear FIL) vs same behavior-instruction domain, wrong specific.
123	0	no_correspondence	E yu ulitan ing pamanyulud ning imalan yu=don't repeat wearing your clothes [wrong side] vs Naiintindihan ba mga bata?=do the children understand?; different content.
124	1	same_domain_wrong_specific	Lumacad mu, e pupulayi=walk, don't run vs ilagay sa tamang lagayan ang basura=put garbage in its place; same classroom/behavior-instruction domain, wrong specific.
125	1	same_domain_wrong_specific	Magsane mamasa at mamilang=practice reading and counting vs Umupo ng maayos=sit properly; same classroom-instruction domain, wrong specific.
126	1	same_domain_wrong_specific	Long narrative sentence (fable register, monkey/banana content) vs Long FIL narrative sentence (different fable content); same literary/fable register, different specific content -- this FIL target sentence recurs at rows 131/134/135 against different PAM sources, evidence of a shuffled narrative block.
127	1	same_domain_wrong_specific	Fable-register narrative sentence vs different fable-register FIL sentence about turtle symbolism in Japan; same register, wrong specific content.
128	1	same_domain_wrong_specific	Fable-register narrative about a crab vs different FIL fable-register sentence about a crab climbing trees; same register/topic-adjacent, wrong specific content.
129	1	same_domain_wrong_specific	Fable-register narrative (monkey/crab roles) vs unrelated-specific FIL sentence about a beautiful tree; same literary register, wrong specific content.
130	1	same_domain_wrong_specific	Narrative sentence about a plant/tree growing vs FIL sentence describing monkey/crab roles (looks like a shifted match to a different row in this block); same register, wrong specific alignment.
131	1	same_domain_wrong_specific	Fable-register narrative sentence vs the same recurring FIL target seen at rows 126/134/135; same register, wrong specific content, evidence of shuffled block.
132	1	same_domain_wrong_specific	Fable-register narrative sentence vs FIL sentence about monkey/crab roles (also seen at row 130); same register, wrong specific alignment.
133	1	same_domain_wrong_specific	Fable-register narrative about a crab's revenge vs FIL sentence contrasting Philippine and Japanese story traditions; same register, wrong specific content.
134	1	same_domain_wrong_specific	Fable-register narrative sentence vs the same recurring FIL target seen at rows 126/131/135; same register, wrong specific content, evidence of shuffled block.
135	1	same_domain_wrong_specific	Fable-register narrative sentence (turtle characterization) vs FIL sentence about turtle symbolism in Japan (also seen at row 127); same register, wrong specific alignment.
136	1	same_domain_wrong_specific	Fable-register meta-commentary sentence vs FIL sentence about the story's wide circulation in the Philippines; same register, wrong specific content.
137	1	same_domain_wrong_specific	Fable-register dialogue sentence (turtle's reply) vs FIL sentence describing sympathetic characterization of the turtle; same register, related content, wrong specific alignment.
138	0	no_correspondence	Mayalang galang na po=very respectfully now (polite closing) vs Ipagpaumanhin po ninyo ang aking pagkakamali=please forgive my mistake; different speech act.
139	1	same_domain_wrong_specific	Catutula cu pu ing akilala da cayu=delighted to have met you vs Tanggapin po ninyo ang aming taos pusong pasasalamat!=please accept our heartfelt thanks; both polite formulaic expressions, wrong specific.
140	1	same_domain_wrong_specific	Tanggapan ye pu ing kecaming taus pusung pamipasalamat!=please accept our heartfelt thanks vs Magandang araw sa iyo=good day to you; both polite formulaic expressions, wrong specific -- the correct target for this exact source text appears at rows 151/153.
141	0	no_correspondence	Mapaling pamamuge keco ngan (uncertain gloss) vs Ipagpaumanhin po ninyo ang aking pagkakamali=please forgive my mistake; no clear correspondence identified.
142	0	no_correspondence	Maligayang Pascu pu at masaplalang bayung banua=Merry Christmas and prosperous new year vs Ipagpaumanhin po ninyo ang aking pagkakamali=please forgive my mistake; different speech act -- the correct target for this exact source text appears at row 149.
143	1	same_domain_wrong_specific	Maligayang Pascu pu at masaplalang bayung banua=Merry Christmas... vs Tanggapin po ninyo ang aming taos pusong pasasalamat!=please accept our heartfelt thanks; both festive/polite formulaic expressions, wrong specific.
144	1	same_domain_wrong_specific	Mayap naman pu=I'm fine, thank you vs Isang taos pusong pasasalamat!=a heartfelt thank you; both polite formulaic expressions, wrong specific.
145	2	plausible_partial_match	Maligayang puge king kecang kebaitan (occasion-greeting formula) vs Maligayang Pasko po at manigong bagong taon=Merry Christmas and Happy New Year; same "Maligayang X" greeting-formula structure, uncertain exact occasion match.
146	1	same_domain_wrong_specific	Anga keng pasibayung pamiikit (uncertain, possibly condolence-adjacent) vs Tanggapin mo ang aking pakikiramay=accept my condolences; plausibly same domain, low-confidence match.
147	1	same_domain_wrong_specific	Catutula cu pu ing akilala da cayu=delighted to have met you vs Maligayang bati sa iyong pagtatapos=congratulations on your graduation; both polite formulaic expressions, wrong specific.
148	0	no_correspondence	Ipagpaumahin yu pu ing cacung pamagcamali=please forgive my mistake vs Ikinagagalak ko po kayong makilala=pleased to meet you; different speech act.
149	3	correct_translation	Maligayang Pascu at masaplalang bayung banua = Maligayang Pasko po at manigong bagong taon; correct Merry-Christmas-and-prosperous-new-year translation.
150	0	no_correspondence	Tanggapan ye pu ing cacung pamakirame=please accept my condolences vs Maligayang Pasko at manigong bagong taon=Merry Christmas and Happy New Year; opposite tone (condolence vs celebratory), wrong pairing.
151	3	correct_translation	Tanggapan ye pu ing kecaming taus pusung pamipasalamat! = Tanggapin po ninyo ang aming taos pusong pasasalamat!; exact heartfelt-thanks translation.
152	1	same_domain_wrong_specific	Maligayang puge king kecang pamamupus (occasion greeting, possibly graduation) vs Maligayang Pasko po at manigong bagong taon=Merry Christmas; same "Maligayang X" formula, wrong specific occasion.
153	3	correct_translation	Tanggapan ye pu ing kecaming taus pusung pamipasalamat! = Tanggapin po ninyo ang aming taos pusong pasasalamat!; exact heartfelt-thanks translation (duplicate of row 151's correct pairing).
154	1	same_domain_wrong_specific	I Micahel wari ing magcanta, o i James?=is it Michael who sings, or James? vs Gusto mo bang sumama, o hindi?=do you want to come along, or not?; both X-or-Y alternative questions, wrong specific content.
155	3	correct_translation	Mawawala wari ing gamit na? = Nawawala ba ang gamit niya?; matching yes/no question about a lost belonging.
156	0	no_correspondence	Tigtig ya wari i Francisco, o magcanta?=will Francisco play or sing? vs Paano niya nahanap ang gamit ni James?=how did he find James's things?; different question content -- the true match for this FIL target appears to be row 159's source text (see note there).
157	0	no_correspondence	Munta ca wari king Menila, o king Baguiu?=will you go to Manila or Baguio? vs Sinu-sino ang nagdala ng pagkain?=who brought the food?; different question content.
158	0	no_correspondence	Filipinu ya wari I James, o Americanu?=is James Filipino or American? vs Hindi siya kumain, 'no?=he/she didn't eat, right?; different question content.
159	0	no_correspondence	Macananu nang ikit ing gamit nang James?=how did he find James's things? vs Bibili ba siya ng pagkain?=will he/she buy food?; different question content -- this source text is itself the likely correct match for the FIL target seen (wrongly) at rows 156 and 163, evidence of a shifted question block.
160	0	no_correspondence	USER-CORRECTED (2026-08-25): PAM seli=bought (verb, from root sali, not "susi"/key) and lapis=pencil, so the sentence means "Where is the pencil I bought earlier?" -- unrelated to FIL "Nakanino ang susi ng bahay?" (whose house key is it?). Originally mis-scored 2/plausible_partial_match on a misreading of seli as a "key" cognate.
161	0	no_correspondence	Pilang banua na ca?=how many years old are you? vs Tutugtog ba si Francisco?=will Francisco play [music]?; different content.
162	0	no_correspondence	Obat dela de king ospital I Maricel?=why did they bring Maricel to the hospital? vs Kailan magkikita sa bahay sina Ronald?=when will Ronald and the others meet at the house?; different content.
163	0	no_correspondence	I Michael wari ing mengan king mangga?=will Michael eat the mango? vs Paano niya nahanap ang gamit ni James?=how did he find James's things?; different content -- see row 159's note for this FIL target's likely true source.
164	0	no_correspondence	Macananu casakit ing exam yu?=how hard was your exam? vs Mabait ba siya?=is he/she kind?; different content.
165	0	no_correspondence	Nanu ing gagawan ng Michael king bale?=what will Michael do at home? vs Tutugtog ba si Francisco, o kakanta?=will Francisco play or sing?; different content.
166	0	no_correspondence	Bisa ca waring tuke, o ali?=do you want to [verb], or not? vs Tutugtog si Francisco, 'di ba?=Francisco will play, right?; different content.
167	0	no_correspondence	King bale la wari mikit di James?=are James and the others at home? vs Tutugtog si Francisco, 'di ba?=Francisco will play, right?; different content.
168	0	no_correspondence	Nanu ing gagawan ng Michael king bale?=what will Michael do at home? vs Gusto mo bang kumain, o magpahinga?=do you want to eat, or rest?; different content.
169	1	same_domain_wrong_specific	Long historical/patriotic-register sentence vs different historical/patriotic-register FIL sentence; same genre/register, wrong specific content -- part of a block (169-173) with a recurring long PAM source paired against multiple different FIL targets.
170	1	same_domain_wrong_specific	Long historical/patriotic-register sentence vs different historical/patriotic-register FIL sentence; same genre, wrong specific content.
171	1	same_domain_wrong_specific	Same long historical-register PAM source as row 170/173 vs a third different FIL target; same genre, wrong specific content, evidence of a shuffled block.
172	1	same_domain_wrong_specific	Historical/patriotic-register sentence vs FIL sentence resembling row 169's target; same genre, wrong specific content.
173	1	same_domain_wrong_specific	Same long historical-register PAM source as row 170/171 vs a fourth different FIL target; same genre, wrong specific content, evidence of a shuffled block.
174	1	same_domain_wrong_specific	Posible ya pung lala nung e ya maagapan?=could it worsen if untreated? vs Pangalawang beses na siyang inatake sa puso=this is his second heart attack; same medical domain, wrong specific.
175	1	same_domain_wrong_specific	Atin ca waring inumang panulu ngene?=have you taken your medicine? vs Hindi siya makahinga ng ayos=he/she can't breathe properly; same medical domain, wrong specific.
176	1	same_domain_wrong_specific	Macaroc keng calusugan ing sobrang pamaninum alac=excessive drinking harms health vs Hindi po umeepekto ang gamot=the medicine isn't working; same medical domain, wrong specific.
177	1	same_domain_wrong_specific	Atin ca waring cakilala king pamilya mu a ating macanyan mu namang saket?=do you know a relative with the same illness? vs Isang linggo na po akong inuubo=I've been coughing for a week; same medical domain, wrong specific.
178	1	same_domain_wrong_specific	Ala yang ganang mangan=he/she has no appetite vs Nasa dugo niyo ba yung ganyang sakit?=is that illness in your blood?; same medical domain, wrong specific.
179	1	same_domain_wrong_specific	Pilang bulan ne pu ing bingut?=how many months has the cough been? vs May kakilala ka ba sa pamilya mo na may ganyang sakit din?=do you know a relative with that illness?; same medical domain, wrong specific.
180	3	correct_translation	Atin ca waring camaganac a ating capareung saket? = May kakilala ka ba sa pamilya mo na may ganyang sakit din?; matching "do you know a relative with a similar illness" question.
181	1	same_domain_wrong_specific	Magcasakit ya pung macmul (uncertain gloss) vs Inumin mo itong gamot tatlong beses sa isang araw=take this medicine three times a day; same medical-instruction domain, wrong specific.
182	1	same_domain_wrong_specific	Mayap a gatpanapun pu Doctor=good afternoon, Doctor vs May asthma po ako=I have asthma; same medical-visit context, wrong specific (greeting vs statement).
183	0	no_correspondence	Tacpan me ing kailing mata mu at basan ding letra king dingding=cover one eye and read the wall chart (eye exam instruction) vs May kakilala ka ba sa pamilya mo na may ganyang sakit din?=do you know a relative with a similar illness?; different content.
184	0	no_correspondence	Atin ca waring cakilala king pamilya mu a ating macanyan mu namang saket?=do you know a relative with the same illness? vs Di po ako tumataba kahit anong gawin kong kain=I don't gain weight no matter what I eat; different content -- the correct match for this FIL target appears to be row 186's source text.
185	2	plausible_partial_match	Mayap a gatpanapun Doc=good afternoon, Doc vs Magandang gabi ho Dok=good evening, Doc; same greeting-to-doctor formula, wrong time-of-day.
186	1	same_domain_wrong_specific	E cu pu tataba agyang nanung gawan cung mangan=I don't gain weight no matter what I eat vs Wala siyang ganang kumain=he/she has no appetite; same eating/appetite domain, wrong specific -- this source text is the likely correct match for the FIL target seen (wrongly) at row 184.
187	1	same_domain_wrong_specific	Magcasakit cu pung pigilan ing pamani cu (uncertain, possibly breathing-related) vs Ano ba ang mabisang gamot diyan?=what's an effective medicine for that?; same medical domain, wrong specific.
188	0	no_correspondence	Atiu king daya yu wari ing macaniang saket?=is that illness in your bloodline? vs Magandang umaga po Doktor=good morning, Doctor; different speech act.
189	1	same_domain_wrong_specific	Atiu king daya yu wari ing macaniang saket?=is that illness in your bloodline? vs Nahihirapan ka bang huminga?=are you having difficulty breathing?; same medical domain, wrong specific.
190	1	same_domain_wrong_specific	Posible ya pung lala nung e ya maagapan?=could it worsen if untreated? vs Ano po ang gamot sa singaw ng bata?=what's the medicine for the child's mouth sores?; same medical domain, wrong specific.
191	1	same_domain_wrong_specific	Sabian mu nung nucarin masakit=tell me where it hurts vs Gaano katagal na siyang nilalagnat?=how long has he/she had a fever?; same medical Q&A domain, wrong specific.
192	3	correct_translation	Atin ca waring camaganac a ating capareung saket? = May kakilala ka ba sa pamilya mo na may ganyang sakit din?; matching question, same correct pairing as row 180.
193	2	plausible_partial_match	Tucnang na co king pamaninum alac=I've stopped drinking alcohol vs Itigil mo na ang paninigarilyo=stop smoking; same "stop harmful habit" sentence structure/domain, wrong specific habit.
194	0	no_correspondence	Alayu casi i Doctor ngeni=the doctor is far away right now vs Di po ako tumataba kahit anong gawin kong kain=I don't gain weight no matter what I eat; different content.
195	1	same_domain_wrong_specific	Painawa co pa mu king bale king mapilan a aldo=let me rest at home a few more days vs Gaano katagal na siyang nilalagnat?=how long has he/she had a fever?; same medical domain, wrong specific.
196	1	same_domain_wrong_specific	Sentence about a Del Monte Pacific company issue vs FIL sentence about leadership/earnings figures; same business-news domain, wrong specific.
197	1	same_domain_wrong_specific	Reforma king economia migresulta king pamibaba ning utang=economic reform reduced debt vs Patok sa mga dayuhang kapitalista ang kampanya...=foreign investors like the tourism campaign; same economic-news domain, wrong specific.
198	3	correct_translation	Sinabi na namang Aspe a surian no ning agencia ding libru da ding mesabing establisimiento... = Sinabi rin ni Aspe na susuriin ng ahensya ang libro ng naturang mga establisimyento...; matching sentence, near word-for-word correspondence.
199	0	no_correspondence	Sentence about hoped-for infrastructure completion by 2010 vs FIL sentence citing a $493.5M currency figure; different specific content.
200	0	no_correspondence	Gumastus labing atlung bilyong pesus ing gobierno king pamagbie king OPSF=govt spent 13B pesos on OPSF vs Sinabi ni Baterina na matatapos ang proyekto...=Baterina said the project will finish...; different specific content.
201	0	no_correspondence	Sentence about electricity supply help via cigar/Batangas vs FIL sentence about yesterday's currency exchange rate; different specific content.
202	1	same_domain_wrong_specific	Malati yamu ing efecto ning ayun king pambansang economia ning Indonesia=small effect on Indonesia's economy vs Samantalang umabot naman sa 504.5 milyong dolyar...=meanwhile reached $504.5M...; same economic-figures domain, wrong specific.
203	1	same_domain_wrong_specific	Sentence about Congressman Baterina and Malacanang re: project funding vs FIL sentence about BSP dollar remittance costs; same economic-news domain, wrong specific.
204	0	no_correspondence	Minuna neng migpasiag ing mesabing compania...=company announced Subic center relocation, planning China move vs Ayon kay Bunye, ihahayag ni PGMA sa kanyang SONA...=Bunye says PGMA will announce in SONA; different content -- this source text's likely correct match is the FIL target at row 229.
205	1	same_domain_wrong_specific	Sentence about corn-production funding from ADB vs FIL sentence about a rubber plantation in Zamboanga Sibugay; same agriculture-economy domain, wrong specific.
