row_index,mt_id,granularity,source_text,target_text,prompt_family,score,category,note,tier
16,pldmt_4e1e06fac9f5,word,Isku,itong,Iso,0,no_correspondence,Isku (uncertain gloss) vs itong=this; no clear correspondence identified.,D_no_correspondence
17,pldmt_6d5ba007e3a5,word,Casi,Maynila,Iso,0,no_correspondence,"Casi (uncertain gloss) vs Maynila=Manila; no clear correspondence identified, possibly noise.",D_no_correspondence
18,pldmt_d55a5ac20d15,word,Pilanduc,itlog,Iso,0,no_correspondence,Pilanduc=mouse-deer (folklore animal) vs itlog=egg; unrelated.,D_no_correspondence
19,pldmt_615a3a4c3e88,word,Rizal,Soliman,Iso,0,no_correspondence,"Rizal (proper name) vs Soliman (proper name); different historical entities, not a translation pair.",D_no_correspondence
20,pldmt_280a54a4f9dc,word,Cacung,parang,Iso,0,no_correspondence,"Cacung (possessive form, ""mine"") vs parang=field/like; unrelated.",D_no_correspondence
21,pldmt_455f204e771a,word,Cailangan,nagulat,Iso,0,no_correspondence,"Cailangan (resembles Tagalog ""kailangan""=need) vs nagulat=was surprised; unrelated.",D_no_correspondence
22,pldmt_a88dc70e3097,word,Gulisac,dumating,Iso,0,no_correspondence,Gulisac (uncertain gloss) vs dumating=arrived; no clear correspondence identified.,D_no_correspondence
23,pldmt_1455828b1c97,word,Pasibayung,Espanya,Iso,0,no_correspondence,Pasibayung (=renewed/again) vs Espanya=Spain; unrelated; likely shifted from a neighboring row (see row 24).,D_no_correspondence
24,pldmt_d08f052ae505,word,Espana,noong,Iso,0,no_correspondence,"Espana=Spain (source) vs noong=Tagalog past-time marker; unrelated pairing, though source itself is glossed ""Espanya"" one row up (row 23) -- suggests a one-row shift in this stretch.",D_no_correspondence
25,pldmt_51af96bb0ff9,word,Usman,nilang,Iso,0,no_correspondence,Usman (proper name) vs nilang=their; unrelated.,D_no_correspondence
26,pldmt_cea65cb7ed00,word,Meyakit,maraming,Iso,0,no_correspondence,Meyakit=sick/ill vs maraming=many; unrelated.,D_no_correspondence
27,pldmt_1d9946098a26,word,Anggang,minsan,Iso,0,no_correspondence,Anggang=until vs minsan=sometimes/once; unrelated.,D_no_correspondence
28,pldmt_4ce51956f978,word,Pangaratang,tulad,Iso,0,no_correspondence,Pangaratang (uncertain gloss) vs tulad=like/similar; no clear correspondence identified.,D_no_correspondence
29,pldmt_6da7ee4cfbba,word,Niti,dalawa,Iso,0,no_correspondence,Niti=of this vs dalawa=two; unrelated.,D_no_correspondence
30,pldmt_5e555c9ec6ee,word,Pangaratang,Soliman,Iso,0,no_correspondence,Pangaratang (uncertain gloss) vs Soliman (proper name); no clear correspondence identified.,D_no_correspondence
31,pldmt_026b7610fe52,word,Caluguran,bayaw,Iso,1,same_domain_wrong_specific,"Caluguran=friend/beloved vs bayaw=brother-in-law; both relational/kinship terms, wrong specific.",C_same_domain_wrong_specific
32,pldmt_1782e2699f40,phrase,Caca (matuang capatad),diko,Iso,2,plausible_partial_match,"Caca (self-glossed ""older sibling"") vs diko=Filipino term for second-eldest brother; both older-sibling kinship terms, partial specificity mismatch.",B_plausible_partial_match
33,pldmt_dc092e4e5352,phrase,Caca (matuang capatad),madrasta,Iso,1,same_domain_wrong_specific,"Caca=older sibling vs madrasta=stepmother; same kinship domain, wrong specific relation.",C_same_domain_wrong_specific
34,pldmt_27b4e5927969,phrase,Cabit (querida),manugang,Iso,1,same_domain_wrong_specific,"Cabit (self-glossed ""querida""/mistress) vs manugang=child-in-law; same relationship domain, wrong specific.",C_same_domain_wrong_specific
35,pldmt_0fd47868fe95,word,Capusu,pamangkin,Iso,1,same_domain_wrong_specific,"Capusu (uncertain gloss, kinship block) vs pamangkin=niece/nephew; same domain, unverified specific.",C_same_domain_wrong_specific
36,pldmt_8c2c0c9a3b57,phrase,Cabit (querida),balo,Iso,1,same_domain_wrong_specific,"Cabit=mistress vs balo=widow/widower; same relationship-status domain, wrong specific.",C_same_domain_wrong_specific
37,pldmt_d58c0687dd68,phrase,Tegauang lalaki,tiya,Iso,1,same_domain_wrong_specific,"Tegauang lalaki (male in-law term, kinship block) vs tiya=aunt; same domain, gender mismatch.",C_same_domain_wrong_specific
38,pldmt_215a399163a2,word,Capalsintan,kamag-anak,Iso,1,same_domain_wrong_specific,"Capalsintan (uncertain gloss) vs kamag-anak=relative (generic); same kinship domain, unverified specific.",C_same_domain_wrong_specific
39,pldmt_699b26f46f2f,word,Manuyang,katambal,Iso,1,same_domain_wrong_specific,"Manuyang (uncertain gloss) vs katambal=partner/companion; same relational domain, unverified specific.",C_same_domain_wrong_specific
40,pldmt_bc83bc4bcf05,phrase,Siping bale,manugang,Iso,0,no_correspondence,Siping bale=neighbor (next-door) vs manugang=child-in-law; different relation types.,D_no_correspondence
41,pldmt_7b1d4acc784b,word,Cacambal,kasintahan,Iso,1,same_domain_wrong_specific,"Cacambal=twin vs kasintahan=sweetheart; same relationship domain, wrong specific.",C_same_domain_wrong_specific
42,pldmt_8426d5b71155,phrase,kabud (adv. immediately) -- kabud (adj. only),bakas-bakás (financial partnership-footprint),Iso,NA,dictionary_gloss_pair,"Homonym/homograph illustration entry (two senses of ""kabud"" defined), not a sentence/phrase translation; target is an unrelated Filipino homonym pair.",E_dictionary_gloss_not_a_pair
43,pldmt_ec5cc8149385,phrase,pati (n. ganta) -- pati (prep. including),hapò-hapô (weariness-weary),Iso,NA,dictionary_gloss_pair,"Homonym illustration entry (""pati""), not a translation pair.",E_dictionary_gloss_not_a_pair
44,pldmt_013080463d37,phrase,palac (n. residue) -- palac (adj. much greater),dala-dalá-dalâ (net-take-taught by experience),Iso,NA,dictionary_gloss_pair,"Homonym illustration entry (""palac""), not a translation pair.",E_dictionary_gloss_not_a_pair
45,pldmt_44907440618c,phrase,"sepu (v. caught) -- sepu (adj. end, extremity)",kaka-kakâ (uncle/aunt-elder sister/brother),Iso,NA,dictionary_gloss_pair,"Homonym illustration entry (""sepu""), not a translation pair.",E_dictionary_gloss_not_a_pair
46,pldmt_c0c4c330b4b7,phrase,kabud (adv. immediately) -- kabud (adj. only),bulo-bulô (hairs (of fruits)-young carabao),Iso,NA,dictionary_gloss_pair,"Homonym illustration entry (""kabud""), not a translation pair.",E_dictionary_gloss_not_a_pair
47,pldmt_6f4bd178257a,phrase,baldug (v. fall) -- baldug (v. translate),sukat-sukát (measurement-measured),Iso,NA,dictionary_gloss_pair,"Homonym illustration entry (""baldug""), not a translation pair.",E_dictionary_gloss_not_a_pair
48,pldmt_d190dbd689ff,phrase,masakit (adj. difficult) -- masakit (adj. painful),nahuli-nahulí (was caught-arrived late),Iso,NA,dictionary_gloss_pair,"Homonym illustration entry (""masakit""), not a translation pair.",E_dictionary_gloss_not_a_pair
49,pldmt_50049d5436f1,phrase,piling (v. shake the head to say no) -- piling (n. bunch of bananas),pasò-pasô (scald/burn-flower pot),Iso,NA,dictionary_gloss_pair,"Homonym illustration entry (""piling""), not a translation pair.",E_dictionary_gloss_not_a_pair
50,pldmt_75b51b0c7d91,phrase,piling (v. shake the head to say no) -- piling (n. bunch of bananas),agáwan-agawán (to take by force-struggle),Iso,NA,dictionary_gloss_pair,"Homonym illustration entry (""piling""), not a translation pair.",E_dictionary_gloss_not_a_pair
51,pldmt_66f6d7e48d7f,phrase,Calabing apat,ikatatlumpu't pitong,Iso,0,no_correspondence,Calabing apat=14 (cardinal) vs ikatatlumpu't pitong=37th (ordinal); different values/forms.,D_no_correspondence
52,pldmt_72d020b95763,phrase,Caduampulu't apat,ikadalawampu't walong,Iso,0,no_correspondence,Caduampulu't apat=24 vs ikadalawampu't walong=28th; different values.,D_no_correspondence
53,pldmt_c0fbf6f508a6,phrase,Calabingpitu,ikadalawampu't pitong,Iso,0,no_correspondence,Calabingpitu=17 vs ikadalawampu't pitong=27th; different values.,D_no_correspondence
54,pldmt_2d1b9db84062,phrase,Catlumpulu't atlu,ikadalawampu't pitong,Iso,0,no_correspondence,Catlumpulu't atlu=33 vs ikadalawampu't pitong=27th; different values.,D_no_correspondence
55,pldmt_4cfdb6b8d5f7,phrase,Cawalumpulung,ikadalawampu't tatlo,Iso,0,no_correspondence,Cawalumpulung=~80 vs ikadalawampu't tatlo=23rd; different values.,D_no_correspondence
56,pldmt_81e47f0bcfba,phrase,Calabing metung,ikadalawampu't isang,Iso,0,no_correspondence,Calabing metung=11 vs ikadalawampu't isang=21st; different values.,D_no_correspondence
57,pldmt_d9cd2786908e,phrase,Caduampulu't pitung,ikadalawampu't tatlo,Iso,0,no_correspondence,Caduampulu't pitung=27 vs ikadalawampu't tatlo=23rd; different values.,D_no_correspondence
58,pldmt_09ab6afe2ed2,phrase,cadinalang,ikadalawampu't siyam,Iso,1,same_domain_wrong_specific,"cadinalang (uncertain, possibly garbled ""29"") vs ikadalawampu't siyam=29th; numeric domain, cardinal/ordinal form mismatch and uncertain source parse.",C_same_domain_wrong_specific
59,pldmt_1c23615a12e2,phrase,Catlumpulu't metung,ikatatlumpu't walong,Iso,0,no_correspondence,Catlumpulu't metung=31 vs ikatatlumpu't walong=38th; different values.,D_no_correspondence
60,pldmt_aae93cbfa36a,phrase,Catlumpulu't aduang,ikalawa,Iso,0,no_correspondence,Catlumpulu't aduang=32 vs ikalawa=2nd; different order of magnitude.,D_no_correspondence
61,pldmt_8203ca61f1f7,phrase,Catlumpulu't apat,ikadalawampu't walong,Iso,0,no_correspondence,Catlumpulu't apat=34 vs ikadalawampu't walong=28th; different values.,D_no_correspondence
62,pldmt_6fccfe1ef2a3,phrase,Caduampulu't atlu,ikatatlumpu't limang,Iso,0,no_correspondence,Caduampulu't atlu=23 vs ikatatlumpu't limang=35th; different values.,D_no_correspondence
63,pldmt_e31f95bb4c9f,word,Salucuiang,labinlimang,Iso,0,no_correspondence,"Salucuiang (time word, ""current"") vs labinlimang=15 (cardinal); domain mismatch (time-word vs number).",D_no_correspondence
64,pldmt_b6eb6a46f56b,word,nandin,Miyerkules,Iso,1,same_domain_wrong_specific,"nandin=earlier/just now vs Miyerkules=Wednesday; same time domain, wrong specific.",C_same_domain_wrong_specific
65,pldmt_7a133466b78a,word,cabang,dapithapon,Iso,1,same_domain_wrong_specific,"cabang=while/during vs dapithapon=late afternoon; same time domain, wrong specific.",C_same_domain_wrong_specific
66,pldmt_146d71d62725,word,Salucuiang,kinagabihan,Iso,1,same_domain_wrong_specific,"Salucuiang=current vs kinagabihan=that evening; same time domain, wrong specific.",C_same_domain_wrong_specific
67,pldmt_36da5b37f970,word,Salucuian,kasalukuyang,Iso,3,correct_translation,"Salucuian and kasalukuyang are the same cognate root meaning ""current/present"" in both languages.",A_correct_translation
68,pldmt_40b25135078d,phrase,potang bagia,dapit-tanghali,Iso,0,no_correspondence,potang bagia (uncertain gloss) vs dapit-tanghali=near noon; no clear correspondence identified.,D_no_correspondence
69,pldmt_cbf867983f28,word,capilanman,pagkatapos,Iso,1,same_domain_wrong_specific,"capilanman=ever/never vs pagkatapos=afterward; same time domain, wrong specific.",C_same_domain_wrong_specific
70,pldmt_77144c263409,word,panaun,kasalukuyang,Iso,1,same_domain_wrong_specific,"panaun=time/season/weather vs kasalukuyang=current; same time domain, wrong specific.",C_same_domain_wrong_specific
71,pldmt_cbdba8176746,phrase,anggang capilanman,bágo,Iso,1,same_domain_wrong_specific,"anggang capilanman=forever vs bago=before/new; same time domain, wrong specific.",C_same_domain_wrong_specific
72,pldmt_54057f379da0,phrase,anggang capilanman,segusegundo,Iso,1,same_domain_wrong_specific,"anggang capilanman=forever vs segusegundo=every second; same time domain, wrong specific.",C_same_domain_wrong_specific
73,pldmt_4793a170cb0a,phrase,anggang capilanman,mamaya,Iso,1,same_domain_wrong_specific,"anggang capilanman=forever vs mamaya=later; same time domain, wrong specific.",C_same_domain_wrong_specific
74,pldmt_1664d06e1663,word,capilanman,bágo,Iso,1,same_domain_wrong_specific,"capilanman=whenever/never vs bago=before/new; same time domain, wrong specific.",C_same_domain_wrong_specific
75,pldmt_298589971952,phrase,ganing aldo,kamakatlo,Iso,1,same_domain_wrong_specific,"ganing aldo=whole day vs kamakatlo=three days ago; same time domain, wrong specific.",C_same_domain_wrong_specific
76,pldmt_a43871bdc383,phrase,anggang capilanman,kalahati,Iso,0,no_correspondence,anggang capilanman=forever vs kalahati=half; time vs quantity domain mismatch.,D_no_correspondence
77,pldmt_1a972aa6cd7a,word,panaun,mamaya,Iso,1,same_domain_wrong_specific,"panaun=time vs mamaya=later; same time domain, wrong specific.",C_same_domain_wrong_specific
78,pldmt_f677eb71dc3e,word,Meyari,dati,Iso,1,same_domain_wrong_specific,"Meyari=finished/done vs dati=used to/before; loosely related past-reference domain, wrong specific.",C_same_domain_wrong_specific
79,pldmt_fd83ca885229,word,capilanman,dapit-umaga,Iso,1,same_domain_wrong_specific,"capilanman=whenever vs dapit-umaga=near dawn; same time domain, wrong specific.",C_same_domain_wrong_specific
80,pldmt_bc294df433eb,phrase,ganing aldo,minuminuto,Iso,1,same_domain_wrong_specific,"ganing aldo=whole day vs minuminuto=minute by minute; same time-increment domain, wrong specific.",C_same_domain_wrong_specific
81,pldmt_033a71cc2dc6,word,Salucuian,ngayong,Iso,2,plausible_partial_match,Salucuian=current and ngayong=now are close synonyms in the time domain.,B_plausible_partial_match
82,pldmt_497a033df9f4,word,Salucuian,Miyerkules,Iso,1,same_domain_wrong_specific,"Salucuian=current vs Miyerkules=Wednesday; same time domain, wrong specific.",C_same_domain_wrong_specific
83,pldmt_83da3d008f23,phrase,linabas a,kinagabihan,Iso,1,same_domain_wrong_specific,"linabas a=went out/past marker vs kinagabihan=that evening; loosely time-related, wrong specific.",C_same_domain_wrong_specific
84,pldmt_16a7a2bdfcd2,phrase,Madalumdum,El Nino,Iso,1,same_domain_wrong_specific,"Madalumdum=gloomy/overcast vs El Nino=drought-associated climate phenomenon; same weather domain, opposite specific connotation.",C_same_domain_wrong_specific
85,pldmt_470fc42f0b06,word,Banua,taglagas,Iso,1,same_domain_wrong_specific,"Banua=year vs taglagas=autumn/fall season; same time domain, wrong specific.",C_same_domain_wrong_specific
86,pldmt_35d75b6f2aa6,phrase,Tagsibul,biglaang pagbaha,Iso,1,same_domain_wrong_specific,"Tagsibul=spring season vs biglaang pagbaha=sudden flooding; same weather/season domain, wrong specific.",C_same_domain_wrong_specific
87,pldmt_5dbd7999b1e1,word,Panaun,maalinsángan,Iso,1,same_domain_wrong_specific,"Panaun=time/weather vs maalinsangan=humid/sultry; same weather domain, wrong specific.",C_same_domain_wrong_specific
88,pldmt_347b2982770a,word,Maialiualas,makulimlim,Iso,1,same_domain_wrong_specific,"Maialiualas (uncertain gloss) vs makulimlim=overcast/cloudy; weather-adjective domain, unverified specific.",C_same_domain_wrong_specific
89,pldmt_7f121a8aff52,phrase,Bugsu ning angin,halumigmig,Iso,1,same_domain_wrong_specific,"Bugsu ning angin=gust of wind vs halumigmig=humidity; same weather domain, wrong specific -- the correct target for this exact source text appears at row 91.",C_same_domain_wrong_specific
90,pldmt_1b1b214d5204,phrase,Maialumigmig,biglaang pagbaha,Iso,1,same_domain_wrong_specific,"Maialumigmig=humid vs biglaang pagbaha=sudden flooding; same weather domain, wrong specific -- this source's likely correct target (halumigmig) appears at row 89, evidence the 89/90/91/92 block is shifted by one position.",C_same_domain_wrong_specific
91,pldmt_b77992c7e0c7,phrase,Bugsu ning angin,bugso ng hangin,Iso,3,correct_translation,Bugsu ning angin = bugso ng hangin; exact gust-of-wind translation.,A_correct_translation
92,pldmt_c337aa78f132,phrase,Maialumigmig,bugso ng hangin,Iso,1,same_domain_wrong_specific,"Maialumigmig=humid vs bugso ng hangin=gust of wind; same weather domain, wrong specific.",C_same_domain_wrong_specific
93,pldmt_7c61d50042d8,sentence,Mayap a bengi pu kecayu.,Maraming salamat.,Utt,1,same_domain_wrong_specific,"Mayap a bengi pu kecayu=good evening to you vs Maraming salamat=thank you; both polite formulaic expressions, wrong specific.",C_same_domain_wrong_specific
94,pldmt_e5d908dc32e6,sentence,Nucarin cayu pu macatucnang?,Maligayang bati po sa inyo.,Utt,0,no_correspondence,Nucarin cayu pu macatucnang?=where do you live? vs Maligayang bati po sa inyo=congratulations to you; different speech act.,D_no_correspondence
95,pldmt_ca197f89b141,sentence,Nucarin cayu hu macatucnang?,Maligayang kaarawan po sa inyo.,Utt,0,no_correspondence,Nucarin cayu hu macatucnang?=where do you live? vs Maligayang kaarawan po sa inyo=happy birthday to you; different speech act.,D_no_correspondence
96,pldmt_90cda28253e2,phrase,Pacencia na pu kecayu.,Gusto niyo pong kumain?,Utt,0,no_correspondence,Pacencia na pu kecayu=please excuse me vs Gusto niyo pong kumain?=would you like to eat?; different speech act.,D_no_correspondence
97,pldmt_30ddbe883b59,sentence,Mayap a gatpanapun pu kecayu.,Ano hong pangalan ninyo?,Utt,0,no_correspondence,Mayap a gatpanapun pu kecayu=good afternoon to you vs Ano hong pangalan ninyo?=what is your name?; different speech act.,D_no_correspondence
98,pldmt_915656457f7b,phrase,Maligayang bati pu.,Wala pong anuman.,Utt,1,same_domain_wrong_specific,"Maligayang bati pu=congratulations vs Wala pong anuman=you're welcome; both polite formulaic expressions, wrong specific.",C_same_domain_wrong_specific
99,pldmt_c0a6319de854,sentence,Nucarin ya pu ing terminal ning bus?,Ilang taon na ho kayo?,Utt,0,no_correspondence,Nucarin ya pu ing terminal ning bus?=where is the bus terminal? vs Ilang taon na ho kayo?=how old are you?; different question content.,D_no_correspondence
100,pldmt_8f99957e4a6c,sentence,Mayap a bengi hu kecayu.,Magandang umaga po sa inyo.,Utt,2,plausible_partial_match,"Mayap a bengi hu kecayu=good evening to you vs Magandang umaga po sa inyo=good morning to you; same greeting formula, wrong time-of-day.",B_plausible_partial_match
101,pldmt_b4cb23f2cbf8,sentence,Mayap a abac pu kecayu.,Maligayang bati ho sa inyo.,Utt,1,same_domain_wrong_specific,"Mayap a abac pu kecayu=good morning to you vs Maligayang bati ho sa inyo=congratulations to you; both greetings, wrong specific.",C_same_domain_wrong_specific
102,pldmt_cec0f18a7668,sentence,E na co hu mangabala.,Maligayang kaarawan ho sa inyo.,Utt,0,no_correspondence,E na co hu mangabala=I won't bother you further vs Maligayang kaarawan ho sa inyo=happy birthday to you; different speech act.,D_no_correspondence
103,pldmt_cfa0b1f12439,sentence,Pilang na co pung banua?,Maligayang bati ho sa inyo.,Utt,0,no_correspondence,Pilang na co pung banua?=how many years [old]? vs Maligayang bati ho sa inyo=congratulations to you; different speech act.,D_no_correspondence
104,pldmt_a8364c94d910,sentence,Maligayang kebaitan hu kecayu.,Magkita na lang po tayo sa susunod.,Utt,0,no_correspondence,Maligayang kebaitan hu kecayu (uncertain occasion greeting) vs Magkita na lang po tayo sa susunod=see you next time; different speech act.,D_no_correspondence
105,pldmt_416c18aa4058,sentence,Bibilugan mucu yata?,Magandang umaga po sa inyo.,Utt,0,no_correspondence,Bibilugan mucu yata? (uncertain gloss) vs Magandang umaga po sa inyo=good morning to you; no clear correspondence identified.,D_no_correspondence
106,pldmt_8961d97f9f23,sentence,Nucarin ya hu ing terminal ning bus?,Marami ka bang gagawin?,Utt,0,no_correspondence,Nucarin ya hu ing terminal ning bus?=where is the bus terminal? vs Marami ka bang gagawin?=do you have a lot to do?; different question content.,D_no_correspondence
107,pldmt_045392a08c51,phrase,Maligayang kebaitan pu.,Maraming salamat po.,Utt,1,same_domain_wrong_specific,"Maligayang kebaitan pu (greeting formula) vs Maraming salamat po=thank you; both polite formulaic expressions, wrong specific.",C_same_domain_wrong_specific
108,pldmt_2f9023ea7fc9,phrase,Nanung pamangan tamu ngeni?,Maligayang bati po.,Utt,0,no_correspondence,Nanung pamangan tamu ngeni?=what shall we eat now? vs Maligayang bati po=congratulations; different speech act.,D_no_correspondence
109,pldmt_afabeed64d19,phrase,Calugurang caluguran daca.,Saan po kayo nakatira?,Utt,0,no_correspondence,Calugurang caluguran daca=term of endearment vs Saan po kayo nakatira?=where do you live?; different speech act.,D_no_correspondence
110,pldmt_dab7f3e78c50,sentence,Bibilugan mucu yata?,Magkita na lang po tayo sa susunod.,Utt,0,no_correspondence,Bibilugan mucu yata? (uncertain gloss) vs Magkita na lang po tayo sa susunod=see you next time; no clear correspondence identified.,D_no_correspondence
111,pldmt_3e1554828bcf,sentence,Linisan ing silid-pagaralan.,Itaas lang ang kamay 'wag nang magsabi ng Ma'am.,Utt,1,same_domain_wrong_specific,"Linisan ing silid-pagaralan=clean the classroom vs Itaas lang ang kamay...=just raise your hand...; both classroom-instruction domain, wrong specific.",C_same_domain_wrong_specific
112,pldmt_62256110e2a9,phrase,Agnan-agnan alang mumuna.,Tumahimik at makinig.,Utt,1,same_domain_wrong_specific,"Agnan-agnan alang mumuna (uncertain, classroom-order instruction) vs Tumahimik at makinig=be quiet and listen; same classroom-instruction domain.",C_same_domain_wrong_specific
113,pldmt_3d74d1f77885,sentence,Buclat ya ing aclat king pagina catlu.,Sino'ng hindi naintindihan?,Utt,1,same_domain_wrong_specific,"Buclat ya ing aclat king pagina catlu=open the book to page three vs Sino'ng hindi naintindihan?=who didn't understand?; same classroom domain, wrong specific.",C_same_domain_wrong_specific
114,pldmt_5fb04dc8559e,phrase,Dalan ya king opisina.,magpasa ng tahimik,Utt,0,no_correspondence,Dalan ya king opisina=he/she went to the office vs magpasa ng tahimik=submit quietly; different content.,D_no_correspondence
115,pldmt_545d9598c230,sentence,Mengan na cayu wari?,Lagyan ng cover ang aklat.,Utt,0,no_correspondence,Mengan na cayu wari?=have you all eaten? vs Lagyan ng cover ang aklat=cover the book; different content.,D_no_correspondence
116,pldmt_6e245c93594b,sentence,Iwasang makisabi king casiping.,Sino ang tutulong sa kanya para maiwasto ang sagot.,Utt,1,same_domain_wrong_specific,"Iwasang makisabi king casiping=avoid talking to your seatmate vs Sino ang tutulong sa kanya...=who will help him/her...; same classroom domain, wrong specific.",C_same_domain_wrong_specific
117,pldmt_96deffb8d5f4,sentence,Bilisan ing pamangan.,Tingnan ko nga kung sino ang mabait?,Utt,1,same_domain_wrong_specific,"Bilisan ing pamangan=hurry up eating vs Tingnan ko nga kung sino ang mabait?=let's see who is well-behaved; same classroom domain, wrong specific.",C_same_domain_wrong_specific
118,pldmt_f40c8a85fc24,sentence,Pakibatang tahimic ding cutang king pakibatang papil.,Sino ang dito kakain?,Utt,1,same_domain_wrong_specific,"Pakibatang tahimic ding cutang...=classroom crafts instruction vs Sino ang dito kakain?=who will eat here?; same classroom domain, wrong specific.",C_same_domain_wrong_specific
119,pldmt_c300a5e9851c,sentence,Makiramdam.,Sabihin sa nanay na may meeting.,Utt,0,no_correspondence,Makiramdam=pay attention/sense the mood vs Sabihin sa nanay na may meeting=tell mom there's a meeting; different content.,D_no_correspondence
120,pldmt_1da145b8e874,sentence,Cumang metung a mabilug a papil dinan yeng lagiu,Magpuputol ng kuko sa nanay kapag mahaba na ang mga kuko.,Utt,0,no_correspondence,Cumang metung a mabilug a papil...=classroom craft instruction vs Magpuputol ng kuko sa nanay...=will cut mom's nails; different content.,D_no_correspondence
121,pldmt_1c54db60932a,phrase,Dalan ya king opisina.,Sabay-sabay walang mauuna.,Utt,0,no_correspondence,"Dalan ya king opisina=he/she went to the office vs Sabay-sabay walang mauuna=all together, none goes first; different content.",D_no_correspondence
122,pldmt_98bd8b37748a,sentence,E co pupulayi king kilub ning cuarto.,Huwag palaging tasa ng tasa,Utt,1,same_domain_wrong_specific,"E co pupulayi king kilub ning cuarto=I won't run around in the room vs Huwag palaging tasa ng tasa (unclear FIL) vs same behavior-instruction domain, wrong specific.",C_same_domain_wrong_specific
123,pldmt_edf84bcda20f,sentence,E yu ulitan ing pamanyulud ning imalan yu.,Naiintindihan ba mga bata?,Utt,0,no_correspondence,E yu ulitan ing pamanyulud ning imalan yu=don't repeat wearing your clothes [wrong side] vs Naiintindihan ba mga bata?=do the children understand?; different content.,D_no_correspondence
124,pldmt_8f1166f074c7,sentence,"Lumacad mu, e pupulayi.",ilagay sa tamang lagayan ang basura,Utt,1,same_domain_wrong_specific,"Lumacad mu, e pupulayi=walk, don't run vs ilagay sa tamang lagayan ang basura=put garbage in its place; same classroom/behavior-instruction domain, wrong specific.",C_same_domain_wrong_specific
125,pldmt_af60689185a3,phrase,Magsane mamasa at mamilang.,Umupo ng maayos.,Utt,1,same_domain_wrong_specific,"Magsane mamasa at mamilang=practice reading and counting vs Umupo ng maayos=sit properly; same classroom-instruction domain, wrong specific.",C_same_domain_wrong_specific
