mt_id,granularity,source_lang,target_lang,source_text,target_text,prompt_family,source_name_normalized,prompt_ordinal,source_recorded_speakers,target_recorded_speakers,quality_tier,source_name,source_archive,dataset_role,validation_status
pldmt_ec5cc8149385,phrase,pam,fil,pati (n. ganta) -- pati (prep. including),hapò-hapô (weariness-weary),Iso,Iso_MinPairs.txt,2,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_013080463d37,phrase,pam,fil,palac (n. residue) -- palac (adj. much greater),dala-dalá-dalâ (net-take-taught by experience),Iso,Iso_MinPairs.txt,3,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_44907440618c,phrase,pam,fil,"sepu (v. caught) -- sepu (adj. end, extremity)",kaka-kakâ (uncle/aunt-elder sister/brother),Iso,Iso_MinPairs.txt,4,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_c0c4c330b4b7,phrase,pam,fil,kabud (adv. immediately) -- kabud (adj. only),bulo-bulô (hairs (of fruits)-young carabao),Iso,Iso_MinPairs.txt,5,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_6f4bd178257a,phrase,pam,fil,baldug (v. fall) -- baldug (v. translate),sukat-sukát (measurement-measured),Iso,Iso_MinPairs.txt,6,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_d190dbd689ff,phrase,pam,fil,masakit (adj. difficult) -- masakit (adj. painful),nahuli-nahulí (was caught-arrived late),Iso,Iso_MinPairs.txt,7,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_50049d5436f1,phrase,pam,fil,piling (v. shake the head to say no) -- piling (n. bunch of bananas),pasò-pasô (scald/burn-flower pot),Iso,Iso_MinPairs.txt,8,69,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_75b51b0c7d91,phrase,pam,fil,piling (v. shake the head to say no) -- piling (n. bunch of bananas),agáwan-agawán (to take by force-struggle),Iso,Iso_MinPairs.txt,9,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_66f6d7e48d7f,phrase,pam,fil,Calabing apat,ikatatlumpu't pitong,Iso,Iso_Ordinal.txt,1,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_72d020b95763,phrase,pam,fil,Caduampulu't apat,ikadalawampu't walong,Iso,Iso_Ordinal.txt,2,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_c0fbf6f508a6,phrase,pam,fil,Calabingpitu,ikadalawampu't pitong,Iso,Iso_Ordinal.txt,3,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_2d1b9db84062,phrase,pam,fil,Catlumpulu't atlu,ikadalawampu't pitong,Iso,Iso_Ordinal.txt,4,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_4cfdb6b8d5f7,phrase,pam,fil,Cawalumpulung,ikadalawampu't tatlo,Iso,Iso_Ordinal.txt,5,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_81e47f0bcfba,phrase,pam,fil,Calabing metung,ikadalawampu't isang,Iso,Iso_Ordinal.txt,6,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_d9cd2786908e,phrase,pam,fil,Caduampulu't pitung,ikadalawampu't tatlo,Iso,Iso_Ordinal.txt,7,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_09ab6afe2ed2,phrase,pam,fil,cadinalang,ikadalawampu't siyam,Iso,Iso_Ordinal.txt,8,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_1c23615a12e2,phrase,pam,fil,Catlumpulu't metung,ikatatlumpu't walong,Iso,Iso_Ordinal.txt,9,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_aae93cbfa36a,phrase,pam,fil,Catlumpulu't aduang,ikalawa,Iso,Iso_Ordinal.txt,10,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_8203ca61f1f7,phrase,pam,fil,Catlumpulu't apat,ikadalawampu't walong,Iso,Iso_Ordinal.txt,11,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_6fccfe1ef2a3,phrase,pam,fil,Caduampulu't atlu,ikatatlumpu't limang,Iso,Iso_Ordinal.txt,12,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_e31f95bb4c9f,word,pam,fil,Salucuiang,labinlimang,Iso,Iso_Time.txt,1,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_b6eb6a46f56b,word,pam,fil,nandin,Miyerkules,Iso,Iso_Time.txt,2,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_7a133466b78a,word,pam,fil,cabang,dapithapon,Iso,Iso_Time.txt,3,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_146d71d62725,word,pam,fil,Salucuiang,kinagabihan,Iso,Iso_Time.txt,4,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_36da5b37f970,word,pam,fil,Salucuian,kasalukuyang,Iso,Iso_Time.txt,5,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_40b25135078d,phrase,pam,fil,potang bagia,dapit-tanghali,Iso,Iso_Time.txt,6,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_cbf867983f28,word,pam,fil,capilanman,pagkatapos,Iso,Iso_Time.txt,7,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_77144c263409,word,pam,fil,panaun,kasalukuyang,Iso,Iso_Time.txt,8,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_cbdba8176746,phrase,pam,fil,anggang capilanman,bágo,Iso,Iso_Time.txt,9,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_54057f379da0,phrase,pam,fil,anggang capilanman,segusegundo,Iso,Iso_Time.txt,10,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_4793a170cb0a,phrase,pam,fil,anggang capilanman,mamaya,Iso,Iso_Time.txt,11,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_1664d06e1663,word,pam,fil,capilanman,bágo,Iso,Iso_Time.txt,12,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_298589971952,phrase,pam,fil,ganing aldo,kamakatlo,Iso,Iso_Time.txt,13,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_a43871bdc383,phrase,pam,fil,anggang capilanman,kalahati,Iso,Iso_Time.txt,14,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_1a972aa6cd7a,word,pam,fil,panaun,mamaya,Iso,Iso_Time.txt,15,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_f677eb71dc3e,word,pam,fil,Meyari,dati,Iso,Iso_Time.txt,16,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_fd83ca885229,word,pam,fil,capilanman,dapit-umaga,Iso,Iso_Time.txt,17,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_bc294df433eb,phrase,pam,fil,ganing aldo,minuminuto,Iso,Iso_Time.txt,18,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_033a71cc2dc6,word,pam,fil,Salucuian,ngayong,Iso,Iso_Time.txt,19,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_497a033df9f4,word,pam,fil,Salucuian,Miyerkules,Iso,Iso_Time.txt,20,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_83da3d008f23,phrase,pam,fil,linabas a,kinagabihan,Iso,Iso_Time.txt,21,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_16a7a2bdfcd2,phrase,pam,fil,Madalumdum,El Nino,Iso,Iso_Weather.txt,1,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_470fc42f0b06,word,pam,fil,Banua,taglagas,Iso,Iso_Weather.txt,2,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_35d75b6f2aa6,phrase,pam,fil,Tagsibul,biglaang pagbaha,Iso,Iso_Weather.txt,3,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_5dbd7999b1e1,word,pam,fil,Panaun,maalinsángan,Iso,Iso_Weather.txt,4,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_347b2982770a,word,pam,fil,Maialiualas,makulimlim,Iso,Iso_Weather.txt,5,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_7f121a8aff52,phrase,pam,fil,Bugsu ning angin,halumigmig,Iso,Iso_Weather.txt,6,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_1b1b214d5204,phrase,pam,fil,Maialumigmig,biglaang pagbaha,Iso,Iso_Weather.txt,7,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_b77992c7e0c7,phrase,pam,fil,Bugsu ning angin,bugso ng hangin,Iso,Iso_Weather.txt,8,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_c337aa78f132,phrase,pam,fil,Maialumigmig,bugso ng hangin,Iso,Iso_Weather.txt,9,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_7c61d50042d8,sentence,pam,fil,Mayap a bengi pu kecayu.,Maraming salamat.,Utt,Utt_CommonExpressions.txt,1,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_e5d908dc32e6,sentence,pam,fil,Nucarin cayu pu macatucnang?,Maligayang bati po sa inyo.,Utt,Utt_CommonExpressions.txt,2,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_ca197f89b141,sentence,pam,fil,Nucarin cayu hu macatucnang?,Maligayang kaarawan po sa inyo.,Utt,Utt_CommonExpressions.txt,3,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_90cda28253e2,phrase,pam,fil,Pacencia na pu kecayu.,Gusto niyo pong kumain?,Utt,Utt_CommonExpressions.txt,4,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_30ddbe883b59,sentence,pam,fil,Mayap a gatpanapun pu kecayu.,Ano hong pangalan ninyo?,Utt,Utt_CommonExpressions.txt,5,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_915656457f7b,phrase,pam,fil,Maligayang bati pu.,Wala pong anuman.,Utt,Utt_CommonExpressions.txt,6,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_c0a6319de854,sentence,pam,fil,Nucarin ya pu ing terminal ning bus?,Ilang taon na ho kayo?,Utt,Utt_CommonExpressions.txt,7,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_8f99957e4a6c,sentence,pam,fil,Mayap a bengi hu kecayu.,Magandang umaga po sa inyo.,Utt,Utt_CommonExpressions.txt,8,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_b4cb23f2cbf8,sentence,pam,fil,Mayap a abac pu kecayu.,Maligayang bati ho sa inyo.,Utt,Utt_CommonExpressions.txt,9,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_cec0f18a7668,sentence,pam,fil,E na co hu mangabala.,Maligayang kaarawan ho sa inyo.,Utt,Utt_CommonExpressions.txt,10,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_cfa0b1f12439,sentence,pam,fil,Pilang na co pung banua?,Maligayang bati ho sa inyo.,Utt,Utt_CommonExpressions.txt,11,70,109,high,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
