unit,pam_text,fil_text,emb_cosine,token_jaccard,char3_cosine,length_ratio,mutual_best,blended_score,reviewer_verdict,reviewer_notes
Utt_Greetings.txt,Maligayang Pascu.,Maligayang Pasko.,0.9207,0.3333,0.7647,1.0,True,0.8456,Accept,Verified via dictionary alignment & score
Iso_Ordinal.txt,Catlumpulu't limang,ikatatlumpu't limang,0.8684,0.5,0.7182,1.0,True,0.8429,Accept,Verified via dictionary alignment & score
Utt_Educ.txt,Bayaran ing utang.,Bayaran ang utang,0.8267,0.5,0.7912,1.0,True,0.8251,Accept,Verified via dictionary alignment & score
Utt_News.txt,Mitas na naman ing precio ning LPG,Tumaas na naman ang presyo ng LPG,0.9239,0.2727,0.5806,1.0,True,0.8169,Accept,Verified via dictionary alignment & score
Utt_News.txt,Seventy six point eight percent ding Pinoy ding pacacalulu,Seventy-six point eight percent ng Pinoy ang mahirap,0.8253,0.5455,0.6667,0.8889,True,0.8098,Accept,Verified via dictionary alignment & score
Utt_News.txt,Ing pamakilaban contra terorismo,Ang paglaban kontra terorismo,0.9315,0.1429,0.6894,1.0,True,0.8064,Accept,Verified via dictionary alignment & score
Utt_Educ.txt,Culayan yang malinis.,Kulayan nang malinis.,0.8926,0.2,0.7807,1.0,True,0.8036,Accept,Verified via dictionary alignment & score
Utt_News.txt,"Moody’s, mababahala ya king utang ning NAPOCOR","Moody's, nababahala sa utang ng NAPOCOR",0.8818,0.3636,0.66,0.8571,True,0.8035,Accept,Verified via dictionary alignment & score
Utt_News.txt,Pinalu ketang Enero ing produccion ning furnitures atbp.,Humataw nung Enero ang produksyon ng furnitures atbp.,0.9095,0.2308,0.6155,1.0,True,0.8034,Accept,Verified via dictionary alignment & score
Utt_Medical.txt,Nucarin masakit?,Saan masakit?,0.8692,0.3333,0.624,1.0,True,0.8006,Accept,Verified via dictionary alignment & score
Utt_News.txt,Seli ne ning Petron ing Caltex LPG,Binili ng Petron ang Caltex LPG,0.8863,0.3,0.6778,0.8571,True,0.7953,Accept,Verified via dictionary alignment & score
Utt_News.txt,Papatupad da ne ing programang Tele-OFW,Ipinapatupad na ang programang Tele-OFW,0.8822,0.3,0.7201,0.8333,True,0.7946,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,Mawawala wari ing gamit nang Ronald?,Nawawala ba ang gamit ni Ronald?,0.8875,0.2,0.6776,1.0,True,0.7903,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,"Filipinu ya I James, o Americanu?","Pilipino si James, o Amerikano?",0.9182,0.2222,0.5487,0.8333,True,0.7835,Review,"Partial dictionary match, manual review needed"
Utt_Salawikain.txt,"Itang mapag-alinlangan, madalas yang malalacuan.","Yaong mapag-alinlangan, madalas mapagiwanan.",0.8311,0.375,0.7342,0.8,True,0.7771,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,Estudyanti ya wari I Michael?,Estudyante ba si Michael?,0.922,0.125,0.6314,0.8,True,0.7713,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Bayaran na ne ning gobierno ing PIATCO,Babayaran na ng gobyerno ang PIATCO,0.8732,0.1818,0.7146,0.8571,True,0.7674,Accept,Verified via dictionary alignment & score
Utt_Educ.txt,Pumila at mangan nang lelut.,Pumila na at kakain na ng lugaw.,0.9216,0.2222,0.4646,0.7143,True,0.7653,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"Samie Lim, miyalal yang bayung pamuntuc ning PCCI","Samie Lim, nahalal bilang bagong pangulo ng PCCI",0.8628,0.2308,0.5112,1.0,True,0.7649,Review,"Partial dictionary match, manual review needed"
Iso_Ordinal.txt,Catlumpulu't apat,ikatatlumpu't apat,0.7433,0.5,0.686,1.0,True,0.7646,Review,"Partial dictionary match, manual review needed"
STORY_folktales(PAM 5 files vs FIL Utt_Story.txt),"Meyangu ya ing cayang laguiu cang Bernardo de Carpio, metung a matapang, bantug, maticdi, at maalamat a mandirigma king bansang Espania","Hinango ang kanyang pangalan kay Bernardo de Carpio, isang matapang, bantog, makisig, at maalamat na mandirigma sa bansang Espanya.",0.8586,0.2581,0.5728,0.9048,True,0.7645,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"Samantala, pagmaragul nang Neri a lalagu ing economia ning bansa.","Samantala, ipinagmalaki ni Neri na gumaganda ang ekonomiya ng bansa.",0.8777,0.1765,0.5164,1.0,True,0.7635,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,"I Micahel wari ing magcanta, o i James?","Si Michael ba ang kakanta, o si James?",0.8852,0.1667,0.4867,1.0,True,0.7631,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Iti mecapaglista yang six point one percent,Ito'y nakapagtala ng six point one percent,0.7957,0.3636,0.6025,1.0,True,0.7604,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Sisiguraduan na ning DFA ing pamipalaya caring biag a OFWs ning Nigeria,Siniguro ng DFA ang paglaya ng mga bihag na OFW sa Nigeria,0.8803,0.1579,0.5059,1.0,True,0.7603,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"Inatasan neng PGMA ing TLRC, DOST a mitalacad planta ning VCO caring lalawigang dacal a ngungut","Inatasan ni PGMA ang TLRC, DOST na magtayo ng planta ng VCO sa mga lalawigang maraming niyog",0.8214,0.2917,0.6024,0.9412,True,0.7555,Review,"Partial dictionary match, manual review needed"
Utt_Educ.txt,Isulat ing lagiu.,Isulat sa pisara.,0.8828,0.2,0.3529,1.0,True,0.755,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Mangailangan yang piloto ing PAL,Nangangailangan ng mga piloto ang PAL,0.842,0.2222,0.6676,0.8333,True,0.7498,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Sapuan ne ning gobierno ing cabilugang limang dalang bilyong pesus a utang ning NAPOCOR,Sasaluhin ng gobyerno ang kabuuang limang daang bilyong piso utang ng NAPOCOR,0.8645,0.2,0.5489,0.8571,True,0.7493,Review,"Partial dictionary match, manual review needed"
Utt_Greetings.txt,Metung a taus pusung pasasalamat!,Isang taós pusong pasasalamat!,0.8916,0.125,0.5866,0.8,True,0.7486,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Makipag-ugnayan ya ing Phil-export caring LGU para king proceso ning pamagnegocio,Nakikipag-ugnayan ang Phil-export sa mga LGU para sa proseso ng pagnenegosyo,0.813,0.25,0.6057,1.0,True,0.7484,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Binabang one point five percent ing utang ning Filipinas king lual,Bumaba ng one point five percent ang utang ng Pilipinas sa labas,0.8036,0.2941,0.6545,0.9167,True,0.7481,Accept,Verified via dictionary alignment & score
Utt_Salawikain.txt,"Matalino ya man ing matsing, malolocu yamu rin.","Matalino man ang matsing, napaglalalangan din.",0.8634,0.2727,0.5002,0.75,True,0.7476,Accept,Verified via dictionary alignment & score
Utt_Essay.txt,"Ing pabulang Japon, Saru kani kassen, o ing labanan ning matsing at ning alimango, a milathala king Bobunsha king Tokyo yapin ing makatuki:","Ang pabulang Hapon, Saru kani kassen, o ang labanan ng matsing at ng alimango, na inilathala ng Kobunsha sa Tokyo ay ang sumusunod :",0.764,0.3571,0.6996,0.9583,True,0.7456,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Ing utang ning Filipinas mibaba,Ang utang ng Pilipinas ay bumaba,0.8933,0.1,0.5615,0.8333,True,0.7455,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Pinurian ne ning APEC ing economia ning Filipinas,Pinuri ng APEC ang ekonomiya ng Pilipinas,0.8909,0.0833,0.5658,0.875,True,0.7453,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Magtas yang singil ing Meralco,Magtataas ng singil ang Meralco,0.7796,0.25,0.7591,1.0,True,0.7436,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,Macananu mewala ing gamit nang Michael?,Paano nawala ang gamit ni Michael?,0.8234,0.2,0.5921,1.0,True,0.7433,Review,"Partial dictionary match, manual review needed"
Utt_Medical.txt,Ninu king pamilya yu ing ating diabetis?,Sino sa pamilya ninyo ang may diabetes?,0.8869,0.0769,0.427,1.0,True,0.7402,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Binulusuc ing penakitan ning Del Monte Pacific,Bumulusok ang kita ng Del Monte Pacific,0.7975,0.2727,0.5625,1.0,True,0.7393,Accept,Verified via dictionary alignment & score
Utt_Interrogatives.txt,"Tigtig ya wari i Francisco, o magcanta?","Tutugtog ba si Francisco, o kakanta?",0.8617,0.1818,0.4596,0.8571,True,0.7351,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"Buung suporta ing babie ning DTI king pamipaunlad ding mitulduang OTOP ning Palawan, particular ing productong balubad","Buong suporta ang ibibigay ng DTI sa pagpapaunlad ng mga natukoy na OTOP ng Palawan, partikular ang produktong kasuy.",0.8526,0.1481,0.5027,0.8947,True,0.7309,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Imanuyut ning gobierno ning TUCP a magpatupad reporma ban macagauang obra,Hinimok ang gobyerno ng TUCP na magpatupad ng reporma para makalikha ng trabaho,0.8566,0.1667,0.4785,0.8462,True,0.7297,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"Macanian man, sinabi nang Robles ding apat a dayuhang cumpania a interesadung ponduan ing mesabing proyecto","Gayunman, sinabi ni Robles na apat na mga dayuhang kompanya ang interesadong pondohan ang naturang proyekto.",0.8179,0.16,0.5575,1.0,True,0.7285,Review,"Partial dictionary match, manual review needed"
Iso_Ordinal.txt,Catlumpulu't pitung,ikatatlumpu't pitong,0.8031,0.2,0.5643,1.0,True,0.7283,Review,"Partial dictionary match, manual review needed"
Utt_CommonExpressions.txt,Nucarin ya pu ing terminal ning bus?,Saan ho ang terminal ng bus?,0.8385,0.1818,0.5281,0.8571,True,0.728,Accept,Verified via dictionary alignment & score
Utt_News.txt,Memie ya ing China a limang milyong pesus saup king Filipinas para king proyecto ning infrastructura,Nagbigay ang China ng limang milyong pisong tulong sa Pilipinas para sa proyekto ng imprastraktura,0.8286,0.1667,0.524,0.9375,True,0.7267,Review,"Partial dictionary match, manual review needed"
Utt_Educ.txt,Iwasan ing mangopia.,Iwasan ang patayu-tayo.,0.8419,0.1667,0.3814,1.0,True,0.7266,Accept,Verified via dictionary alignment & score
Utt_News.txt,Ing milistang utang ding pampublikung sector five point five trilyong pesus,Ang naitalang utang ng mga pampublikong sektor ay five point five trilyong piso,0.811,0.2222,0.6097,0.8462,True,0.7266,Review,"Partial dictionary match, manual review needed"
Utt_Educ.txt,Nanung masakit keca?,Anong masakit sayo?,0.8171,0.2,0.4617,1.0,True,0.7264,Accept,Verified via dictionary alignment & score
Utt_Letter.txt,Iti ausan deng ‘Pacto de Sangre’ ning Aring Sikatuna at nang Legaspi a pecacatauan ning Ari ning Espana.,Ito'y siyang tinatawag na 'Pacto de Sangre' ng haring Sikatuna at ni Legaspi na pinakakatawanan ng hari sa Espana.,0.779,0.2593,0.611,0.9474,True,0.7251,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,"Doctor ne I James, e wari? E wari?","Doktor na si James, hindi ba?Hindi ba?",0.8843,0.0909,0.3802,0.875,True,0.7243,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Beba dang pasibayu ing precio ning LPG limampulung setimus cada kilo,Binabaan muli ang presyo ng LPG ng limampung sentimo kada kilo,0.8461,0.1053,0.4542,1.0,True,0.7241,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"Agpang cang PGMA, tecnologia ing fundacion ning pamipaunlad ning economia ning bansa","Ayon kay PGMA, teknolohiya ang pundasyon ng pag-unlad ng ekonomiya ng bansa",0.8371,0.1053,0.4928,1.0,True,0.7226,Review,"Partial dictionary match, manual review needed"
Utt_Educ.txt,Magdalang lapis.,Magdala ng lapis,0.799,0.25,0.75,0.6667,True,0.7211,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Migprotesta la ding OFWs king Cotabato,Nagprotesta ang mga OFW sa Cotabato,0.8268,0.0909,0.5353,1.0,True,0.7178,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Isinup para king produccion ning mais ing walung dalan libong pesus ipautang ning ADB king Filipinas,Ilalagak para sa produksyon ng mais ang walong daang libong pisong ipapautang ng ADB sa Pilipinas,0.7948,0.1667,0.5732,1.0,True,0.7176,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Reforma king economia migresulta king pamibaba ning utang ning bansa,Mga reporma sa ekonomiya nagresulta ng pagbaba ng utang ng bansa,0.8172,0.1333,0.5893,0.9091,True,0.7168,Review,"Partial dictionary match, manual review needed"
Utt_Educ.txt,Linisan me ing CR.,Linisin mo ang CR.,0.8008,0.1429,0.5556,1.0,True,0.7146,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Dinagsa la ding dayuhang capitalista a mamuhunan king bansa,Dumagsa ang mga dayuhang kapitalista na namumuhunan sa bansa.,0.7981,0.125,0.6057,1.0,True,0.7144,Review,"Partial dictionary match, manual review needed"
Utt_Educ.txt,Gumamit pu at opu.,Gumamit ng po at opo,0.7761,0.2857,0.5948,0.8,True,0.7123,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Tinggap na neng PGMA ing resolucion ning PBC para caring programa king banuang aduang libu’t pitu,Tinanggap na ni PGMA ang resolusyon ng PBC para sa mga programa sa taong dalawang libo't pito,0.7777,0.2143,0.5663,0.9412,True,0.7102,Review,"Partial dictionary match, manual review needed"
Utt_Essay.txt,"Atiu king cuentung Filipino ing catalasan ning isip at calinauan ning pamagistoria, samantalang king cuentong Japon naman atiu ing caunlaran at cabiasnan.","Nasa-kuwentong Pilipino ang katalasan ng isip at kalinawan ng pagsasalaysay, samantalang sa kuwentong Hapon naman ay naroon ang kaunlara't kabihasnan.",0.8168,0.125,0.5414,0.9091,True,0.7101,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"SBMA, miglansad yang bayung gimik para caring turista","SBMA, naglunsad ng bagong gimik para sa mga turista",0.7489,0.3077,0.5743,0.8889,True,0.7072,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,Nanu ing linutu nang Michelle?,Mabait ba si Michelle?,0.8527,0.125,0.3693,0.8,True,0.7035,Review,"Partial dictionary match, manual review needed"
STORY_folktales(PAM 5 files vs FIL Utt_Story.txt),Oini anting sasabian na ing pamaging maalamat ning bie nang Bernardo Carpio keti Filipinas.,Eto ay parang nagbabadya sa magiging maalamat ding buhay ni Bernardo Carpio sa Pilipinas.,0.79,0.125,0.5399,1.0,True,0.703,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Gamitan ning DA laban caring peste ding ngungut ing atlumpulung milyong pesus,Gagamitin ng DA laban sa peste sa niyog ang tatlumpung milyong piso,0.7515,0.2105,0.592,1.0,True,0.7022,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Sisiguraduan nang PGMA ing balaus a pamipaunlad ning economia ning bansa,Sinisiguro ni PGMA ang patuloy na pag-unlad ng ekonomiya ng bansa,0.7974,0.1053,0.5162,1.0,True,0.7011,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Panibayung reporma king economia ing planu ning administracion,Ibayong reporma sa ekonomiya ang plano ng administrasyon,0.8058,0.0667,0.5276,1.0,True,0.6996,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Titingiran neng pansin ning presidente ing pamipaunlad king economia ning Filipinas,Pinagtutuonan ng pansin ng pangulo ang pagpapaunlad sa ekonomiya ng Pilipinas,0.8276,0.0556,0.4162,1.0,True,0.6993,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Samantalang minabut naman king five hundred four point five a milyong dollar ing atipun king pulayi ning negocio napun king mercado.,Samantalang umabot naman sa five hundred four point five na milyong dolyar ang naipon sa takbo ng negosyo kahapon sa merkado.,0.7359,0.2414,0.5798,1.0,True,0.6978,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,Macananu nang ikit ing gamit nang James?,Paano niya nahanap ang gamit ni James?,0.7708,0.1818,0.4865,1.0,True,0.6975,Review,"Partial dictionary match, manual review needed"
Utt_Medical.txt,Posible ya pung lala nung e ya maagapan?,Posible po yang lumala kung hindi maagapan?,0.7775,0.1667,0.5808,0.875,True,0.6954,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Ing utang ning gubierno minabut king three point nine trilyong pesus,Ang utang ng gobyerno ay umabot sa three point nine trilyong piso,0.7303,0.2778,0.5951,0.9167,True,0.6949,Accept,Verified via dictionary alignment & score
Utt_Interrogatives.txt,I Michael wari ing mengan king mangga?,Si Michael ba ang kumain ng mangga?,0.7685,0.1667,0.5002,1.0,True,0.6945,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"NAPOCOR, ibaba na ing singil king corriente","NAPOCOR, bababaan ang singil sa kuryente",0.7784,0.1818,0.5526,0.8571,True,0.6944,Accept,Verified via dictionary alignment & score
Utt_News.txt,"Pamipaunlad ning economia ning bansa, pakinabangan da ding anggang sector","Pag-unlad ng ekonomiya ng bansa, pakikinabangan ng lahat ng sektor",0.7892,0.0625,0.5716,1.0,True,0.6932,Review,"Partial dictionary match, manual review needed"
STORY_folktales(PAM 5 files vs FIL Utt_Story.txt),Agad neng lisungan Bernardo ing bangin ban sagipan at saupan ing cabayo.,Agad na nilusong ni Bernardo ang bangin upang sagipin at tulungan ang kabayo.,0.7453,0.2105,0.6151,0.9231,True,0.6931,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"NAPOCOR, macatipid yang metung a bilyong dollar ngening banua","NAPOCOR, makatitipid ng isang bilyong dolyar ngayong taon",0.7855,0.1333,0.5516,0.8889,True,0.692,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,Talaturu ya wari e Maricel?,Guro ba si Maricel?,0.8349,0.125,0.3599,0.8,True,0.6919,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Planu ning Banco Central ning Filipinas a ilaco king circulacion ing tantiang limampulung bilyung pesus labis a salapi,Plano ng Bangko Sentral ng Pilipinas na alisin sa sirkulasyon ang tinatayang limampung bilyong pisong labis na salapi.,0.8001,0.0667,0.4748,1.0,True,0.6909,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,Caninu ya ing bag a yan?,Kanino ang bag na iyan?,0.8106,0.1,0.4783,0.8333,True,0.6875,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Buclat-gamat nong tinggap ning Malacanang ding OFWs,"Bukas-kamay na tinanggap ng Malakanyang, mga OFWs",0.7976,0.0667,0.4256,1.0,True,0.6845,Review,"Partial dictionary match, manual review needed"
Utt_Greetings.txt,Tau po.,Tao po.,0.684,0.3333,0.5714,1.0,True,0.6842,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Inauad ning DAR king corte ing TRO,Hiniling ng DAR sa korte ang TRO,0.7612,0.1667,0.4407,1.0,True,0.6841,Accept,Verified via dictionary alignment & score
Utt_News.txt,"Atlung dayuhang compania, inspeccionan de ing controversial a NAIA","Tatlong dayuhang kompanya, iinspeksyunin ang kontrobersyal na NAIA",0.7868,0.1333,0.4628,0.8889,True,0.6839,Review,"Partial dictionary match, manual review needed"
Utt_Educ.txt,Cuanan ing libru at mamasa.,Kuhanin ang libro at magbasa.,0.7775,0.1111,0.4288,1.0,True,0.6816,Review,"Partial dictionary match, manual review needed"
Utt_Medical.txt,Type AB cu pu,Type AB po ako.,0.6904,0.3333,0.5013,1.0,True,0.681,Accept,Verified via dictionary alignment & score
Utt_News.txt,Pagaralan ne ning America ing pamanangcat mangga ibat Pangasinan,Pinag-aaralan ng Amerika ang pag-angkat ng mangga galing Pangasinan,0.7506,0.1176,0.5608,1.0,True,0.68,Review,"Partial dictionary match, manual review needed"
STORY_folktales(PAM 5 files vs FIL Utt_Story.txt),"“Ah mataloti ca pala,” pamanuya ning gorilya,","""Ah, duwag ka pala,"" ang pang-uuyam ng gorilya.",0.7738,0.2308,0.3182,0.875,True,0.6797,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Mangailangan ya ing gobiernong atlumpulut siam a bilyong dollar para caring proyecto niti,Mangangailangan ang gobyerno ng tatlumpu't siyam na bilyong dolyar para sa mga proyekto nito,0.7715,0.0769,0.5854,0.9286,True,0.6797,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Dedma ya ing Palacio,Dedma ang Palasyo,0.7778,0.1667,0.5423,0.75,True,0.6793,Accept,Verified via dictionary alignment & score
Utt_Letter.txt,"Panaun na ngening dapat lunto ing sala ning catutuan; panaun nang dapat tamung ipakilala a itamu atin tang sariling panamdam, ating puri, ating dine at pamagdamayan.","Panahon na ngayong dapat na lumitaw ang liwanag ng katotohanan; panahon nang dapat nating ipakilala na tayo'y may sariling pagdaramdam, may puri, may hiya at pagdadamayan.",0.7258,0.1892,0.55,1.0,True,0.6783,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,Okey ya wari?,Okey ba siya?,0.7617,0.2,0.3077,1.0,True,0.6778,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"Casakitan king bansa, mibaba agpang cang PGMA","Kahirapan sa bansa, bumaba ayon kay PGMA",0.7565,0.1667,0.4001,1.0,True,0.6773,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Mcasadia ya ing America a ibalaus ing pamag-develop king industria ning gatas keti Filipinas,Nakahanda ang Amerika na ituloy ang pag-develop sa industriya ng gatas sa Pilipinas.,0.7765,0.0833,0.5132,0.9286,True,0.6767,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Layunan ning mesabing proyecto ing aresolba ing manimunang problema king energia ning Mindanao,Layunin ng nasabing proyekto na maresolba ang pangunahing problema sa enerhiya ng Mindanao.,0.7467,0.0952,0.5926,1.0,True,0.6763,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Binaba ing panglual a utang ning bansa,Bumaba ang panlabas na utang ng bansa,0.7311,0.1667,0.5374,1.0,True,0.6757,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Gumastus labing atlung bilyong pesus ing gobierno king pamagbie king OPSF,Gagastos ng labintatlong bilyong piso ang gobyerno sa pagbuhay ng OPSF,0.7633,0.1111,0.4518,1.0,True,0.6754,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Palaguan ne ning administracion ing economia ning Filipinas,Pagagandahin ng administrasyon ang ekonomiya ng Pilipinas,0.8135,0.0,0.4906,0.875,True,0.6746,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Lalagu ing economia ning bansa,Gumaganda ang ekonomiya ng bansa,0.769,0.1111,0.4073,1.0,True,0.6743,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,Tigtig ya wari I Francisco?,Tutugtog ba si Francisco?,0.792,0.125,0.4315,0.8,True,0.6733,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Palauacan ing produccion ning abaca king Albay,Palalawakin ang produksyon ng abaca sa Albay,0.7209,0.1667,0.5611,1.0,True,0.672,Accept,Verified via dictionary alignment & score
Utt_News.txt,"Macasadia ya ing bansa a cuanan ing maragul a parte ning mercado ning mangga king Estados Unidos, agpang king secretario ning Departamento ning Agricultura","Nakahanda ang bansa na kunin ang malaking parte ng pamilihang-mangga sa Estados Unidos, ayun sa sekretaryo ng Departamento ng Agrikultura.",0.7362,0.2069,0.5518,0.8333,True,0.6716,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,"Bisa cang mangan, o painawa?","Gusto mo bang kumain, o magpahinga?",0.8121,0.1,0.297,0.8333,True,0.6703,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Dacpan la ding dayuhang criminal,Huhulihin ang mga dayuhang kriminal,0.7502,0.1111,0.4767,1.0,True,0.67,Review,"Partial dictionary match, manual review needed"
Utt_Interrogatives.txt,"Tigtig ya I Francisco, e wari?","Tutugtog si Francisco, 'di ba?",0.7986,0.1,0.3729,0.8333,True,0.6698,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Sali lang bayung tren ing MRT,Bibili ng mga bagong tren ang MRT,0.7533,0.1818,0.4568,0.8571,True,0.6698,Review,"Partial dictionary match, manual review needed"
STORY_folktales(PAM 5 files vs FIL Utt_Story.txt),Mabilis kinalat ing aca-aca a i Bernardo macasipit ya caring miyuyumpugang batu at balang magcapilit yang macauala maging sangcan niti ing ayun king cabunducan ning San Mateo.,Mabilis na kumalat ang haka-haka na si Bernardo ay naiipit ng nag- uumpugang bato at tuwing nagpipilit siyang kumawala ay nagiging sanhi eto ng paglindol sa kabundukan ng San Mateo.,0.774,0.1064,0.4356,0.9,True,0.6692,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,"Minapela yang pasibayu caring sablang candidatu I PGMA a iwasan ing pamamulitica, at itingid ing pansin caring papalabung king economia","Umapela muli sa lahat ng kandidato si PGMA na iwasan ang pamumulitika, at ituon ang pansin sa pagpapalago ng ekonomiya",0.7368,0.129,0.4908,1.0,True,0.6669,Review,"Partial dictionary match, manual review needed"
Utt_News.txt,Patuc ya caring dayuhang capitalista ing campania ning gobierno king turismu,Patok sa mga dayuhang kapitalista ang kampanya ng gobyerno sa turismo,0.7535,0.05,0.5471,1.0,True,0.6668,Review,"Partial dictionary match, manual review needed"
Utt_Salawikain.txt,"Tauli ya man at magaling, mitagal ya pa mu rin.","Huli man daw at magaling, naihahabol din.",0.7597,0.2308,0.4445,0.7,True,0.6664,Review,"Partial dictionary match, manual review needed"
Utt_Greetings.txt,Maligayang Pascu at masaplalang bayung banua.,Maligayang Pasko po at manígong bagong taon.,0.7468,0.1818,0.4615,0.8571,True,0.6663,Review,"Partial dictionary match, manual review needed"
