canonical_id,lang_code,source_name_normalized,prompt_family,prompt_label,prompt_ordinal,canonical_text,granularity,observed_variants,recorded_speaker_count,not_recorded_count,placeholder_like
fil_3b4a82d998bb,FIL,Companies.txt,Other,Companies,4,Philippine Bank of Communications,phrase,16,16,0,False
fil_4d9f3fd68337,FIL,Companies.txt,Other,Companies,5,Union Bank of the Philippines,sentence,15,16,0,False
fil_f09d63092474,FIL,Companies.txt,Other,Companies,6,DMCI Holdings,phrase,3,3,0,False
fil_f63fd295dd9d,FIL,Companies.txt,Other,Companies,7,First Philippine Holdings Corporation,phrase,3,3,0,False
fil_e16cc643a618,FIL,Companies.txt,Other,Companies,8,First Gen,phrase,3,3,0,False
fil_d242b34798d6,FIL,Companies.txt,Other,Companies,9,Megaworld Corporation,phrase,3,3,0,False
fil_a7aab01133a0,FIL,Companies.txt,Other,Companies,10,Universal Robina,phrase,3,3,0,False
fil_7fad1be474a8,FIL,Cuisines.txt,Other,Cuisines,1,Tokwa't Baboy,phrase,15,16,0,False
fil_f8a6bbe25b35,FIL,Cuisines.txt,Other,Cuisines,2,Hamonado,word,13,16,0,False
fil_367dbd0ee78c,FIL,Cuisines.txt,Other,Cuisines,3,Prito,word,16,16,0,False
fil_e0b53387c384,FIL,Cuisines.txt,Other,Cuisines,4,Tokwa't Baboy,phrase,13,16,0,False
fil_d37b5236bb4b,FIL,Cuisines.txt,Other,Cuisines,5,Mechado,word,16,16,0,False
fil_2566deac0a07,FIL,Cuisines.txt,Other,Cuisines,6,Pandesal,word,3,3,0,False
fil_15d9f73234e7,FIL,Cuisines.txt,Other,Cuisines,7,Inadobo,word,3,3,0,False
fil_7821f7df6567,FIL,Cuisines.txt,Other,Cuisines,8,Laing,word,3,3,0,False
fil_4a2285885341,FIL,Cuisines.txt,Other,Cuisines,9,Guinataan,word,3,3,0,False
fil_440577f52451,FIL,Cuisines.txt,Other,Cuisines,10,Ginisa,word,3,3,0,False
fil_fc90ed085eb1,FIL,Hotels.txt,Other,Hotels,1,Millennium Plaza Serviced Residences,phrase,16,16,0,False
fil_01e9835cfbc6,FIL,Hotels.txt,Other,Hotels,2,Cebu Parklane International Hotel,phrase,14,16,0,False
fil_3af29414066f,FIL,Hotels.txt,Other,Hotels,3,Le Soleil De Boracay Hotel,sentence,14,16,0,False
fil_0f395f087fd2,FIL,Hotels.txt,Other,Hotels,4,Crimson Beach Resort & Spa Mactan Island,sentence,15,16,0,False
fil_ba962c9717fd,FIL,Hotels.txt,Other,Hotels,5,The Orchard Cebu Hotel & Suites,sentence,15,16,0,False
fil_20ea501d54e3,FIL,Hotels.txt,Other,Hotels,6,Somerset Olympia Makati,phrase,3,3,0,False
fil_d72307c39134,FIL,Hotels.txt,Other,Hotels,7,Dusit Thani Hotel,phrase,3,3,0,False
fil_347a0fb6cd78,FIL,Hotels.txt,Other,Hotels,8,Makati Palace Hotel,phrase,3,3,0,False
fil_0dd44bd5a64a,FIL,Hotels.txt,Other,Hotels,9,Pearl Lane Hotel,phrase,3,3,0,False
fil_d184a40a3c89,FIL,Hotels.txt,Other,Hotels,10,Makati Shangri-La Hotel,phrase,3,3,0,False
fil_bd140ab6a4b8,FIL,Iso_BodyParts.txt,Iso,BodyParts,1,balunbalunan,word,67,109,0,False
fil_d324f8a5fccf,FIL,Iso_BodyParts.txt,Iso,BodyParts,2,galáng-galáng,word,63,109,0,False
fil_9965c7c6e509,FIL,Iso_BodyParts.txt,Iso,BodyParts,3,palakingkingan,word,60,109,0,False
fil_95bdd1f70287,FIL,Iso_BodyParts.txt,Iso,BodyParts,4,sakong,word,62,109,0,False
fil_3f51f921ccfd,FIL,Iso_BodyParts.txt,Iso,BodyParts,5,buto,word,59,109,0,False
fil_06f2e5b80b8d,FIL,Iso_BodyParts.txt,Iso,BodyParts,6,palasingsingan,word,61,109,0,False
fil_456dafd2417a,FIL,Iso_BodyParts.txt,Iso,BodyParts,7,alak-alakan,word,63,109,0,False
fil_8d420658b3a9,FIL,Iso_BodyParts.txt,Iso,BodyParts,8,balunbalunan,word,59,109,0,False
fil_ad4fedea8655,FIL,Iso_BodyParts.txt,Iso,BodyParts,9,talampakan,word,62,109,0,False
fil_749847ff9328,FIL,Iso_BodyParts.txt,Iso,BodyParts,10,galáng-galangán,word,65,109,0,False
fil_b734b0e09286,FIL,Iso_BodyParts.txt,Iso,BodyParts,11,pilikmata,word,61,109,0,False
fil_b1d304db99b4,FIL,Iso_BodyParts.txt,Iso,BodyParts,12,bunganga,word,60,109,0,False
fil_8fa5d201f88c,FIL,Iso_BodyParts.txt,Iso,BodyParts,13,kalingkingan,word,61,109,0,False
fil_e05843571567,FIL,Iso_BodyParts.txt,Iso,BodyParts,14,talampakan,word,65,109,0,False
fil_8dcb3f3ccd43,FIL,Iso_BodyParts.txt,Iso,BodyParts,15,súso,word,63,109,0,False
fil_aa2393d4c16e,FIL,Iso_Educ.txt,Iso,Educ,1,itong,word,59,83,0,False
fil_6f8403a53092,FIL,Iso_Educ.txt,Iso,Educ,2,Maynila,word,64,83,0,False
fil_cf51e836010f,FIL,Iso_Educ.txt,Iso,Educ,3,itlog,word,57,83,0,False
fil_f2c5e5a1cdeb,FIL,Iso_Educ.txt,Iso,Educ,4,Soliman,word,55,83,0,False
fil_36e64f0d855d,FIL,Iso_Educ.txt,Iso,Educ,5,parang,word,55,83,0,False
fil_73ca544368da,FIL,Iso_Educ.txt,Iso,Educ,6,nagulat,word,58,83,0,False
fil_073c0641ef7e,FIL,Iso_Educ.txt,Iso,Educ,7,dumating,word,58,83,0,False
fil_3652e38d3970,FIL,Iso_Educ.txt,Iso,Educ,8,Espanya,word,58,83,0,False
fil_5ca6654c83c5,FIL,Iso_Educ.txt,Iso,Educ,9,noong,word,56,83,0,False
fil_264dca7b5a4a,FIL,Iso_Educ.txt,Iso,Educ,10,nilang,word,56,83,0,False
fil_223c76be3ded,FIL,Iso_Educ.txt,Iso,Educ,11,maraming,word,57,83,0,False
fil_bff2e241c827,FIL,Iso_Educ.txt,Iso,Educ,12,minsan,word,62,83,0,False
fil_ddb30b290425,FIL,Iso_Educ.txt,Iso,Educ,13,tulad,word,66,83,0,False
fil_8331949ad761,FIL,Iso_Educ.txt,Iso,Educ,14,dalawa,word,59,83,0,False
fil_fd296f19396b,FIL,Iso_Educ.txt,Iso,Educ,15,Soliman,word,57,83,0,False
fil_899e18af0af4,FIL,Iso_Kinship.txt,Iso,Kinship,1,bayaw,word,51,109,0,False
fil_eee397c2c7d2,FIL,Iso_Kinship.txt,Iso,Kinship,2,diko,word,58,109,0,False
fil_e429e881306e,FIL,Iso_Kinship.txt,Iso,Kinship,3,madrasta,word,57,109,0,False
fil_cfcb3c40833a,FIL,Iso_Kinship.txt,Iso,Kinship,4,manugang,word,51,109,0,False
fil_ebbc6b6a6455,FIL,Iso_Kinship.txt,Iso,Kinship,5,pamangkin,word,59,109,0,False
fil_f7af691c1ff0,FIL,Iso_Kinship.txt,Iso,Kinship,6,balo,word,51,109,0,False
fil_14fe2830c0ee,FIL,Iso_Kinship.txt,Iso,Kinship,7,tiya,word,52,109,0,False
fil_cbeda2b135ca,FIL,Iso_Kinship.txt,Iso,Kinship,8,kamag-anak,word,58,109,0,False
fil_234393717228,FIL,Iso_Kinship.txt,Iso,Kinship,9,katambal,word,55,109,0,False
fil_7cefdc3d9c77,FIL,Iso_Kinship.txt,Iso,Kinship,10,manugang,word,55,109,0,False
fil_3ad85dbb6153,FIL,Iso_Kinship.txt,Iso,Kinship,11,kasintahan,word,52,109,0,False
fil_d9fd7329f5fc,FIL,Iso_MinPairs.txt,Iso,MinPairs,1,bakas-bakás (financial partnership-footprint),phrase,48,109,0,False
fil_c271ff4190c4,FIL,Iso_MinPairs.txt,Iso,MinPairs,2,hapò-hapô (weariness-weary),phrase,44,109,0,False
fil_ec676ed587c1,FIL,Iso_MinPairs.txt,Iso,MinPairs,3,dala-dalá-dalâ (net-take-taught by experience),phrase,40,109,0,False
fil_4073191bf666,FIL,Iso_MinPairs.txt,Iso,MinPairs,4,kaka-kakâ (uncle/aunt-elder sister/brother),phrase,47,109,0,False
fil_b30bf064b8c5,FIL,Iso_MinPairs.txt,Iso,MinPairs,5,bulo-bulô (hairs (of fruits)-young carabao),phrase,45,109,0,False
fil_8ce4cd817c4d,FIL,Iso_MinPairs.txt,Iso,MinPairs,6,sukat-sukát (measurement-measured),phrase,46,109,0,False
fil_500c39c26cb0,FIL,Iso_MinPairs.txt,Iso,MinPairs,7,nahuli-nahulí (was caught-arrived late),phrase,49,109,0,False
fil_06679cc4b49f,FIL,Iso_MinPairs.txt,Iso,MinPairs,8,pasò-pasô (scald/burn-flower pot),phrase,54,109,0,False
fil_8ebf90abf7ad,FIL,Iso_MinPairs.txt,Iso,MinPairs,9,agáwan-agawán (to take by force-struggle),phrase,48,109,0,False
fil_3c73681a94fc,FIL,Iso_Ordinal.txt,Iso,Ordinal,1,ikatatlumpu't pitong,phrase,54,109,0,False
fil_13d3ef2e0a98,FIL,Iso_Ordinal.txt,Iso,Ordinal,2,ikadalawampu't walong,phrase,58,109,0,False
fil_e846ef17f69e,FIL,Iso_Ordinal.txt,Iso,Ordinal,3,ikadalawampu't pitong,phrase,57,109,0,False
fil_0c9b2352e864,FIL,Iso_Ordinal.txt,Iso,Ordinal,4,ikadalawampu't pitong,phrase,51,109,0,False
fil_180d428694f3,FIL,Iso_Ordinal.txt,Iso,Ordinal,5,ikadalawampu't tatlo,phrase,55,109,0,False
fil_47bc718bf5ae,FIL,Iso_Ordinal.txt,Iso,Ordinal,6,ikadalawampu't isang,phrase,58,109,0,False
fil_e133a5672c70,FIL,Iso_Ordinal.txt,Iso,Ordinal,7,ikadalawampu't tatlo,phrase,57,109,0,False
fil_1df5045c146f,FIL,Iso_Ordinal.txt,Iso,Ordinal,8,ikadalawampu't siyam,phrase,56,109,0,False
fil_0872bcf18324,FIL,Iso_Ordinal.txt,Iso,Ordinal,9,ikatatlumpu't walong,phrase,54,109,0,False
fil_5ab7cd0174ca,FIL,Iso_Ordinal.txt,Iso,Ordinal,10,ikalawa,word,62,109,0,False
fil_7adf39488621,FIL,Iso_Ordinal.txt,Iso,Ordinal,11,ikadalawampu't walong,phrase,58,109,0,False
fil_d7080b75674d,FIL,Iso_Ordinal.txt,Iso,Ordinal,12,ikatatlumpu't limang,phrase,60,109,0,False
fil_71c7cbb446e7,FIL,Iso_Time.txt,Iso,Time,1,labinlimang,word,72,109,0,False
fil_675a2da981c8,FIL,Iso_Time.txt,Iso,Time,2,Miyerkules,word,68,109,0,False
fil_9ecc75a68c0b,FIL,Iso_Time.txt,Iso,Time,3,dapithapon,word,81,109,0,False
fil_79fe00420a89,FIL,Iso_Time.txt,Iso,Time,4,kinagabihan,word,71,109,0,False
fil_2e133195ba2c,FIL,Iso_Time.txt,Iso,Time,5,kasalukuyang,word,78,109,0,False
fil_e7b0339dc79e,FIL,Iso_Time.txt,Iso,Time,6,dapit-tanghali,word,68,109,0,False
fil_5ff5a546bd7e,FIL,Iso_Time.txt,Iso,Time,7,pagkatapos,word,74,109,0,False
fil_8d8e35236603,FIL,Iso_Time.txt,Iso,Time,8,kasalukuyang,word,68,109,0,False
fil_2c1db8674b61,FIL,Iso_Time.txt,Iso,Time,9,bágo,word,76,109,0,False
fil_f712b37e3a89,FIL,Iso_Time.txt,Iso,Time,10,segusegundo,word,76,109,0,False
fil_d93859fdaf62,FIL,Iso_Time.txt,Iso,Time,11,mamaya,word,68,109,0,False
fil_bd9145970423,FIL,Iso_Time.txt,Iso,Time,12,bágo,word,65,109,0,False
fil_c161d3eb69e4,FIL,Iso_Time.txt,Iso,Time,13,kamakatlo,word,69,109,0,False
fil_13153a7cc59a,FIL,Iso_Time.txt,Iso,Time,14,kalahati,word,72,109,0,False
fil_bdb4622ba5d1,FIL,Iso_Time.txt,Iso,Time,15,mamaya,word,74,109,0,False
fil_afba3d03ef00,FIL,Iso_Time.txt,Iso,Time,16,dati,word,69,109,0,False
fil_c30be86559c3,FIL,Iso_Time.txt,Iso,Time,17,dapit-umaga,word,69,109,0,False
fil_bd4f8b1d8124,FIL,Iso_Time.txt,Iso,Time,18,minuminuto,word,65,109,0,False
fil_98dfb94a4a1a,FIL,Iso_Time.txt,Iso,Time,19,ngayong,word,76,109,0,False
fil_14ee3b8120a0,FIL,Iso_Time.txt,Iso,Time,20,Miyerkules,word,72,109,0,False
fil_5a90d6d1d582,FIL,Iso_Time.txt,Iso,Time,21,kinagabihan,word,63,109,0,False
fil_cd518440839e,FIL,Iso_Weather.txt,Iso,Weather,1,El Nino,phrase,42,109,0,False
fil_cb7ccc4a08b0,FIL,Iso_Weather.txt,Iso,Weather,2,taglagas,word,42,109,0,False
fil_d14d1e05cc3b,FIL,Iso_Weather.txt,Iso,Weather,3,biglaang pagbaha,phrase,42,109,0,False
fil_a59e295be8d8,FIL,Iso_Weather.txt,Iso,Weather,4,maalinsángan,word,44,109,0,False
fil_017cd836f4c1,FIL,Iso_Weather.txt,Iso,Weather,5,makulimlim,word,47,109,0,False
fil_2a50700c8090,FIL,Iso_Weather.txt,Iso,Weather,6,halumigmig,word,47,109,0,False
fil_858198b39ad3,FIL,Iso_Weather.txt,Iso,Weather,7,biglaang pagbaha,phrase,48,109,0,False
fil_4f9235f622e0,FIL,Iso_Weather.txt,Iso,Weather,8,bugso ng hangin,phrase,49,109,0,False
fil_597b075073dd,FIL,Iso_Weather.txt,Iso,Weather,9,bugso ng hangin,phrase,46,109,0,False
fil_d5fce47c8239,FIL,Iso_airlines_Shib.txt,Iso,airlines_Shib,1,General Santos International Airport,phrase,44,109,0,False
fil_007f299c2bca,FIL,Iso_airlines_Shib.txt,Iso,airlines_Shib,2,Ninoy Aquino International Airport,phrase,38,109,0,False
fil_44a6ef678025,FIL,Iso_airlines_Shib.txt,Iso,airlines_Shib,3,bunrok (Morong Tagalog),phrase,44,109,0,False
fil_309350925877,FIL,Iso_airlines_Shib.txt,Iso,airlines_Shib,4,Diosdado Macapagal International Airport,phrase,44,109,0,False
fil_c8a542f114a4,FIL,Iso_airlines_Shib.txt,Iso,airlines_Shib,5,"gan-on (Batangas, Marinduque)",phrase,43,109,0,False
fil_bdb9d02261af,FIL,Iso_airlines_Shib.txt,Iso,airlines_Shib,6,Francisco Bangoy International Airport,phrase,48,109,0,False
fil_a7799c269c5f,FIL,Iso_airlines_Shib.txt,Iso,airlines_Shib,7,isra (Morong Tagalog),phrase,45,109,0,False
fil_b84d9611a7f5,FIL,Iso_airlines_Shib.txt,Iso,airlines_Shib,8,Zamboanga International Airport,phrase,44,109,0,False
fil_f578952897f2,FIL,Iso_airlines_Shib.txt,Iso,airlines_Shib,9,Butuan Airport,phrase,44,109,0,False
fil_eccfe40abbb2,FIL,Iso_cities.txt,Iso,cities,1,Bacolod,word,56,109,0,False
fil_0a92d817b4ae,FIL,Iso_cities.txt,Iso,cities,2,Puerto Princesa,phrase,55,109,0,False
fil_9e5e8a726ded,FIL,Iso_cities.txt,Iso,cities,3,Navotas,word,53,109,0,False
fil_86a083100b7d,FIL,Iso_cities.txt,Iso,cities,4,Singalong,word,53,109,0,False
fil_f8ec893ce006,FIL,Iso_cities.txt,Iso,cities,5,Mandaluyong,word,51,109,0,False
fil_3c44abc6aeea,FIL,Iso_cities.txt,Iso,cities,6,Rizal,word,56,109,0,False
fil_4acd61271bb6,FIL,Iso_cities.txt,Iso,cities,7,Lapu-Lapu,word,53,109,0,False
fil_c54cbcf876db,FIL,Iso_cities.txt,Iso,cities,8,Malate,word,53,109,0,False
fil_7126a185f421,FIL,Iso_cities.txt,Iso,cities,9,Zamboanga,word,56,109,0,False
fil_22b640ad1601,FIL,Iso_cities.txt,Iso,cities,10,Naga,word,55,109,0,False
fil_c0dd863aa3c0,FIL,Iso_cities.txt,Iso,cities,11,Parañaque,word,48,109,0,False
fil_bab43a690630,FIL,Iso_colors_Pronouns.txt,Iso,colors_Pronouns,1,kitá (you and i),phrase,42,109,0,False
fil_dcc561b9c4bf,FIL,Iso_colors_Pronouns.txt,Iso,colors_Pronouns,2,kanya (his or her),phrase,45,109,0,False
fil_739fbdcb588c,FIL,Iso_colors_Pronouns.txt,Iso,colors_Pronouns,3,"diyan (there, near)",phrase,48,109,0,False
fil_0c2881b7e96e,FIL,Iso_colors_Pronouns.txt,Iso,colors_Pronouns,4,"riyan (there, near)",phrase,46,109,0,False
fil_d8a3ee5c5a5d,FIL,Iso_colors_Pronouns.txt,Iso,colors_Pronouns,5,"kayó (you, plural)",phrase,44,109,0,False
fil_9a4d13eb87c9,FIL,Iso_colors_Pronouns.txt,Iso,colors_Pronouns,6,"riyan (there, near)",phrase,45,109,0,False
fil_cda354863342,FIL,Iso_colors_Pronouns.txt,Iso,colors_Pronouns,7,"riyan (there, near)",phrase,42,109,0,False
fil_977c04be4ba6,FIL,Iso_colors_Pronouns.txt,Iso,colors_Pronouns,8,heto (here),phrase,51,109,0,False
fil_ca9377f17a69,FIL,Iso_colors_Pronouns.txt,Iso,colors_Pronouns,9,"roon (there, far)",phrase,47,109,0,False
fil_662d00d2b810,FIL,Iso_companies.txt,Iso,companies,1,Metro Pacific Investments,phrase,59,109,0,False
fil_003908695a50,FIL,Iso_companies.txt,Iso,companies,2,Digital Telecommunications Philippines,phrase,57,109,0,False
fil_0a32ac53f433,FIL,Iso_companies.txt,Iso,companies,3,International Container Terminal Services Inc.,phrase,56,109,0,False
fil_705f4389e6ca,FIL,Iso_companies.txt,Iso,companies,4,Banco de Oro,phrase,60,109,0,False
fil_d40ca9aa932d,FIL,Iso_companies.txt,Iso,companies,5,JG Summit Holdings,phrase,60,109,0,False
fil_2cef675870be,FIL,Iso_companies.txt,Iso,companies,6,GMA Artist Center,phrase,53,109,0,False
fil_f9e46a644875,FIL,Iso_companies.txt,Iso,companies,7,Rizal Commercial Banking Corporation,phrase,61,109,0,False
fil_6545c14ef378,FIL,Iso_companies.txt,Iso,companies,8,Philippine Stock Exchange,phrase,56,109,0,False
fil_436bbfaa624b,FIL,Iso_companies.txt,Iso,companies,9,Philippine Bank of Communications,phrase,56,109,0,False
fil_a856b1431a51,FIL,Iso_companies.txt,Iso,companies,10,Metro Pacific Investments Corporation,phrase,59,109,0,False
fil_2b0437afd171,FIL,Iso_companies.txt,Iso,companies,11,Universal Robina,phrase,54,109,0,False
fil_8edf9e1df9bf,FIL,Iso_companies.txt,Iso,companies,12,Metropolitan Bank and Trust Company,phrase,52,109,0,False
fil_c0c9f3eeee2e,FIL,Iso_companies.txt,Iso,companies,13,SM Prime Holdings,phrase,59,109,0,False
fil_f69f73487e85,FIL,Iso_companies.txt,Iso,companies,14,Union Bank of the Philippines,phrase,58,109,0,False
fil_7da229282fad,FIL,Iso_female.txt,Iso,female,1,Mary Ann,phrase,61,109,0,False
fil_239188e38b77,FIL,Iso_female.txt,Iso,female,2,Catherine,word,59,109,0,False
fil_da7f35212507,FIL,Iso_female.txt,Iso,female,3,Glaiza,word,60,109,0,False
fil_8287bb819e73,FIL,Iso_female.txt,Iso,female,4,Danielle,word,57,109,0,False
fil_6326a12a8f81,FIL,Iso_female.txt,Iso,female,5,Jinky,word,61,109,0,False
fil_ee480c672daf,FIL,Iso_female.txt,Iso,female,6,Patricia,word,60,109,0,False
fil_6b01fedf8731,FIL,Iso_female.txt,Iso,female,7,Criselda,word,65,109,0,False
fil_e56f57baee9d,FIL,Iso_female.txt,Iso,female,8,Irene,word,62,109,0,False
fil_cfbf4dae262c,FIL,Iso_female.txt,Iso,female,9,Danielle,word,57,109,0,False
fil_975fa6737864,FIL,Iso_female.txt,Iso,female,10,Marivic,word,63,109,0,False
fil_e99e4cf318de,FIL,Iso_female.txt,Iso,female,11,Criselda,word,65,109,0,False
fil_6a8634c1c095,FIL,Iso_female.txt,Iso,female,12,Marissa,word,61,109,0,False
fil_32181c4a2ff9,FIL,Iso_female.txt,Iso,female,13,Eliza,word,62,109,0,False
fil_be74766ccf50,FIL,Iso_female.txt,Iso,female,14,Jillian,word,60,109,0,False
fil_fd32f85d0a08,FIL,Iso_female.txt,Iso,female,15,Analyn,word,63,109,0,False
fil_d61def5dee34,FIL,Iso_hotels.txt,Iso,hotels,1,Cebu Parklane International Hotel,phrase,54,109,0,False
fil_b32007dc5386,FIL,Iso_hotels.txt,Iso,hotels,2,The Orchard Cebu Hotel & Suites,phrase,52,109,0,False
fil_1167eac2c5e2,FIL,Iso_hotels.txt,Iso,hotels,3,Shangri-La's Mactan Resort & Spa,phrase,55,109,0,False
fil_3506a3c152cd,FIL,Iso_hotels.txt,Iso,hotels,4,The Heritage Hotel,phrase,53,109,0,False
fil_f36b7ff328fd,FIL,Iso_hotels.txt,Iso,hotels,5,Boracay Grand Vista Resort & Spa,phrase,52,109,0,False
fil_dfda3326b162,FIL,Iso_hotels.txt,Iso,hotels,6,Crown Regency Prince Resort,phrase,55,109,0,False
fil_d307bce1e0b6,FIL,Iso_hotels.txt,Iso,hotels,7,Waterfront Airport Hotel & Casino,phrase,52,109,0,False
fil_691848b75368,FIL,Iso_hotels.txt,Iso,hotels,8,Boracay Grand Vista Resort & Spa,phrase,52,109,0,False
fil_b0a455dfd0c1,FIL,Iso_hotels.txt,Iso,hotels,9,Crimson Beach Resort & Spa Mactan Island,phrase,53,109,0,False
fil_f6987bf39bcf,FIL,Iso_hotels.txt,Iso,hotels,10,Manila Pavilion Hotel,phrase,55,109,0,False
fil_6e92534a62bc,FIL,Iso_hotels.txt,Iso,hotels,11,Hyatt Hotel & Casino,phrase,53,109,0,False
fil_8150d2e12eff,FIL,Iso_landmarks.txt,Iso,landmarks,1,Malacañang Palace,phrase,53,109,0,False
fil_410d1acd6e4c,FIL,Iso_landmarks.txt,Iso,landmarks,2,Anilao Dive spots,phrase,59,109,0,False
fil_8d7c48f51508,FIL,Iso_landmarks.txt,Iso,landmarks,3,University of the Philippines,phrase,54,109,0,False
fil_a20aff97b3d6,FIL,Iso_landmarks.txt,Iso,landmarks,4,Bamboo Organ of Las Piñas,phrase,53,109,0,False
fil_363d56318c14,FIL,Iso_landmarks.txt,Iso,landmarks,5,University of the Philippines,phrase,54,109,0,False
fil_92e76463f1c4,FIL,Iso_landmarks.txt,Iso,landmarks,6,Hinulugang Taktak,phrase,53,109,0,False
fil_7fccde5f70f2,FIL,Iso_landmarks.txt,Iso,landmarks,7,Fort Bonifacio,phrase,57,109,0,False
fil_e6bea3869516,FIL,Iso_landmarks.txt,Iso,landmarks,8,University of the Philippines,phrase,57,109,0,False
fil_f51f26bb9766,FIL,Iso_landmarks.txt,Iso,landmarks,9,Bamboo Organ of Las Piñas,phrase,59,109,0,False
fil_cb590e317cf6,FIL,Iso_landmarks.txt,Iso,landmarks,10,University of the Philippines,phrase,54,109,0,False
fil_5126e5678d0d,FIL,Iso_landmarks.txt,Iso,landmarks,11,Bamboo Organ of Las Piñas,phrase,56,109,0,False
fil_b78afa5bcd85,FIL,Iso_landmarks.txt,Iso,landmarks,12,Powerplant Rockwell Mall,phrase,58,109,0,False
fil_8c8c24079b6e,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,1,Binanlian,word,72,109,0,False
fil_5e73bc72fb0e,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,2,Sinigang,word,66,109,0,False
fil_330002fc31b4,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,3,Chopsuey,word,66,109,0,False
fil_926fd9680300,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,4,Suman,word,65,109,0,False
fil_ff1727bc7154,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,5,Kaldereta,word,62,109,0,False
fil_2ef0a8b83c88,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,6,La Paz Batchoy,phrase,66,109,0,False
fil_5ef55ddf40e7,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,7,Pinangat,word,64,109,0,False
fil_1fde34be590a,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,8,Patis,word,65,109,0,False
fil_b6b105f8132d,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,9,Crispy Pata,phrase,70,109,0,False
fil_16fe52c87359,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,10,Hamonado,word,65,109,0,False
fil_6e55925baa4b,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,11,Suman,word,70,109,0,False
fil_89c14e4a5cc1,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,12,Tinapa,word,69,109,0,False
fil_559f85cc1bf7,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,13,Hamonado,word,67,109,0,False
fil_d987874341c8,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,14,Puto,word,68,109,0,False
fil_5b4d0d2602d5,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,15,Hamonado,word,64,109,0,False
fil_22b33606944a,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,16,Pinirito,word,66,109,0,False
fil_81705f342280,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,17,Pancit Molo,phrase,68,109,0,False
fil_7011769876eb,FIL,Iso_local_cuisines.txt,Iso,local_cuisines,18,Pancit Molo,phrase,66,109,0,False
